,Pancreas_22,Pancreas_9,unassigned,Pancreas_11,Pancreas_4,Pancreas_10,Pancreas_7,Pancreas_12,Pancreas_3,Pancreas_14,Pancreas_6,Pancreas_2,Pancreas_5,Pancreas_8,Pancreas_16,Pancreas_1,Pancreas_17,Pancreas_20,Pancreas_18,Pancreas_19,Pancreas_15,Pancreas_13,Pancreas_21
Ly6c1,0,0.321693573123328,0.773405297432601,0.521499141249667,0,0,1.04827109965519,0.905426336529429,0,0,0.823230252654636,2.46513471750973,0,2.74071854576326,1.75920585510537,1.50381312693412,0,0.834244450780856,1.30247983274851,0,0.77069293869223,0,1.04865864058276
Ly6e,0.909906253574518,0,1.12170854259297,0.945448340568869,1.77677680910423,0.68544027767879,0.913107933636492,0.945448340568869,1.35487194113744,1.05224088288706,0.956822078725152,2.19668507583834,1.03103437021289,2.49315861953847,2.49567761747031,1.40439171909356,0,1.69036220536592,0.620066883957794,2.02210958610825,1.12171343088179,1.63986734107128,0
Lyve1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyz2,0.37909335060742,0,0,0,0,0,0,0,0,1.85376793521351,0,0,3.4769556256925,0,0,1.4127698105056,0,0,1.34790383314076,4.79136329271927,0,0,0
Maf,0,0,0,0,0,0,0,0,0,0,0,0,1.30895382566122,0,0,0,0,0,0,0,0,0,0
Malat1,0.443933894048835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17120904835823,0,0
Marcks,0.439040721919732,0,0,0,0,0,0.635421868731513,0,0.800891601250132,0,0,0,0.400561407730909,0,0,0,0,0,0,0,0,0,1.04865864058276
Mef2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meg3,0.577165471857638,0.823724018883833,0,0.683379139255996,0,1.34998656991568,1.22341131456914,0,1.28847465021787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mfap5,0,0,0,0.683379139255996,0,0,1.63282507794298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mfge8,0,0,0,0.560539276871928,0,0,0,0,0,0,0,0,0,0,0,0,1.1064389498264,0,0,0,1.94936365014432,0,0
Mgl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mgll,0,0,0,0,0,0,0,0,0,0,0,1.47333915468907,0,1.5463435594654,0,0,0,0,0,0,0,0,0
Mgp,0,0,0,1.25740783748101,0,0,0,0,1.47207979304821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mgst1,0,0,0,0,1.18696910170458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mmp2,0,0,0,0.840132745536321,0,0,0.761221656845575,0,0.863449960466575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mmrn2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01553934351269,0,0,0,0,0,0,0,0
Mrc1,0,0,0,0,0,0,0,0,0,0,0,0,1.22411593939391,0,0,0,0,0,0,0,0,0,0
Ms4a4d,0,0,0,0.668520464300826,0,0,0,0,0.948747182572562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a6c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09115565502318,0,0,0
Msn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827951619944907,0,0,0
mt-Co1,1.12808671626583,1.0871837920794,0,0.684732537993934,1.2107274602109,1.18116505566378,0.697015934383046,0,0.874495233366118,1.19533231635198,0,0.7065312213568,0,1.06208601384136,1.25304266880491,0,1.44982411272139,1.33380075691384,0,0.688140049765868,0,1.31549692229559,0
mt-Cytb,1.94596241961014,2.58611569381875,1.44820449001666,2.24616978212554,2.34187377260546,2.26069412957585,1.92319272740991,0,2.05157729134206,1.71454931651768,0,1.6559657417368,1.49856637348307,1.53615747167888,1.79215483469084,1.39016625401676,2.73715394939262,2.24230422433804,0,0.991730174075013,2.09320861226002,2.10610176334402,1.52701975676364
mt-Nd2,1.12605263913912,1.45579644943518,0.748596115683715,1.45226091591207,1.38207158388461,1.61448202435471,1.37236050309048,0,1.34307167392685,0.92098430824651,0,1.20688721808329,1.14619825371665,1.06736069722255,1.46873598289282,0,1.82382944795393,1.08326818112619,0,1.12170854259297,1.48991189009168,1.28096984100492,0
mt-Nd4,1.93196961059242,2.06866413032671,1.31221666287324,1.95837713390278,2.09801715297139,2.1484209088161,1.78314916789852,0.76058371482794,1.94549349321671,1.5256652988233,0,1.38061243719069,1.52520690797841,1.44016476032735,1.84842967348341,1.42203493164936,2.7520827926908,1.9357048663944,1.41970591712944,1.33964278741447,2.02469066586775,2.00189153302211,1.40894721342339
mt-Rnr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mt-Rnr2,0.434237156409713,0.431169148486865,0,1.04947469794236,0.830962751961445,0.723484430318581,0.529427471360599,1.01401646174828,0.94348041265354,0.517049415036626,0,1.24655521346971,0.818562500252677,1.28659782502396,0,0,0,0.838467968001676,0.921755465271472,1.17649208219043,1.11667525786431,1.09739489450751,1.19228185902146
Mt1,0.571759874781646,0.331576491381883,0,0,0.816613632250214,0,0,0,0,0.323485942919486,1.1733878649534,0,0,0,0,0,0,0,0,0,0,0,0
Mt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mxra8,0,0,0,0.618133424729931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myct1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myl12a,0,0,0,0.684732537993934,0.844275436205804,0,0.565278744384306,0,0,0,0,1.00126642253843,0,1.16366707499854,0.913719657482801,0,1.1064389498264,0,0,0.667231457115562,0,0,0
Myl9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94103066281979,0,0,0,1.42760464772036,0,0
Nbl1,0,0,0,0.91617675100896,0,0,0.196183871439816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndrg1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nfib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nfkbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46873598289282,0,0,0,0,0.611057916754173,0,0,0
Nid1,0,0,0,0.707517096713296,0,0,1.34170387901713,0,1.02206508129205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nrp1,0,0,0,0,0,0,0,0,0,0,0,1.20088759889036,0,0,0,0,0,0,0,0,0,0,0
Nupr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oaz2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ogn,0,0,0,0,0,0,1.19554362235944,0,0.910667371258365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfml3,0,0,0,1.00089119476125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcolce,0.55311924479196,0,0,1.73597247356663,0,0,0.863500984656715,0,1.50821608827609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcsk1n,0,1.19228185902146,0,0,0,2.57633785520473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcsk2,0,1.32477560537532,0,0,0,2.46231905832645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pdia2,0,0,0,0,0,0,0,0,0,0,1.07332494843238,0,0,0,0,0,0,0,0,0,0,0,0
Pdzk1ip1,0,0,0,0,0.569487990398219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pecam1,0,0,0,0,0,0,0,0,0,0,0,1.09248807404147,0,0.976056343333185,0.930574493248918,0,0,0,0,0,0,0,0
Penk,0,0,0,1.0593718443082,0,0,1.10577298443703,0,1.36475817860807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pf4,0,0,0,0,0,0,0,0,0,0,0,0,2.50303437050617,0,0,0,0,0,0,0,0,0,0
Pi16,0,0,0,0,0,0,0.711029693825494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pla1a,0,0,0,0,0,0,0.72731415881294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pla2g1b,0,0,0,0,0,0,0,0,0,0,2.02270036288134,0,0,0,0,0,0,0,0,0,0,0,0
Plac8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35487194113744,0,0,0
Plpp1,0,0,0,0,0,0,0,0,0,0,0,1.42359189125526,0,0,0,0,0,0,0,0,0,0,0
Plpp3,0.13209898905369,0,0,0,0,0,1.24130417377472,0,0.799027985177473,0,0,1.58221745903089,0,1.21018932681523,0,0,0,0,0,0,0,0,0
Plscr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pltp,0,0,0,0.702479936366801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plvap,0,0,0,0,0,0,0,0,0,0,0,2.85340119605904,0,2.45888708238871,2.88784267054184,0.410751888381832,0,0,0,0,0,0,0
Plxdc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pmp22,0,0,0,0.684055156708126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905226001991838
