,Peripheral_Blood_13,Peripheral_Blood_15,Peripheral_Blood_20,unassigned,Peripheral_Blood_8,Peripheral_Blood_7,Peripheral_Blood_1,Peripheral_Blood_9,Peripheral_Blood_3,Peripheral_Blood_2,Peripheral_Blood_14,Peripheral_Blood_10,Peripheral_Blood_6,Peripheral_Blood_4,Peripheral_Blood_19,Peripheral_Blood_5,Peripheral_Blood_11,Peripheral_Blood_12,Peripheral_Blood_16,Peripheral_Blood_17,Peripheral_Blood_18,Peripheral_Blood_21
Cd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd209a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd24a,0,0,0,0,0,0,0,0,0,0,1.67833556679347,0.430356412780819,0.776211879862657,1.06996396027347,0,0.994873612294596,2.02043233016008,0,0,0,1.403870711022,0.793936069136307
Cd27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd300e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd300ld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd37,0,0.843129311421128,0,0,0,0,0,0,0,0.725956200472377,0,0,0,0,0,0,0,0,0,0,0,0
Cd38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd3d,0.8537317404401,0,0,0,0,0,1.11915364717304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd3g,0.664464384683457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd63,0,0,0,0,0,0,0,0,0,0,0,1.16645324496694,0.82958572259111,0,0,0.812382827302409,0,0,0,1.36723782476732,0,0
Cd68,0,0,0.249477488061575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861844426923807,0,0,0
Cd72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd74,0,4.31995323499637,0.980655939841553,1.43007635957218,1.43342660586721,2.16420977696206,1.33396594914803,2.38218216610836,1.68345243366305,4.51783524156737,0,0,0,0,2.52086012040761,0,0,0,1.87238006234015,0,0,2.09347226960484
Cd79a,0,2.05543274183124,0,0,0,0,0,0,0,2.1096745146112,0,0,0,0,0.728093613031616,0,1.28423425302394,0,0,0,0,0
Cd79b,0,1.35891396833157,0,0,0,0,0,0,0,1.50233781014216,0,0,0,0,0.781753237837355,0,1.02096538586435,0,0,0,0,0.906482449186102
Cd83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd8b1,0.892796656202789,0,0,0,0,0,0.861721374564783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceacam10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chchd10,0,0,0,0,0,0,0,0,0,0,0.351583104326519,0,0,0,0,0,1.39115194554039,0,0,0,0,0
Chd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chd7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chil1,0,0,0,0,0,0,0,0,0,0,0,0,0.710306274255917,0.862012048883159,0,0.928123421064138,0,0,0,0,0,0
Chil3,0,0,0,0,0,0,0,0,0,0,0.537884654320737,0.808144001047391,4.02989931257545,1.41767493053425,0,2.97781245713467,1.03973486951687,0.930982897259378,1.26917778453907,0.936427136547446,2.96412097405347,0
Clec2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clec2i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clec4a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clec4a3,0,0,0,0,0,0,0,0.986225080405429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clec4d,0,0,0,0,0,0.919311715015773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clec4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clec7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cma1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cmah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
