,Peripheral_Blood_13,Peripheral_Blood_15,Peripheral_Blood_20,unassigned,Peripheral_Blood_8,Peripheral_Blood_7,Peripheral_Blood_1,Peripheral_Blood_9,Peripheral_Blood_3,Peripheral_Blood_2,Peripheral_Blood_14,Peripheral_Blood_10,Peripheral_Blood_6,Peripheral_Blood_4,Peripheral_Blood_19,Peripheral_Blood_5,Peripheral_Blood_11,Peripheral_Blood_12,Peripheral_Blood_16,Peripheral_Blood_17,Peripheral_Blood_18,Peripheral_Blood_21
H2afz,0,0,0.721645022810497,0,0,0,0,0,0,0,1.02610524115118,1.00358035264332,1.09635078903483,0,0,0,1.28556229907111,1.29513415297963,0,0,0,0
Hba-a1,1.34999531284738,1.53469121724907,1.25575041376291,0,0,0,0,0,0,0,2.18197958570815,0,0,0,0,0,0,0,0,0,0,6.81568023041281
Hba-a2,1.09397617233275,1.51927864692456,0.834977363943517,0,0,0,0,0,0,0,0.728650008049018,0,0,0,0,0,0,0,0,0,0,6.52233897676575
Hbb-bs,1.66109695255514,2.04237498608923,1.35376004859121,0,0,1.47232351083581,1.31275238936381,0,0,1.38332785914334,1.22430833478036,0,0,0,0.10696011518215,0,0,0,0,0,0,7.5480217147386
Hbb-bt,0,0,0,0,0,0,0,0,0,0,1.46839318943765,0,0,0,0,0,0,0,0,0,0,5.93040997318909
Hist1h2bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hmgn2,0,0,0,0,0,0,0,0,0,0,0.407149799029162,1.21650160063533,1.85801130255876,0,0,0.690718535062639,1.12313549897011,0.813908778398343,0,0,1.2570043318492,0
Hp,0,0,0.764236153761435,0,0,1.29764778510927,0,0,0,0,0,1.01111350263677,1.37329732766475,1.47232351083581,0,1.40308079294407,0,0.68796071947225,0,0,0.855998892951906,0
I830127L07Rik,0,0,0,0,0,0,0,0,0,0,0,0.285496803068716,1.47321391825555,1.25164214600653,0,1.91080189291518,0,1.24508476417834,0,0,1.403870711022,0
Id2,0,0,0,0,1.12916438897082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Id3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ier5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi27l2a,0,0,1.26005362955403,0,0,0,0,1.04271945702322,1.36430097394276,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728805620279314,0,0,0,0
Ifi47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifit1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifit3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifit3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifitm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733644583915658,0,0
Ifitm3,0,0,2.99742364843298,1.21542252007505,0,1.43091286207757,0,2.88732610329741,3.06870692555702,0,0.211678135781478,0,0.707793101865464,1.45044472129922,0,1.27961225907383,0,1.85959830129361,0,0,1.43510810067335,0
Ifitm6,0,0,0.724932593631588,0,0,0,0,0.937792673106065,1.04787770095795,0,0,0,1.59647905166275,2.11619229267072,0,2.5937029419762,0,0.591395303574832,0,0,1.52310004174314,0
Igha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54123274100547,0,0,0,0,0,1.47143368831355,0
Ighd,0,1.92805031173003,0,0,0,0,0,0,0,1.20431919816635,0,0,0,0,0,0,0,0,0,0,0,0
Ighm,0,2.48328235928682,0,0.815963626534975,0,1.2183808684708,0.799816857832178,0,0.617680291344952,2.63425102671558,0,0,0,0,0,0,2.48683560074255,0.69903941459144,1.32755833228023,0,0,1.3642114676382
Igkc,0,3.59054164566557,0,1.42425395596472,1.43342660586721,2.38076117858173,1.43848392034138,1.34265836247162,1.22855425373788,3.79906110478512,0,0,0,0,7.14520714523182,0,1.27763760950574,0,0.665379599915946,0.229699370696248,2.21544561104058,2.00719075450931
Igkv1-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igkv1-117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igkv10-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iglc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28602903052936,0,0,0,0,0,0,0
Iglc2,0,1.21660391082345,0,0,0,0,0,0,0,0,0,0,0,0,1.18870884274317,0,0,0,0,0,0,0
Iglc3,0,1.2570043318492,0,0,0,0,0,0,0,0.879371713684011,0,0,0,0,0.431066267955948,0,0,0,0,0,0,0
Iglv1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00335000544304,0,0,0,0,0,0,0
Igtp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ikzf3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il1b,0,0,0,0,0,2.87554643554674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il1f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il1r2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il1rn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il2rb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il2rg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il4i1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il7r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irf7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irf8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652827842769885,1.91329576261085,0,0,0
Isg15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itga4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itgal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itgb7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junb,0,0,0.545844593511867,0,0,1.31554071381024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kbtbd11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kif21b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klf2,1.05923875746001,0,0.55727961223563,0,0,0.891873320470844,1.02672869635301,0.939167020347622,0,1.11421780550477,0,0,0,0,0,0,0,0,0,0,0,0
Klf3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klk8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klra1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klra13-ps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klra4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klra7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klra8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klra9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klrb1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klrb1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klrc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klrc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klrd1,0,0,0,0,0.998569979628798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klre1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klrg1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klri2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klrk1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kmt2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lat2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lbh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lcn2,0,0,0,0,0,0,0,0,0,0,0.851760483667669,1.26058245779367,4.54804157331629,4.00915896567419,0,4.75095879558818,2.02405143151578,1.34192936277248,2.12334084654232,2.09582978043856,4.20637677619174,0
Lcn4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lef1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lfng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lgals1,0,0,0,0,1.74561765536637,0,0,0,0,0,0,0.44791928190405,0,0,0.786429325294139,0,0,1.41586091522796,1.46700549428254,0,0,0
Lgals3,0,0,1.15196640737171,0,0,0,0,1.17007580212406,1.71266854454415,0,0,0,0,1.06680754960302,0,1.06101026782144,0,1.66925585011247,0,0,0,0
Lilr4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lilra6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lilrb4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lpxn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lrg1,0,0,0,0,0,0,0,0,0,0,0,0,0.75136372337923,1.0479044744576,0,1.00804428394703,0,0,0,0,0,0
Lst1,0,0,0.912795947329644,0,0,1.08881175501214,0,1.31136374212624,0.850915498309927,0,0,0,0,0,0,0,0,0,0,0,0,0
Lta4h,0,0,0,0,0,0,0,0,0,0,0,1.14272280580213,0.95599064533729,0,0,0,0,0,0,0,0,0
Ltb,0,0,0,0,0,0,0,0,0,1.01365365546149,0,0,0,0,0,0,0,0,0,0,0,0
Ltf,0,0,0,0,0,0,0,0,0,0,0.336800695212084,0.3411403118291,3.60538807536953,1.85216807885223,0,3.90320115442156,0.929633199795992,0.663450451617921,0.800306822037675,0.541303188234756,2.19110855536251,0
Ly6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ly6c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ly6c2,0,0,1.25799409179593,1.22976160078715,0,0,0,0,2.08927175583614,0,0.232388539824565,2.69402255075895,1.7101880132603,1.84187488972822,0.802089589082985,1.86634517971661,0.823765120203685,3.09464187753607,1.81439552789754,0.267134917850853,2.60942958820373,0
Ly6d,0,1.24695082481855,0,0,0,0,0,0,0,1.42012633764884,0,0,0,0,0,0,0,0,1.17619637817974,0,0,0
Ly6e,1.01204360347187,2.02043233016008,2.22231644826628,1.48399016545384,1.29900559470106,1.49127045389923,1.48037890449305,2.64573209675918,2.37329956775234,2.36140613058163,0.90385170075825,1.19125629644575,0,0,1.3277019044742,0,1.36536226260553,2.2535032081319,2.19359278152713,1.63151282050483,1.08275150770315,1.36197919941879
Ly6g,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836842658109426,0,1.33396594914803,0,0,0,0,0,0
Ly6i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyz2,0,0,5.55974726045889,3.28002991195926,2.09383766207516,3.28941216764595,1.93947650717769,4.5332550110347,5.66706452575329,2.70083527238303,1.08211908065372,1.80390985215344,4.43431099217777,4.3714038265686,0.768028136806168,4.89648589924791,2.11234134058993,4.39677488507809,2.50061404724113,2.23285278149704,4.40113801856091,1.98180608051876
Macf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mcemp1,0,0,0,0,0,0,0,0,0,0,0,0,0.502307627577595,0.770783482228113,0,0.812382827302409,0,0,0,0,0,0
Mcl1,0,0,0.307802124174055,0,0,0.906658920896548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mcpt8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887511710041678,0,0
Mef2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mmp8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35015087332211,0,2.88670173638525,0,0,0,0,1.46612263158366,0
Mmp9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49310513377251,0,1.10641829737156,0,0,0,0,0,0
Mndal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpeg1,0,0,0.33172522580896,0,0,0,0,0,0.740451258626256,0,0,0,0,0,0,0,0,0,0.907832473262503,0,0,0
Ms4a1,0,0,0,0,0,0,0,0,0,1.12916438897082,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a4b,1.21542252007505,0,0,0,1.49310268165574,0,1.40708966881223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a4c,0,0,0,0,0,0,0,0,0.869866920541752,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a6b,0.667183689713347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a6c,0,0,1.18338075263982,0,0,0,0,1.02425042685681,1.37790752483898,0,0,0,0,0,0,0,0,1.17335269551137,0,0,0,0
Msrb1,0,0,1.04483381976495,0.799322823827736,0,2.18893003891094,0,1.3529542204215,1.24075358438165,0,0,0.647655575059857,0.773659790051255,1.39273013426134,0,0.994873612294596,0,0.766228170711672,0,0,0,0
Mxd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mzb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90179950524622,0,0,0,0,0,0,0
Ncr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neat1,0,0,0.706487960739369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nfkb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngp,0,0,0,0,0,0,0,0,0,0,1.13152746911711,1.51094482812285,5.95529199399932,3.87011084821247,0,5.93252393570437,2.09449197696457,1.37283767213054,2.43674396406267,2.26021909187041,4.37103051323601,0
Nkg7,0,0,0,0,2.42808253065771,0,0,0,0,0,0,1.17391396101559,0,0,0,0,0,0,0,0,0,0
Npm1,0,0,0,0,0,0,0,0,0,0,1.31040016506166,0.716561142705344,0,0,0,0,0,0.417339256059326,0,0,0,0
Nr4a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nsg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nupr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oasl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2ry10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pafah1b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709906559992887,0,0,0,0,0
Parp14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pax5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pde4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peli1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pglyrp1,0,0,0,0,0,1.06190028914175,0,0,0,0,0,0.70740127116332,1.52911520335708,1.50887742472662,0,1.64485214567749,0,0,0,0,1.45910554754374,0
Phf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phf11b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pik3ip1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pim1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pim2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pkp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pla2g7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plac8,0,0,2.09825649472689,0,0,0,0,1.48580298583582,2.19311286430744,0,0,2.26419044339653,0,0,0.431066267955948,0,0.414974705618038,1.43806100385562,2.01862839458795,1.62142037244286,0,0
Plbd1,0,0,0.739990806875434,0,0,0,0,0,0,0,0,0,0,0,0,0.788132928694044,0,0,0,0,0,0
Pld4,0,0,0.659398779246245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pltp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pnrc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pou2af1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pou2f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppia,1.72349364019162,1.27632692762859,1.11941139561575,0,0,0,0,0,0,0,1.37696193993539,1.48083298985283,0.757198605064875,0,0,0,1.42674298986883,1.49218595606902,1.2190742497763,0.959453383418555,0,0
Prdx5,0,0,1.26155640751762,0,0,0,0,0,1.15056768465387,0,0,1.05028431129031,1.74475689029545,1.58986378188485,0,1.87201036442346,0,0.946101793254919,0,0,0,0
Prf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prkch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prkcq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prtn3,0,0,0,0,0,0,0,0,0,0,0,2.76990049312923,0,0,0,0,0,0.639399506376315,0,0,0,0
Psap,0,0,2.39667740155461,0,0,0,0,1.50233781014216,2.29168846046636,0,0,0,0,0,0,0,0,2.16830835776146,2.27255953061172,0,0,0
Ptma,0.686510533863452,1.21660391082345,0.545844593511867,0,0.933694492675622,0,0,0,0,0.924274640271597,1.89593554643744,1.87938692248627,0.874594164617994,0,0.838560668393387,0,2.69054488157278,1.87517358414548,1.28098802598162,1.33727844989909,0,0
Ptp4a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptprcap,0,0,0,0,1.19570373364025,0,0.833331629600669,0,0,1.18665625331596,0,0,0,0,0,0,1.3096323384435,0,0.173640089606012,0,0,0
Rab3ip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralgps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasgrp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retnlg,0,0,0,1.1414285960393,0,2.92005627177705,0,0,0,0,0.650714886752127,0.982447129133619,1.13910782493793,5.36835652089275,0.379083213534969,2.76141017970023,1.48489597435092,0.95599064533729,1.60920325517025,1.53568277751698,3.51560472793811,0.348210987465405
Rgs2,0,0,0.705147886240082,0,0,1.20606870867511,0,0.685426975589366,0,0,0,0,0,0,0,0,0,0.385503871282076,0,0,0,0
Rhof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rnase6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl12,1.83750362131168,1.33829704347179,0.296367105450291,0.885421993438982,1.24075358438165,0,2.00255910888689,0,0,1.38332785914334,1.45570031673028,1.17511454311355,0,0,0.709543133462955,0,0.824816911060209,0.771700870833283,0,1.05536098314872,0,1.00944041929254
Rpl13,3.03366128241307,2.38968493702982,1.97659648717744,2.42937416861113,2.73986557484758,2.0331672245518,3.48069674353353,2.38699877328582,2.47218586432533,3.05362594918891,2.76403035346182,2.55471658114588,0.851483021277858,0,2.03617218821205,0,2.06868646063852,2.18675152245937,2.13934040129295,2.44124928588442,1.74821141052402,1.96550495843299
Rpl14,1.76395715842253,1.29629299932859,1.11841500679242,1.3155391299714,1.45043585807659,1.11176900421638,2.20135550057594,1.19913424069007,1.23462261035097,1.69670207413967,2.19037939149766,1.69512136484289,0,0,1.52964968385084,0,1.33829704347179,1.2868932746353,1.32759427246807,1.51013260319689,1.403870711022,1.1855756597304
Rpl15,1.46202046501359,1.1766490043849,0.92905891380012,0,0.850915117227561,0,1.40547820331642,0,0.769233155728874,1.14766639597719,1.19464984009652,1.11915456967603,0,0,0.786429325294139,0,0.640340025835733,0.813908778398343,0,0.829109187353469,0,0
Rpl18-ps1,0.814421493910928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl22,1.70525585700696,1.26981620631734,0.92905891380012,0.425695731215357,1.22135389108331,0,1.4250825911686,0.737911582515875,1.03634583347893,1.35592707053747,1.63008579459966,1.32847527493316,0,0,0.851690884346655,0,1.11668000250756,1.00844037291536,0.618133097870497,1.16815713790303,0,0.377538983871917
Rpl24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl3,1.70525585700696,1.35592707053747,0.764236153761435,1.09968044250803,1.37100417841609,0,1.98158701780462,1.16143098274924,1.18219091614955,1.43342660586721,1.92942070450032,1.70359494761874,0,0,1.25057160472952,0,1.32823759905614,1.50048084779055,1.21366976669825,1.44794970694633,1.38332785914334,0.981545900724321
Rpl35a-ps6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rpl36a,1.44699913280595,1.28423425302394,0,0.835759044671288,1.07358005212596,0,1.72265520826422,0,0.77428023094117,1.34265836247162,1.73790395381487,1.49863500960716,0,0,1.03519367317745,0,1.24157610456048,1.08786606961849,0.843445704617108,1.23301897075218,0,0.793936069136307
Rpl39,2.32381945169992,1.65302591254205,1.32887146693802,1.29224667826601,1.48037890449305,0.811104655518212,2.1795352076389,1.27895116030815,1.3193917060064,1.5041997840987,2.0212268029544,1.78936721482876,0,0,1.34187971416825,0,1.80895023621957,1.59355622547432,1.58099225013418,1.79792056002681,0,1.11077973601115
Rplp1,3.01210052891926,1.96788431977115,1.64817226152468,1.86709788355303,2.28281742262299,1.48218214515754,3.29427784807398,1.89156591308933,1.8941593573716,2.53669292220267,2.80254937432005,2.15472639988,0.455822858720582,0,1.72463412535261,0,1.78137845325092,1.9906124128973,1.94362760563081,2.21656780704776,1.47858042312943,2.20037228879831
Rplp2,2.52800520625711,1.65302591254205,1.40608355967204,1.45736263543627,1.47499765758986,1.32115714318564,2.57005415932333,1.37713638660919,1.57657496222459,2.05355546514409,2.08032735715365,2.00477880581306,0.622589994460083,0,1.46268743128482,0,1.75081381042685,1.66458277394421,1.37073758430167,1.85440561592656,0,1.28467444147405
Rps13-ps2,1.08646617920318,1.01284796355386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps15a-ps4,0.821669781143257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps15a-ps5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps15a-ps6,1.17444929893284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps15a-ps7,1.45910554754374,1.1766490043849,0.664976096816214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps16-ps2,1.40306844992488,0,0.751643827162029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rps18,2.08020655944648,1.53469121724907,1.16588150539585,1.1414285960393,1.29900559470106,0,2.07378808354342,1.15291963809096,1.19770298735845,1.49862887530545,2.05562086922213,1.6743538750633,0,0,0.949834499419582,0,1.23584263526045,1.24508476417834,1.03468982059861,1.51379400440834,0,0.896914825315563
Rps19,2.63034357374537,2.04981285140123,1.59948673476944,1.51169823546139,1.45562422908818,1.30241686279441,2.66108277930655,1.81035411971092,1.62988224147948,2.38075956413556,2.05457307890026,2.09195473269451,0.567441150763278,0,1.53050578651989,0,1.7927510043584,1.80150411426819,1.36716508266816,1.9419776906664,0,1.80991017280478
Rps2,1.9644926315616,1.36644337148129,1.24298389221207,1.21601291172083,1.33540630958463,0.80292109502564,2.02224000478253,1.11668000250756,1.18385875988181,1.49310268165574,2.75301412513438,2.10654607862198,0,0,1.38451535595345,0,1.43007635957218,1.56724607460075,1.16425697408415,1.53063431677631,1.45736263543627,0.41639708526439
Rps23,2.44826295392635,1.84480217776914,1.63353445492394,1.3490120906525,1.57476366062731,1.16358374289638,2.40413665550199,1.39589230213058,1.52742443500177,1.9460757693066,2.22777856429178,2.03636659379477,0,0,1.23401451111059,0,1.52694247602108,1.63340883358401,1.39352212383549,2.00766788645933,1.39272820914408,1.4313851077113
