,unassigned,Fetal-Liver_1,Fetal-Liver_3,Fetal-Liver_8,Fetal-Liver_2,Fetal-Liver_11,Fetal-Liver_10,Fetal-Liver_7,Fetal-Liver_4,Fetal-Liver_5,Fetal-Liver_9,Fetal-Liver_6
Limd2,0,0,0,0,0.991545270657225,0,0.223065443083193,0,0.899556725111826,0,0.760418169970478,0
Lmo2,0,0,0,0,0,0,0,0,0,0,0,0
Lsm2,0,0,0,0,0,0,0.949251255956641,0,0,0,0,0
Lsm4,0,0,0,0,0,0,0,0,0,0,0.330328992379861,0
Lsm6,0,0,0.241674352936919,0,0,0.646916801160494,1.02475395499828,0,0.564603875358424,0,0,0
Lsm7,0.805516677304469,0.881552876644213,0.859844602480059,0,0,1.09813038853066,0.392509550146387,0,0,0,0,0
Lta4h,0,0,0,0,0.993779261842521,0,0,0,0,0,0,0
Ltf,0,0,0,0,0,0,0,2.76051539931163,0,0,0,0
Ly6c2,0,0,0,0,0,0,0,0,0,0,0,0
Ly6e,0,0,0.749009347894827,0,0.59009650916975,0,1.46617047905384,0,1.75989404997038,0,1.73331707496052,1.85290889537793
Lyar,0.576564462309153,0,0,0,0,0,0,0,0,0,0,0
Lyz2,0,0,0,0,1.04572342313629,0,0,4.49836002856707,3.80299081180962,0,0,2.56651255280881
Manf,0,0,0,0,0,0,0,0,0,0,0,0.751360958701378
Map1lc3b,0,0,0,0.463576654372541,0,0,0.796542066055726,0,0,0,0,0
Mat2a,0,0,0,0,0,0,0,0,0,0,0,0
Mcm2,0,0,0,0,0,0,0,0,0,0.754291659495451,0,0
Mcm5,0,0,0,0,0,0,0,0,0,0,0,0
Mcm6,0,0.71410305454803,0,0,0,0,0.919753433780286,0,0,0,0,0
Mcm7,0,0,0,0,0,0,0,0,0,0,0,0
Mdh1,0,0,0,0.922572841863827,0,0,0,0,0,0,0,0
Metap2,0.990988402526594,1.13525594042581,0.492556917920214,0,0,0.707083878329021,0.807426768610742,0,0,0.831380284310947,0.979931002433155,0
Mgst3,0,0,0,0,0,0,0,0,0,1.38918086382625,0,0
Mif,1.17831161399783,0.982166051341893,1.7094992628244,1.67574620747713,1.09400971233843,1.2968968605246,1.68972940178107,0,0.872052672678288,0,0,1.08398912253444
Mns1,0,0,0,0,0,0,0,0,0,0,0,0
Mpc2,0,0,0,1.48475176434554,0,0,0,0,0,0,1.41494403732036,0
Mpo,0,0,1.57965838160992,0,4.02782962525928,0,0,0,0.955457741591504,0,1.60792153789076,0
Mrpl12,0,0,0,0,0,0,0,0,0,0,0,0
Mrpl18,0.998844201946437,1.02350649845335,0.687424869334283,0,0.637323521615279,0.949464941288788,1.18185158594322,0,0.706719853727495,0,0.377145829747725,0
Mrpl20,0,0,0,0,0,0,0,0,0,0,0,0
Mrpl33,0,0,0,0,0,0.597698833643709,0,0,0.872052672678288,0,0,0
Mrpl36,0,0,0,0,0,0,0,0,0,0,0,0
Mrpl42,0.774495621411383,0.860670190891487,0.898261591468211,0.692261349734449,0,1.08586474822154,0,0,0.60351198659009,0,0,0.957686003508874
Mrpl52,0,0,0,0,0,0,0,0,0,0,0,0
Mrpl54,0,0,0,0,0,0,0.223065443083193,0,0,0,0,0
Mrps14,0,0.767858214384602,0,0,0.525127678353068,0.590288990341883,1.06884916707355,0,0,0,0,0
Mrps18c,0,0,0,0,0,0,0,0,0,0,0,0
Mrto4,0,0,0,0,0,0,0,0,0,0,0,0
