,Thymus_7,unassigned,Thymus_1,Thymus_4,Thymus_2,Thymus_3,Thymus_5,Thymus_6,Thymus_8
Hist3h2ba,0,0,0,0,0,0,0,0,0
Hmgb1,0,0,0,0,0,0.77561328603673,0,0,0
Hmgb2,0,0.338837767750394,0,0,0,2.25025420605717,0,0.442715972687938,0.399307872071399
Hmgn2,0,0,0,0,0,1.45036966121284,0,0,0
Hn1,0,0,0,0,0,0.612604571439595,0,0,0
Hnrnpa0,0,0,0,0,0,0.627331961158653,0,0,0
Hnrnpa2b1,0.777855146894207,1.10976208828091,1.34313897633944,1.33949254154136,1.2553640151799,1.52317657918583,1.03028095000009,1.09722075427383,0.620443388248347
Hnrnpab,0,0.804085603789381,1.11269906944441,0.970587307323871,0.803339099594357,1.27271045214058,0.701725286630762,0.926054294112127,0.212556018761268
Hnrnpc,0.186114202698575,0,0,0,0,0.723224146185978,0.485415041439251,0.509152308864568,0.752395701010276
Hnrnpd,0,0,0,0,0,0.57285040986185,0,0,0
Hnrnpf,0,0,0,0,0,0.677938643362471,0,0.546074180592265,0
Hnrnpk,0,0.726870848543652,0.612604571439595,0.613756884742725,0.782185626005581,1.05381274649072,0.764613305709062,0.903421217673712,0.719678523952954
Hnrnpu,0.624968916427291,0,0,0,0,0.677938643362471,0,0,0
Hsbp1,0,0,0,0,0,0,0,0,0
Hsp90aa1,0,0,0,0,0,0,0,0,0
Hsp90ab1,0,1.0154621178563,0,0,0,0.550900036825921,0.607755835509203,1.1461177612745,0.841400774179976
Hspa8,0.999138001651632,1.35272004493901,0.876286997697676,1.08590476176343,0,0.956767935204926,1.12160872383385,1.2511562962357,1.28005028690809
Hspe1,0,0,0,0,0,0,0,0,0
Id3,0,0,0,0,0,0,0,0,0
Ifi27,0,0,0,0,0,0,0,0,0
Ifi27l2a,0.247232529626771,0,0,0,0,0,0,0,0
Ifngr1,0.286085263855922,0,0,0,0,0.445416171870028,0,0.520678967025951,0
Igha,0,0,0,0,0,0,0,0,0
Ighm,0.247232529626771,0,0,0,0,0.568616204658154,0,0,0
Igkc,0,0,1.4316489009304,0,0,0,0,0,0.399307872071399
Il16,0,0,0,0,0,0,0,0,0
Il21r,0,0,0,0,0,0,0,0,0
Il2rg,0,0,0,0.970587307323871,0,0,1.06488427911749,0,0.831267804665898
Itm2a,0,0,0,1.34680674418175,0,0,0,0,0
Itm2b,1.17056194231407,0.540439487369156,0,0.903421217673712,0.747584302537649,0.801589807171394,0.947194087558535,0.815774738974158,0.752395701010276
Jund,0,0,0,0,0,0,0,0,0
Klf2,0,0,0,0,0,0,0.624329228146924,0,0
Lamtor5,0,0,0,0,0,0,0,0,0
Laptm5,0.706334717816866,0,0,1.09913082310109,0.251609598913482,0,0.93031650082374,0.473424123221542,0.883352571207442
Lbr,0,0,0,0,0,0,0,0,0
Lcp2,0,0,0,0,0,0,0,0,0
Ldha,0.75875001280246,0.535030453844644,1.18957535633199,1.10490308275057,0.711659270478801,0.77237162715137,0.994046932159884,0.64646408724575,0.819402210611816
Ldhb,0,0,0,0,1.04685238868335,0,0,0,0
Lgals1,0.76682746870491,0.844087344650484,1.24345289430675,0,1.03660397277624,1.26002450386273,0.751304142041256,1.04383704177736,0.40179258497421
Lgals9,0,0,0,0,0,0,0,0,0
Limd2,0.39456142322236,0,1.00344772295437,1.24035848938453,1.00781867458306,0.633426320693535,1.19983756158565,0.799109848806132,1.19012444322672
Lockd,0,0,0,0,0,0.854168497385793,0,0,0
Lpar6,0,0,0,0,0,0,0,0,0
Lsp1,0.763359443988564,0,0,0,0,0,0,0,0.752395701010276
Ltb,0,0,0,0,0,0,0.607755835509203,0,0
Ly6c2,0,0,0,0,0,0,0,0,0
Ly6d,0.706569176940636,1.01303534192004,1.33949254154136,0,1.35794049930775,1.07028544425225,0,1.65762345339957,0
Maf1,0,0,0,0,0,0,0,0,0
Malat1,1.13384100799312,0,0.355894414520511,1.70674495119076,1.84351425022321,0.910478122089949,1.44464097097381,1.15507060860192,1.08874298106245
Map1lc3b,0,0,0,0,0,0,0,0,0
Mbd2,0,0,0,0,0,0,0,0,0
Mcl1,0,0,0,0,0,0,0,0,0
Mdh2,0,0,0,0,0,0,0,0,0
Mif,0,0,0,0,0,0,0.485415041439251,0.718817471288272,0
Minos1,0.186114202698575,0,0,0,0,0.657061830676231,0,0,0.448984801036166
Mir142hg,0,0,0,0,0,0,0,0,0
Mrpl58,0,0,0,0,0,0,0,0,0
Ms4a4b,0,0,0,0,0,0,0.949657089327327,0,1.26213196324228
mt-Co1,0.920745111088581,1.42000505783237,0,0.959643275191836,1.14299368054232,1.05909692131512,1.06131503471513,1.11796084617678,1.00509773147956
mt-Nd2,0.580646915073072,1.07665966987405,0,0,0.849963302684425,0.689440156608739,0.986351607196197,1.10104787403269,0.861354007639282
mt-Nd3,0.187758597786046,0,0,0,0,0,0,0,0
mt-Rnr1,0,0,0,0,0,0,0,0,0
mt-Rnr2,1.16227806117268,1.3571916960395,1.03786074169595,1.21736389304509,1.27926614128718,0.722016865181281,0.987880755709847,0.749565294760685,0.212556018761268
Mxd4,0,0,0,0,0,0,0,0,0
Myb,0,0,0,0,0,0,0,0,0
Myl10,0,0,0,0,0,0,0,1.23299813543468,0
Myl12a,0.557726375193174,0,0,0.81836217289354,0,0.678292147335549,0.707843862978104,0.279204580660933,0.719678523952954
Myl12b,0.413273702724599,0,0,0,0,0,0,0,0.775177943853347
Myl6,0,0,0,0,0,0,0.720813691452115,0.378538357759654,0.807195241558478
Nabp1,0,0,0,0,0,0,0,0,0
Naca,0.77086222040708,0.928966163141658,1.05688847018469,0.695713604914488,0.776558644258779,0.73930255354618,0.81836217289354,0.881094826754927,0.399307872071399
Ncl,0,0,0,0,0,0,0,0.474022289377906,0
Ndufa12,0,0,0,0,0,0,0,0,0
Ndufa13,0,0,0,0,0,0,0,0.378538357759654,0.448984801036166
Ndufa2,0.687464042848889,0,0,0,0,0.475395270199319,0,0,0
Ndufa3,0,0,0,0,0,0.478165450795361,0,0.657061830676231,0
Ndufa4,0.246723047850965,0.299874615205737,0.360616622748181,0.521300264794167,0,0.849657563320053,0.670255373310858,0.614334693070832,0.817328211072557
Ndufa6,0,0,0,0,0,0,0,0,0
Ndufb7,0,0,0,0,0,0,0,0,0
Ndufb9,0,0,0,0,0,0,0,0,0
Ndufc1,0,0,0,0,0,0,0,0,0
Ndufv3,0,0,0,0,0,0,0,0,0
Neat1,0,0,0,0,0,0,0,0,0
Nebl,0,0,0,0,0,0,0,0,0
Nedd8,0,0,0,0,0,0,0,0.378538357759654,0
Nfkbia,0,0,0,0,0,0,0,0,0
Nme1,0.373872800484621,0,0,0,0,0,0,0,0
Nop10,0,0,0,0,0,0,0,0.442715972687938,0
Npc2,0,0,0,0,0,0,0,0,0
Npm1,0.875555585848446,0.777011113982309,0,0,0,0.49196600667611,0.811159429629623,0.982928933451666,0.580648598937312
Nsg2,0,0,0,0,0,0,0,0,0
Nsmce1,0,0,0,0,0,0,0,0,0
Ntrk3,0,0,0,0,0,0,0,0,0
Nusap1,0,0,0,0,0,0.746542030022027,0,0,0
Oaz1,0.777855146894207,1.15154219546129,1.194113353517,1.11368169079917,1.20736665713406,1.32844110269521,0.910478122089949,0.930993193642109,0.861324432195134
Pabpc1,0.147261468469425,0.621355544230384,0,0,0,0,0.863339913448213,0.518311129149035,1.00780239340385
Paip2,0,0,0,0,0,0,0,0,0
Park7,0,0,0,0,0,0,0,0.520678967025951,0
Pcbp1,0,0,0,0,0,0.485594633818205,0,0,0.784020017642891
Pclaf,0,0,0,0,0,1.05425099074775,0,0,0
Pcna,0,0,0,0,0,0,0,0,0
Pdia3,0,0,0,0,0,0,0,0,0
Pfdn5,0.147261468469425,0,0,0,0,0,0,0,0.212556018761268
Phf5a,0,0,0,0,0,0,0,0,0
Pik3ip1,0,0,0,0,0,0,0,0,0
Pitpna,0,0,0,0,0,0,0,0,0
Pkm,0,0,0,0,0,0,0,0,0
Pnrc1,0.147261468469425,0,0,0,0,0,0,0,0
Pomp,0,0,0,0,0,0,0,0,0
Ppia,1.11877497170859,1.88950363933999,1.35420708049946,1.39731941465225,1.21588886188207,2.19218341636069,1.62741426928442,1.6580089328814,1.32807011052539
Ppp1ca,0.208447220523785,0,0.489945461010388,0,0,0.924939364480278,0.811159429629623,0.799109848806132,0.81295790626564
Ppp1r14b,0,0,0,0,0,0,0,0,0
Ppp2ca,0,0,0,0,0,0.36837811020022,0,0,0
Prdx1,0.246723047850965,0,0,0,0,0.479738042403296,0,0,0
Prdx2,0,0,0,0,0,0,0,0,0
Prdx5,0,0,0,0,0,0,0,0,0
Prrt1,0,0,0,0,0,0,0,0,0
Psap,0,0,0,0,0,0,0,0,0
Psma2,0,0,0,0,0,0.464466664074433,0,0.442715972687938,0
Psma6,0,0,0,0,0,0.476776300129018,0,0.442715972687938,0
Psmb3,0,0,0,0,0,0,0,0,0
Psmb8,0.687464042848889,0.464795366487334,0,0,0,0.805590748923454,0.855872831902798,0.890721022493531,0.841921301620837
Psmd8,0,0,0,0,0,0,0,0,0
Psme1,0,0,0,0,0,0,0,0,0
Ptms,0,0,0,0,0,0.55440027585802,0,0,0
Ptpn18,0,0,0,0,0,0,0,0,0.755475110092658
Ptprc,0,0,0,0,0,0,0,0,0
Ptprcap,0.624968916427291,0.962536588034391,1.250318613183,1.32796502834488,1.22332712106413,0.956767935204926,1.22093442027569,1.16013812265989,0.883352571207442
Pycard,0,0,0,0,0,0.614334693070832,0,0,0
Rac2,1.03022697199163,0.530802940360397,0.880189220554156,0.994046932159884,1.02117469462653,0.878083583206176,1.09247586888693,0.863919865188997,1.29086860890914
Rack1,0,0.906614847524057,0,0,0,0.445416171870028,0.674424130155625,0.513037160611749,0
Rag1,0,0,0,0,1.04087080479167,0,0,0,0
Rag2,0,0,0,0,0,0,0,0,0
Raly,0.333375671168,0,0,0,0,0.680065313879896,0,0,0
Ramp1,0,0,0,0,0,0.433662595209001,0,0.475223208870693,0.375870071781947
Ran,0,0.692746961857897,0,0,0,0.996379925085982,0,0.573604263316684,0
Ranbp1,0,0,0,0,0,0,0,0,0
Rap1b,0,0,0,0,0,0,0,0,0
Rasal3,0,0,0,0,0,0,0,0,0
Rbm39,0,0,0,0,0,0,0,0,0
Rbm8a,0,0,0,0,0,0,0,0,0
Rbx1,0,0,0,0,0,0.482205153862199,0,0,0
Rcsd1,0,0,0,0,0,0,0,0,0
Rgcc,0,0,0,0,0,0.534921205436971,0,0.926054294112127,0
Rgs10,0,0,0,0,0,0,0,0,0
Rgs2,0,0,0,0,0,0,0,0,0
Rhoa,0,0,0,0,0,0.668533832940581,0,0,0
Rhog,0.0999710611573465,0,0,0,0,0,0,0,0
Rhoh,0,0,0,0,0,0,0,0,0
Rmnd5a,0,0,0,0,0.965448621299963,0.49122931887391,0,0,0
Rnf167,0,0,0,0,0,0,0,0,0
Rorc,0,0,0,0,0,0,0,0,0
Rpl10,1.17056194231407,1.38003480075005,0,0.948248037624301,0,0.884736546638326,1.19792305830353,1.29057648613878,1.30001193851853
Rpl10a,0.593483764455052,0.906614847524057,0,0,0,0.476776300129018,0.985588875254335,0.944046744151629,1.14408118121805
Rpl12,0.777855146894207,0.887488274744653,0,0,0,0,0.898988958726049,0.690172219175844,0.806863121752772
Rpl14,1.03022697199163,1.35569762645184,1.35123650659694,1.11368169079917,1.12965516635176,1.12094361556562,1.49495923278194,1.45296365617152,1.61100074880378
Rpl15,0,1.00029364882624,0,0,0,0.693856426324704,0.964718472487686,0.945675991584531,0.424700673031129
Rpl17,1.17014428156815,1.19014061301223,1.22372687063161,0.928966163141658,1.02778062624768,0.849657563320053,1.23912529704846,1.15031260481805,1.43864139850203
Rpl18,1.03022697199163,1.35272004493901,1.31524748487798,1.11466613476005,1.19983872793239,1.08964950987767,1.25510942918506,1.37771335737081,1.33372878494312
Rpl21,1.16144874740667,1.32796502834488,1.27992526914048,1.10490308275057,1.03448050208677,1.00542954631966,1.17178156620238,1.35644421996082,1.29086860890914
Rpl22,0,1.20214352179757,0,0,0,0.52802192966431,0.912422542184005,0.884736546638326,0.817328211072557
Rpl22l1,0.186114202698575,0,0,0,0,0,0.731791941756237,0.442715972687938,0.236840146766306
Rpl23,0.958392043406394,1.46432149153595,1.31315314754779,1.10781311755589,1.09913082310109,0.950186602696501,1.39188220348612,1.35644421996082,1.44589745179308
Rpl23a,1.25863610588019,1.68930456975094,1.40533123082531,1.35272004493901,1.34387081691099,1.39625859920368,1.67319925521064,1.89483938985658,1.96539290883107
Rpl26,1.13021590320822,1.49128259916166,1.37771335737081,1.29326888261591,1.24656372904114,1.06787787204085,1.50704579416644,1.49219991252557,1.37527098742174
Rpl27,1.10861986255468,1.32653899250737,1.11368169079917,1.26045013340759,1.05075866775082,0.913723596171887,1.25510942918506,1.36927271621814,1.32230635392716
Rpl27a,0,1.10490308275057,0,0,0,0.445416171870028,0.949657089327327,0.858442499773835,0.775833501299728
Rpl28,0.875555585848446,1.22512817618152,1.00186810451945,0.853036149461279,0.86888214771826,0.937816569832443,1.06757772131747,0.732618748381253,0.81295790626564
Rpl29,0.477944062449592,0,0,0,0,0,0,0.682563669567619,0
Rpl3,1.41355905849399,1.44692655949771,1.43332917752386,1.45556772222121,1.20156644670217,1.28522736979801,1.68270173117307,1.79303556824514,1.43864139850203
Rpl30,1.25863610588019,1.36169518010403,1.20243242587608,1.04642035301123,1.02159077432469,0.807606624710724,1.25790092993422,1.17672907633498,1.06697805659289
