,unassigned,MammaryGland.Virgin_5,MammaryGland.Virgin_7,MammaryGland.Virgin_18,MammaryGland.Virgin_10,MammaryGland.Virgin_8,MammaryGland.Virgin_13,MammaryGland.Virgin_15,MammaryGland.Virgin_3,MammaryGland.Virgin_12,MammaryGland.Virgin_17,MammaryGland.Virgin_16,MammaryGland.Virgin_4,MammaryGland.Virgin_1,MammaryGland.Virgin_11,MammaryGland.Virgin_2,MammaryGland.Virgin_6,MammaryGland.Virgin_9,MammaryGland.Virgin_14
Cd248,0.978201670234287,0,0,0,0,0,0,1.2111098360072,0,0,0,0,0,0,0,0,0,0,0
Cd24a,0,0,0,0,1.18206573644765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd34,0.994416009252724,0,0,0,0,0,0,1.15410509476292,0,0,0,0,0,0,0,0,0,0,0
Cd36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947401099359833,0,0,0
Cd3d,0,0.704232348479071,0,0.533123403816856,0,0,0,0,0,0,0,0,1.09336008680907,1.12627062233218,0.62714061506285,0,0.805680736075352,1.09423487774419,0
Cd3g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01268647534946,0
Cd52,0,2.08375310485381,1.32106578609499,1.73564922113455,0,2.05997582154306,0.798228477340406,0,0,2.31114497054723,0,1.33691588358047,1.96927537476617,1.89757486256597,1.71617951830672,2.22621074903173,2.06274826122232,2.14681076599315,2.1249309356422
Cd53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682704100108804
Cd63,2.14296744411345,0,1.3336026770966,0,1.04381309735522,0,0.823659819509117,1.09774875601661,1.93885432618691,0,0.926453933822309,0,0,0,0,0,0,0,0
Cd69,0,0,0,0.578628181231039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714072674683374
Cd72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd74,0,0.985183425107287,3.24766607359214,3.11632272209585,0.598582013948265,5.03112747186266,4.41004911790524,0.855978953622258,0.873985993393718,4.97604580524559,0.758191537102227,4.13783126410327,0.909741091217015,1.25735541442208,1.36286266681683,4.853505071054,3.84003475117302,1.24000767169344,1.02786725851661
