,Embryonic-Stem-Cell_1,Embryonic-Stem-Cell_3,Embryonic-Stem-Cell_2,Embryonic-Stem-Cell_4,unassigned
Dnajc8,0,0,0,0,0
Dnttip2,0,0,0,0,0
Dppa5a,1.72329875722532,1.94969233895033,2.1577395639475,1.89579785616825,2.23338734094118
Dpy30,0,0.718183628137908,0.994930324779285,0,1.27869729134078
Dtymk,0,0,0,0,0
Dut,0,0,0,0.605650965939515,0
Dynll1,1.22792832963975,1.10814822128627,1.16395016750295,1.22938431844137,1.27869729134078
Dynlrb1,0,0,0,0.689494064479424,0
Edf1,0,0,0,0,0
Eef1a1,1.36088865248524,1.28339239554771,1.33301826932719,1.48793536527256,0
Eef1b2,1.94837819944307,2.12228369862752,2.23821798027364,1.93581184198345,1.79420585872181
Eef1d,0,0,0,0,0
Eef1g,1.49342477824489,1.61428945113162,1.5561632671296,1.51325898268549,1.22223487535125
Eef2,0.995544035579542,1.08266304526939,0.521599054318306,1.09163603579825,0
Eif1,0.984616218390437,0.862676712181654,0.906906543434335,0.983446258125334,0
Eif1ax,0,0,0,0,0
Eif2s1,0,0,0,0,0
Eif2s2,1.93793776685509,1.69767912602928,1.6849590184266,1.68658541153821,1.22223487535125
Eif3c,0,0,0,0,0
Eif3d,0,0,0,0,0
Eif3e,0,0,0,0,0
Eif3f,0,0.512111623217604,0,0,0
Eif3g,0,0,0.463965314723709,0,0
Eif3h,0,0.525394524489934,0.546499128483821,0,0
Eif3k,1.31400384247093,0.994930324779285,1.17080556367904,0.882424559674201,0
Eif3l,0,0,0,0,0
Eif3m,0,0,0,0,0
Eif4a1,1.15886386291027,0.880871804826448,0.76537019622941,1.12802068698589,1.1597083265192
Eif4a3,0.46578295141519,0.426868965204784,0,0.285973844468994,1.87426860185801
Eif4e2,0,0,0,0.656996716998464,0
Eif4ebp1,1.33075076935468,1.24830627055468,1.36805284061636,1.22512442971956,0
Eif5,0,0,0,0,0
Eif5a,1.42711380232896,1.44039846061201,1.57276148828238,1.14343790728689,0
Eif5b,0,0,0,0,0
Eif6,0,0,0,0,0
Elob,1.44849851694758,1.48980604263752,1.53994395780924,1.30048123365213,1.94575600866154
Emc8,0,0,0,0,0
Eno1,1.16395016750295,1.00735597045846,0.880871804826448,0.859263243189276,0
Erh,0,0,0,0,0
Fabp3,0,0,0,0,0
Fam162a,0,0.865425413605971,0.79974031538397,0.686620605523077,0
Fau,1.77537697087809,1.55987762409017,1.66873581029283,1.66922303402514,1.94575600866154
Fbl,0,0,0,0,0
Fkbp1a,0,0,0,0,0
Fkbp3,1.2934259439728,1.15298868167365,1.24436959171262,1.21896260049128,0
Fkbp4,0,0.696600480240732,0,0,1.87426860185801
Ftl1,0,0.499940989088802,0.582197950917851,0,0
G3bp2,0,0.564929587286657,0,0,0
Gadd45gip1,0,0,0,0,0
Gars,0,0,0,0,0
Gart,0,0,0,0,1.22223487535125
Gas5,0,0,0,0,0
Gdi2,0,0,0,0,0
Glrx3,0,0.529415021087528,0,0,0
Gm10036,1.93405557670108,1.88881768421574,2.02861678691902,1.55488152500805,1.94575600866154
Gm10736,0,0,0.606070232204861,0,1.1597083265192
Gm11478,0,0,0,0,0
Gm11942,1.36088865248524,1.57656339489286,1.61515042968053,1.83434705974694,1.22223487535125
Gm15427,0,0,0,0,0
Gm15459,1.32624043446621,1.29555962238968,1.0657530041305,1.26652919994356,1.87426860185801
Gm2000,0,0,0,0.744382284865715,0
Gm24289,0,0,0,0,2.32170752569053
Gm26917,0,0,0,0,0
Gm28438,0,0,0,0,1.1597083265192
Gm8730,0,0.689023838733942,0.715683736504358,0.467560647400547,1.1597083265192
Gm9794,0,0,0,0,0
Gng5,0,0,0,0,0
Gnl3,0,0,0,0,0
Gpi1,0,0,0,0,1.1597083265192
Gpx1,1.12730735167016,0.833585239536892,1.23271599829694,0.988512340809963,1.87426860185801
Gpx4,0,0.766085195542928,0.76537019622941,0,0
Gsta4,0.699262894825655,0.889539190734297,0.994317399863259,0,1.27869729134078
H2afj,0,0,0,0,0
H2afv,0,0,0,0,0
H2afz,1.19159440713695,1.1229460044685,1.26330750141166,1.2260875141501,0
H3f3b,1.14470348375224,0.976287483191483,1.06610704248982,1.34522912373031,1.1597083265192
Hars,0,0,0,0,0
Hat1,0,0.610093391313029,0.652491880735787,0,0
Higd1a,0,0,0,0,0
Hint1,1.78986259083794,1.59476215011968,1.57493153895292,1.29776540982162,1.94575600866154
Hk2,0,0,0,0,0
Hmces,0,0,0,0,0
Hmgb1,0,0,0,0,0
Hmgb2,0,0,0,0,0
Hmgn1,1.22792832963975,1.08743991515132,1.15215448504539,1.13731957237088,0
Hnrnpa2b1,0,0,0,0,0
Hnrnpab,0,0.767878689678171,0,0.285973844468994,0
Hnrnpc,0.755849643962967,0.779934854921718,0.80723676418165,1.17315325610657,1.1597083265192
Hnrnpk,0,0,0,0,0
Hnrnpu,0,0,0,0,0
Hsbp1,0,0,0,0,0
Hsd17b14,0,0,0,0,0
Hsp90aa1,2.15821541097424,2.16012127833529,1.49633356633886,1.87712498098879,1.94575600866154
Hspa8,1.09976646416754,0.852750076218401,0.742517525843821,1.16797778371529,1.79420585872181
Hspa9,0,0.552138033051916,0,0,1.22223487535125
Hspb1,1.50957726938291,1.17774665704717,1.52611539757047,1.22082966543346,1.22223487535125
Hspd1,0,0.544168961944754,0,0,0
Hspe1,1.77661841109627,1.67711589367765,1.9036266002385,1.3796821734045,1.87426860185801
Idh3g,0,0,0,0,1.22223487535125
Ifi27,0,0,0,0,0
Ifitm1,1.25625952469798,1.11666509082812,1.04257900078974,1.21896260049128,0
Ifitm2,1.23079618964775,0.892467553301889,0.928164143371601,0.74894314742484,1.27869729134078
Igfbp2,0,0,0,0,1.1597083265192
Imp3,0,0,0,0,0
Impdh2,0,0,0,0.71644579994388,0
Krtcap2,0,0,0,0,0
L1td1,0,0,0,0,0
Lamtor5,0,0,0,0,0
Ldha,1.82868998133405,1.6014950314897,1.51180943231404,1.4901945576575,1.94575600866154
Ldhb,0,0,0,0,0
Lsm2,0,0,0,0,1.22223487535125
Lsm4,0,0,0,0,1.1597083265192
Lsm7,0,0,0,0,0
Lyar,0,0,0,0,0
Map1lc3b,0,0,0,0,0
Mcm5,0,0,0,0,0
Mcm7,0,0,0,0,0
Mdh1,0,0,0,0,0
Metap2,0,0,0,0,0
Minos1,0,0.615084819011166,0.635908540455596,0.67176573209954,1.1597083265192
Mkrn1,1.16822483725224,1.16951369964298,1.29449184574798,1.10149714825379,0
Mrpl12,0,0,0,0,0
Mrpl15,0.859039617316409,0.783290500006065,0.80683862144886,0.854702380630152,0
Mrpl17,0,0,0,0,0
Mrpl18,0,0,0,0,0
Mrpl20,0,0,0,0,0
Mrpl24,0,0,0,0,0
Mrpl30,0,0,0,0,0
Mrpl34,0,0,0,0,1.22223487535125
Mrpl42,0,0,0.662977603125882,0,1.1597083265192
Mrpl45,0.636889169779218,0.672986980868112,0.663777873864616,0.988512340809963,1.1597083265192
Mrpl51,0,0,0,0,0
Mrpl52,0,0,0.444046007767579,0,0
Mrps14,0,0,0,0,0
Mrps24,0,0,0,0,0
Mrto4,0,0,0,0,0
mt-Co1,1.75594819214705,1.94157729824428,1.70573835735669,2.30907214231218,3.26886220750079
mt-Nd2,1.58230424701617,1.86708914241311,1.66750220841002,1.88491767950807,4.28840093994356
mt-Nd4,1.6836986455637,1.77803959031912,1.53069469094429,2.09824135621219,4.1790632021862
mt-Nd5,0.731606167894804,0.912510450842203,0.798569697318896,1.12831986282501,3.1696799224752
mt-Rnr1,0,0.75238469452412,0,0.67176573209954,0
mt-Rnr2,1.86887814364234,1.55167893062208,1.18477514648998,1.74632963865645,2.56961022798875
Mt1,1.37045893963882,1.34102008569943,1.3030869982656,0.859263243189276,0
Mt2,1.43905796795437,1.41280286393879,1.49852326231998,1.07446001302945,1.22223487535125
Mtch2,0,0,0,0,0
Mtdh,0,0,0,0,0
Mtf2,0,0,0,0.623293439996937,1.79420585872181
Myl12a,0,0,0,0,0
Myl6,0,0,0,0,0
Naa38,0,0,0,0,1.1597083265192
Naca,1.55563422542228,1.38941932628388,1.46639185517212,1.65188399662215,1.1597083265192
Nap1l1,0,0.518667131360659,0,0,0
Nars,0,0,0,0,0
Nasp,0,0.600570992068,0,0,1.22223487535125
Ncl,1.39628369200681,1.44241427303716,0.940546843905189,1.0243349668886,1.79420585872181
Ndufa11,0.572540512979255,0.767878689678171,0.777714069493501,0,1.1597083265192
Ndufa12,0,0,0,0,0
Ndufa13,0,0.51689174380279,0,0,1.1597083265192
Ndufa2,0.668350140835724,0.71258373292232,0.716931458426545,0.678181660383228,1.22223487535125
Ndufa3,0,0.518667131360659,0,0,0
Ndufa4,1.26868541997601,1.12136883154565,1.3125369880428,1.22082966543346,1.79420585872181
Ndufa5,0,0.54542116276798,0.56998055930619,0,1.1597083265192
Ndufa6,0,0.629608480403132,0.678806084373292,0.285973844468994,0
Ndufa7,1.06257768129331,1.18921310704192,1.3826271821119,0,1.27869729134078
Ndufb2,0,0,0,0,0
Ndufb5,0,0.381649386594752,0,0,0
Ndufb6,0.470789740448785,0.762523803800343,0.88856746966002,0.605650965939515,1.27869729134078
Ndufb7,0,0,0,0,0
Ndufb8,0.722919294603092,0.805646607044243,0.93029337396665,0,0
Ndufb9,0.784791412041049,0.763944287004374,0.911486243145376,0.932444373958877,1.22223487535125
Ndufc1,0.751695599057945,0.767878689678171,0.79701432832358,0.285973844468994,0
Ndufs6,0.841317354086234,0.764300254381366,0.816914655241635,0,1.27869729134078
Ndufs7,0,0,0,0,0
Ndufv2,0,0,0,0,0
Ndufv3,0,0.797402587892534,0.798569697318896,0.957777391160513,0
Nedd8,0.620858505716208,0,0.553797263813009,0.854702380630152,0
Nhp2,1.47764361317857,1.28566612500191,1.4102340662076,1.41527151109828,1.22223487535125
Nme1,1.17862040340691,1.00861631741827,1.21893943876135,0.744382284865715,1.22223487535125
Nol7,0,0,0,0,0
Nop10,1.32287907889026,1.15886386291027,1.37529852004583,1.19098547818349,1.94575600866154
Nop58,0,0,0,0,1.1597083265192
Oaz1,1.13816493998729,0.926838485456737,1.09675139779126,1.1498501012886,1.87426860185801
Pa2g4,0,0.590501752941808,0,0,0
Pabpc1,0.579549941911875,1.08780919522561,0,0,0
Paics,0,0,0,0,0
Park7,0.84699403549037,0.622026475973917,0.735865245413915,0.753534491869541,0
Pcna,0,0,0,0,0
Pdap1,0.830617601883591,0.818141168197944,0.576926230358381,0,0
Pebp1,0,0.70495226070487,0.735865245413915,0,1.87426860185801
Pfdn1,0,0,0,0,0
Pfdn5,0,0,0,0,0
Pfn1,0.58756824232516,0.70828947012044,0.810838274911024,0,0
Pgls,0,0,0,0,0
Phb2,0,0.561866108441626,0,0,1.22223487535125
Phf5a,0,0,0,0,0
Pkm,1.78339184802681,1.62120575361435,1.37287414770545,1.55561103639872,1.22223487535125
Pmm1,0,0,0,0,1.1597083265192
Polr1d,0,0,0,0,0
Polr2c,0,0,0,0,0
Polr2e,0,0,0,0,0
Polr2f,0,0,0,0,0
Polr2i,0,0,0,0,1.22223487535125
Polr2j,0,0,0,0,0
Polr2m,0,0,0,0,0
Pomp,0,0,0,0,0
Ppa1,0,0,0,0,0
Ppia,1.36088865248524,1.50218829965858,1.99077749860501,1.2961281058364,2.23338734094118
Ppid,0,0,0,0,1.27869729134078
Ppp1ca,0,0,0,0,0
Prdx2,0.58756824232516,0.75238469452412,0.784415631828469,0.731214815044955,0
Prdx6,0,0,0,0,0
Prelid1,0,0,0,0,0
Prps1,0,0,0,0,0
Psat1,0,0,0,0,0
Psma1,0.448107652001705,0.615084819011166,0.643840600067028,0.396768678473359,0
Psma2,0.955526911882771,0.888810194586491,1.10355981949412,0.873126162360897,0
Psma4,0,0,0,0,1.22223487535125
Psma6,0.991264508963754,0.831463280616064,0.879444139551511,0.734088274001302,0
Psma7,1.24633463156957,1.10355981949412,1.18654612804543,1.09181820792102,1.79420585872181
Psmb1,0,0.843055674288883,0.945485873447712,0,0
Psmb2,0,0,0,0.654123258042117,0
Psmb3,1.15466089581228,1.0521345210703,1.13411807257732,0.859263243189276,0
Psmb4,0,0.766085195542928,0.677968517500412,0,0
Psmb6,0.998624432878361,0.96349077279999,1.096375731882,0,1.27869729134078
Psmc3,0,0,0,0,0
Psmc4,0,0,0,0,0
Psmd12,0,0,0,0,1.22223487535125
Psmd7,0,0,0,0,0
Psph,0,0,0,0,1.22223487535125
Ptma,1.87547128627404,1.83210688013123,1.89804231808002,1.88213558455518,1.79420585872181
Pttg1,0,0,0,0.913159509323651,0
Raly,0,0,0,0,0
Ran,1.14800248483149,1.10508485426755,1.31510628380917,0.988512340809963,1.87426860185801
Ranbp1,1.06966099569427,0.788949475461172,0.945485873447712,0,0
Rbm25,0,0,0,0,0
Rbm39,0,0,0,0,0
Rbm8a,0,0.70495226070487,0.722601600924525,0,1.1597083265192
Rbmxl1,0,0,0,0,1.27869729134078
Rbx1,0.732911280191037,0.752729726960672,0.852750076218401,0,0
Rhox5,0,0,0,0,0
RP23-118L13.5,0,0,0,0,1.22223487535125
Rpl10a,1.33358643704657,1.17993359063822,1.22317989792919,1.11765336823127,1.27869729134078
Rpl11,1.52763850176602,1.50957726938291,1.67244879459552,1.66922303402514,1.22223487535125
Rpl13a,0,0.75238469452412,0.709817061439129,0,0
Rpl15,1.19819524004678,0.995544035579542,1.19055135011685,1.21010071487115,1.27869729134078
Rpl17,1.4977925891202,1.81219020267626,1.98733483292853,1.57180694135468,1.22223487535125
Rpl22,1.70411970024644,2.01101993842878,2.17389724413948,1.70611582373289,1.22223487535125
Rpl22l1,0.601881556551546,1.09750353937519,1.21940906297039,1.14900298861573,0
Rpl23a,1.90987551759267,2.06083973997803,2.32967243230686,2.46641883805031,2.23338734094118
Rpl27,1.41409105226266,1.87908989501026,2.1271005360935,1.81367387323833,1.1597083265192
Rpl27a,1.42187373988199,1.56120889281655,1.73972788138816,1.23367908272748,1.22223487535125
Rpl28,1.68181200876484,1.57005813234339,1.70153695175256,1.65790655118407,1.79420585872181
Rpl3,1.38632310820705,1.70411970024644,1.72244664199474,1.32965244260718,0
Rpl34,0,0.849198412695962,0.971010070546796,0,1.22223487535125
Rpl35,1.4102340662076,1.39565664208138,1.41667504774844,1.11247789583999,0
Rpl35a,1.36446065187261,1.45772984766197,1.66197592831467,1.48793536527256,1.87426860185801
Rpl36a,1.68875275188566,1.81740356968783,2.03174508157565,1.89457471186775,0
Rpl36al,1.14224229080201,1.18743371666854,1.33018518334166,1.14886254702763,0
Rpl37a,2.06190825372829,2.17434925772138,2.30207947437311,2.20955562830653,2.56961022798875
Rpl39,2.07548305369635,2.29202977357106,2.55738554699085,2.3028065674989,0
Rpl39l,0,0,0,0,0
Rpl5,1.59812078870802,1.62468848397547,1.56414646793708,1.58612194112179,1.27869729134078
Rpl6,1.80959614981088,1.72145369538421,1.80848697481936,1.51325898268549,0
Rpl7a,0.54848663935082,1.15886386291027,1.33245061944907,1.08301766575677,0
Rpl9,1.36207708688006,1.63399812808668,1.98596160827569,1.67664918728697,1.1597083265192
Rplp0,1.74257788744283,1.87186848521072,2.00351933101044,2.34018843233713,1.79420585872181
Rplp2,2.25433770677002,2.49324119119842,2.69289077315986,2.31792651815767,1.79420585872181
Rps10,1.35970244126843,1.65406477474062,1.88353427512675,1.4745957669588,1.22223487535125
Rps13,1.34332525369541,1.28812437597036,1.50169850067299,1.66922303402514,1.27869729134078
Rps13-ps1,1.89989958963247,1.91138223625022,2.11590093282738,2.30907214231218,1.22223487535125
Rps16,1.45669785255193,1.69033908561779,1.9079959291187,1.78012478704314,1.94575600866154
Rps18,1.80627321762527,2.05075276773762,2.31437014023312,1.8888185863226,2.56961022798875
Rps19,1.9678586023825,2.11590093282738,2.34377127650712,1.87002810642135,1.22223487535125
Rps2,1.93341027638773,1.99304732662549,1.94575600866154,1.8245540498985,1.1597083265192
Rps23,1.75387627897024,1.99304732662549,2.21596421719086,1.79199240401203,1.27869729134078
Rps25,1.86828137730275,1.98322171236688,2.19330614157267,1.79199240401203,1.79420585872181
Rps27l,1.89167660672963,1.8191988147443,2.12442134889175,1.93864284803222,1.27869729134078
Rps28,1.40132202546258,2.03391738986096,2.37768849339017,2.04740919462343,1.94575600866154
Rps29,2.34580228790788,2.96768813403665,3.1829764640109,2.89155643977915,3.07120238578603
Rps3a3,2.03536859279961,2.01882333639629,2.1963108616002,2.11013400854713,1.27869729134078
Rps4l,1.25525948496884,1.19593629139277,1.23754341894186,1.09163603579825,1.22223487535125
Rps4x,1.93276546906961,2.03391738986096,2.10746026518999,1.92361276813219,1.22223487535125
Rps6,0,0,0.582197950917851,0,0
Rps7,2.07548305369635,2.33609209191314,2.48540398351,2.18751348233043,1.1597083265192
Rsl1d1,0,0,0,0,0
Ruvbl2,0,0,0,0,0
Samm50,0,0,0,0,1.27869729134078
Sec61b,0,0.529415021087528,0.650435082736474,0.711884937384755,0
Sec61g,0,0,0,0,0
Selenoh,1.10052294726428,0.821017790650941,1.03453145217301,0.319677121470521,0
Serbp1,1.56629050929811,1.82506112989224,1.53222779947383,1.19984736380361,1.1597083265192
Set,0,0.707072217165388,0,0,0
Sh3bgrl3,0,0,0,0,0
Siva1,0,0,0,0,0
Skp1a,0,0,0,0,0
Slc25a3,0.92393577668154,0.857683832066132,0.857232881962297,0,0
Slc25a39,0,0,0,0,0
Slc25a4,0,0.752729726960672,0.544704906348828,0,1.27869729134078
Slc3a2,0,0,0,0,1.1597083265192
Slirp,0.683025735124457,0.971010070546796,1.28391634172344,1.09181820792102,0
Smc4,0,0,0,0,0
Smdt1,0,0,0,0,0
Snrpa1,0.693374348514337,0.57313458335779,0.499940989088802,0,0
Snrpb,0,0,0,0.285973844468994,0
Snrpb2,0,0,0,0.62041998104059,1.22223487535125
Snrpd1,0.986420185698737,0.779563822351934,0.915081404936381,0.623293439996937,0
Snrpd2,0.976877539955233,0.915855612866673,1.096375731882,0.886985422233326,1.1597083265192
Snrpd3,1.29984958281593,1.0710895228189,1.24929457569412,1.06118825145406,1.1597083265192
Snrpe,0.756197935022879,0.96063078552277,1.12690939570634,0,0
Snrpf,0,0.398034643232666,0,0,1.1597083265192
Snrpg,1.36326775111311,1.37570347697779,1.52763850176602,1.22512442971956,1.87426860185801
Snu13,0,0,0.59071242629877,0.285973844468994,0
Snx3,0,0,0,0,0
Sod1,1.07539914471106,1.03586370373746,1.07612094401536,1.06118825145406,1.1597083265192
Sod2,0,0,0,0,0
Son,0,0,0,0,0
Spc24,0,0,0,0,1.1597083265192
Spp1,1.1972905792534,0.752729726960672,0.917667373709376,0.886985422233326,0
Srm,0,0.51689174380279,0,0,1.27869729134078
Srp14,0,0,0,0,0
Srsf11,0,0,0,0,0
Srsf2,0,0,0,0,0
Srsf3,1.1972905792534,0.975109586223334,1.090030402084,1.12802068698589,0
Srsf6,0,0,0,0,0
Srsf7,0,0.615084819011166,0.542567512190121,0,0
Ssb,0,0,0,0,0
Ssr2,0,0,0.571553163359894,0,0
St13,0,0,0,0,0
Stmn2,1.20548489110145,1.06966099569427,1.00861631741827,0.988512340809963,1.1597083265192
Stoml2,0,0,0,0,0
Sub1,1.37489381922322,1.40639969819416,1.5880912186405,1.22842123401084,1.1597083265192
Suclg1,0,0,0,0,0
Sugt1,0,0,0,0,0
Swi5,1.00359451085692,0.860854209786231,0.941639784128843,0,1.1597083265192
Taf1d,0,0,0,0.686620605523077,0
Tagln2,0,0,0,0,0
Taldo1,0,0,0,0,0
Tbca,0,0,0,0,0
Tbcb,0,0,0,0,0
Tceal9,0,0,0,0,0
Tcp1,0,0.518667131360659,0,0.337319595527943,0
Tdgf1,1.21101400077626,1.1077643267549,0.936742146021545,0.467560647400547,1.79420585872181
Tdh,0,0.58756824232516,0,0,1.79420585872181
Tecr,0,0,0,0,1.22223487535125
Timm13,0,0,0,0.285973844468994,0
Timm8b,0,0,0,0,0
Tipin,0,0,0,0,0
Tma7,0,0,0,0,0
Tmem160,0,0,0,0,0
Tmem258,1.119796302549,0.810436479353476,0.936201216579802,1.10131497613103,1.22223487535125
Tmsb10,1.23175530102287,0.860854209786231,0.930827261522207,0.996612787844549,1.1597083265192
Tmsb4x,1.36925475493063,1.40959343992927,1.72943324174588,1.26859420086657,1.22223487535125
Tomm7,0,0.547039729902467,0.795465158723284,0,1.1597083265192
Tpi1,0.871443270378225,0.779934854921718,0.494145566217005,0.285973844468994,0
Tpt1,1.45258565291106,1.6229450573666,1.7398633595338,1.86118450273531,1.27869729134078
Tra2b,0,0,0,0,1.22223487535125
Trap1a,0,0,0,0,0
Trh,0,0,0,0,0
Trim28,0,0.883261896159571,0,0,1.1597083265192
Trmt112,0,0,0,0,0
Tuba1b,1.39628369200681,1.36685318986516,1.50883481018505,1.22938431844137,1.87426860185801
Tuba1c,0.589870646040938,0.645098191898323,0,0.930055212116464,0
Tubb4b,1.25127617935737,1.07359906895263,1.07037476096143,1.3910416993907,1.1597083265192
Tubb5,1.4038559137245,1.38017498082973,1.19189277809287,1.23367908272748,1.1597083265192
Txn1,0,0.875660246561752,1.1425152068817,0,0
Txnl1,0,0,0,0,0
Txnl4a,0.904382740971459,0.675745261079046,0.672438073443272,0.744382284865715,1.1597083265192
U2af1,0,0.512111623217604,0.606070232204861,0,0
Uba2,0,0,0,0,0
