,Ovary_3,Ovary_11,Ovary_4,Ovary_6,Ovary_10,Ovary_12,Ovary_1,Ovary_13,Ovary_5,Ovary_8,unassigned,Ovary_7,Ovary_9,Ovary_2,Ovary_14
Aldoa,1.51928473388917,0,0,1.10683358526929,1.23760986966585,0,0.853479899598404,0.81861897019882,1.01891704765493,0,0,0,1.18649399150948,1.14291650363678,0
Amh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amhr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa2,1.17897114258328,1.54622566212594,0,0,1.49756132720716,0,0,0.951967174253863,0,0,0,0,0,0,0
Anxa5,1.22630621130742,0.836386322942031,0.925867525342309,0,0.987334916142621,0.491625455362804,0,0,0,0,0,0,0,0,0
Aplp2,0.866983488204225,0,0,0,1.22703393930689,0,0,0,0,0,0,0,0,0,0
Apoa1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoa4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoe,0,0,0,0,0,4.84840788849545,0,1.41260342121643,0,0,0,0,0,0,6.42204764120293
Arpc1b,0.428893619096954,0.940204496617142,0,0,0,1.71265055850654,0,0,0,0,0,0,0,0,1.03300619772895
