,unassigned
Nhp2,0.947814696841376
Nme1,0.578556587123951
Nop10,0
Npc2,0
Npm1,1.70089505167662
Oaz1,1.14398286271272
P4hb,0
Pa2g4,0
Pabpc1,0
Park7,0.508074495450129
Pdcd5,0
Pdia6,0
Pdlim1,0
Pebp1,0
Perp,0
Pfdn1,0
Pfn1,0.542651248752305
Phb2,0
Phlda2,0
Phlda3,0
Pkm,1.62996118762131
Plac1,0
Pmm1,0
Polr1d,0
Polr2e,0
Polr2f,0
Pomp,0
Ppib,0
Ppp1ca,0
Prdx1,1.65975602165038
Prdx2,0
Prdx5,0
Prdx6,0.641559271661796
Procr,0
Psap,0
Psma1,0.926739738590023
Psma2,1.05589263986353
Psma3,0
Psma4,0
Psma6,0.773183694924836
Psma7,1.11483996712982
Psmb1,1.01981566562755
Psmb2,0.60422074583744
Psmb3,0.999659179307521
Psmb4,0.798850098920352
Psmb6,1.40847052598395
Psmb7,0
Psmd4,0
Psmd8,0
Ptma,1.22286413168654
Pttg1,0
Rab11a,0
Rabac1,0
Ran,1.01850931242352
Ranbp1,0
Rbbp7,0.555612790533849
Rbm8a,0
Rbp1,0
Rbx1,0.86285416877121
Reep5,0.636848088233324
Rhoa,0
Rhoc,0
Rhox5,1.39008537526746
Rhox6,1.02086320747392
Rhox9,0
Rnh1,0
Romo1,0
RP23-269H21.1,0
Rpl10a,1.33882431500747
Rpl13a,0
Rpl22l1,0.923960159877526
Rpl24,0
Rpl29,1.34442331466838
Rpl35,1.59044436768519
Rpl36al,1.08542174933895
Rpl5,1.38907911013716
Rpl7a,1.12775904704499
Rps10,1.60475554647074
Rps13-ps1,1.11800089306771
Rps16-ps2,0
Rps4l,0.966151251469755
Rps6,1.31863963447217
S100a10,0.836443286636058
S100a11,1.50173453505611
S100a6,2.13372434983433
Sct,0
Sec61b,0.64075211841695
Sec61g,0
Sec62,0
Selenoh,1.02303082575675
Sem1,0.723101653511682
Sept4,0
Serbp1,0.661345816961751
Serf2,0
Serpinh1,0
Sfn,0
Sh3bgrl3,0
Sin3b,1.38707127513407
Siva1,0
Skp1a,0
Slc25a3,1.33235491324881
Slc25a4,1.22305556823814
Slc25a5,1.44357776626374
Slc2a1,0
Slc2a3,0
Slc38a4,0
Slc3a2,0
Slirp,0.883073452917559
Smdt1,0
Snrpb,0
Snrpc,0
Snrpd1,0
Snrpd2,0.670605278403322
Snrpd3,0.835576150468113
Snrpe,0.909490468567975
Snrpf,0
Snrpg,1.18579180231813
Snx3,0
Sod1,0
Sparc,1.6675817432443
Spcs1,0
Spink1,0
Spp1,0
Sqstm1,0
Srgn,0
Sri,0
Srp14,0
Srsf3,0.754803735392371
Ssr2,0.658156707293649
Ssr4,0.467721390755619
Ssu72,0
Stmn2,0
Sub1,1.21349332650837
Sugt1,0
Swi5,1.24352664212864
Tagln2,1.23740758364093
Taldo1,0
Tbca,0.731115167079296
Tbrg1,0.379188177022683
Tceal9,1.07247441857471
Tdgf1,0
Tex19.1,0
Tfpi,0
Thyn1,0
Timm13,0
Tinagl1,0
Tma7,0
Tmbim4,0
Tmbim6,0
Tmed10,0
Tmem14c,0
Tmem256,0
Tmem258,0.581437711833039
Tmem37,0
Tmem59,0
Tmsb4x,2.514113607952
Tnfrsf12a,0
Tomm7,0
Tpi1,1.12775904704499
Tpm1,1.15337937692536
Tpm2,0
Tpm4,0
Trap1a,0
Tsc22d1,0
Tuba1a,0
Tuba1b,1.12663025572182
Tuba1c,0.863904333744761
Tubb4b,1.1433178415184
Tubb5,1.25961886321915
Tubb6,0
Txn1,1.54469768233144
Txndc12,0
Txndc17,0
Uba52,0
Ube2a,0
Ube2b,0
Ube2c,0
Ube2d3,0
Ubl5,1.03820557086203
Ubxn1,0
Uchl3,0
Uqcr10,1.21923696360491
Uqcr11,0.768271379370006
Uqcrb,1.40743538351282
Uqcrc1,0
Uqcrh,0.982084379601917
Uqcrq,1.23564298378309
Usmg5,1.41786125357521
Utf1,0
Vamp8,0
Vdac2,0
Wfdc2,0
Ybx1,0
Ywhab,0
Ywhae,0
Zfas1,0
Zfp706,0
Zwint,0
