,Small-Intestine_9,unassigned,Small-Intestine_16,Small-Intestine_12,Small-Intestine_5,Small-Intestine_8,Small-Intestine_10,Small-Intestine_7,Small-Intestine_1,Small-Intestine_4,Small-Intestine_24,Small-Intestine_27,Small-Intestine_23,Small-Intestine_3,Small-Intestine_26,Small-Intestine_22,Small-Intestine_25,Small-Intestine_2,Small-Intestine_18,Small-Intestine_15,Small-Intestine_20,Small-Intestine_14,Small-Intestine_11,Small-Intestine_19,Small-Intestine_21,Small-Intestine_28,Small-Intestine_6,Small-Intestine_13,Small-Intestine_17
Mgp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3910924781553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mgst1,0,0,0,0,0.883734693948177,0,0,0.88476444176418,0,0,0,0,0,0.613722687685204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mmp7,1.85257954165787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpeg1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47818526083016,0.323582204669735,0,1.20581241911772,0
Mptx2,3.49487306045909,0,0,0,0,0,0,0,0,0,0,0.757937769451921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71211069678225,0,0
Ms4a1,0,0,0,1.2329213619902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67707121921725,0,0,0,0,0,0,0,0
Ms4a6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.834553566130417,0,0,0,0,0,0,0,0
Ms4a6c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481974568876461,0,1.24591204069226,0
mt-Nd3,0,0,0,0,0.490344050352824,0,0,0,0,0,0,0,0,0,0,0.656066426742219,0,0,0,1.96042580935088,0,0,1.769433916578,0,0,0,0,0,1.90006426714003
mt-Nd5,0,0.794383319401536,0.646170618371572,0.459856598742056,1.11248884665636,0.688007167215647,0,0.969955227051428,0,0,1.15092247913856,0.546674147919598,0.921662619924512,0.82168667451594,0.632701313396731,1.64711006784579,0,0,0,3.08703903024654,0.591296681264706,0.995664788917794,2.80829571514639,0,1.10777767343634,0.419924342722309,1.29085162609211,0,2.97681337670625
mt-Rnr1,0,0,0,0,0.295398708148228,0.539294898237716,0,0.647292843233815,0,0,0,0.800400672484459,0,0,0,1.01550486936054,0,0,0,2.66061479248791,0,0,1.6005713099391,0,0,0,0,0,1.56491012861939
mt-Rnr2,0.454151059134245,1.3166516966026,0.850454621610475,0.817004567840078,0.931209566503434,1.37038729184735,1.175499827018,1.26736899363973,0,1.0668028898485,0.50139531273568,1.50825774233882,0.862238032468603,0,1.35469254800131,1.16107130641529,0,1.34108292038785,1.60729022216542,4.14896270285762,1.43235439080443,1.57594382515298,3.62090458136471,0,0.924045024301274,0.833331362328251,1.62779544111517,0,2.470936640324
Mt1,0,0,0,0,0.687636423750901,0,0,0,0,0,0,0,0,0.874056850093856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
