,unassigned,Neonatal-Rib_4,Neonatal-Rib_8,Neonatal-Rib_15,Neonatal-Rib_7,Neonatal-Rib_11,Neonatal-Rib_19,Neonatal-Rib_10,Neonatal-Rib_18,Neonatal-Rib_16,Neonatal-Rib_2,Neonatal-Rib_6,Neonatal-Rib_13,Neonatal-Rib_22,Neonatal-Rib_9,Neonatal-Rib_3,Neonatal-Rib_21,Neonatal-Rib_25,Neonatal-Rib_12,Neonatal-Rib_14,Neonatal-Rib_5,Neonatal-Rib_24,Neonatal-Rib_20,Neonatal-Rib_1,Neonatal-Rib_17,Neonatal-Rib_23
Mmp8,0,0,0,0,0,0,0,1.18469219802775,0,0,2.01177346218176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mmp9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpo,0,0,0,2.80541211780922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpz,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92517402579281,0,0,0,0,0,0,0,0,0,0,0,0
Mrgpra2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a6c,0,0,0,0,0,0,0,0.763070211350691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Msmo1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Msrb1,0,0,0,0.380726664483994,0,0,0,0.923426734329159,0,0,1.40964935162101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mt-Nd3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00806599305512,0,0,0,0,0,0,0,0,0,0,0,0
mt-Nd5,0.690219801060359,1.04384532127149,0.886562588176914,0,0.541309514588883,0.371686094573693,0,0.660640966534665,0.566062960068802,0.69979457929263,0,0.897586791954615,0.405337504875299,1.16417658983347,0.705200101021057,0.714585430671122,1.15624889596645,0,0.746274396054536,0.907736023358017,0.773195773483269,0.989403796641993,0.896367241190059,0,0.823092365021918,1.16901398399508
mt-Rnr1,1.89908056248066,1.93531327095586,0.901500237993623,1.50823381609746,1.67461335414366,1.1706887936906,1.22276222344874,2.41980775497376,1.51484715680887,1.72018070559098,2.62163881485627,1.64308769065217,1.86701410883782,1.37639413460095,1.89957697733881,1.17487059441941,2.07863732666048,1.61158765892391,1.4154419654798,1.96266708813369,1.28208399058872,1.44682881898867,2.23894929486047,1.61710747574215,1.24554643647511,1.20660359445382
Mt1,1.07916040941752,1.79939644299043,0,1.1038724046555,1.07472752801609,2.04477474403925,0,0.565107397993664,1.4911547521244,0,0,0.621334249152304,0,1.16417658983347,0.694482702924942,0,0,1.44328533271862,0,0.874234639262127,0,0,1.26336627756169,1.41109270652724,0,0
Mt2,0,1.46214473384977,0,0,0.708401812032383,1.79254785943705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708955799650884,0,0,0,1.17975253991805,0,0
Mxd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myl9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02751948835953,0,0,0
Mylpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758108496604196,0
Ndufa4,0,0,0,0.445552954792594,0,0.89157690735083,0,0,0,0,0,0,0.770994074555191,0,0,0,0,1.26054852605944,0,0,0,0,0,0,1.21641366119494,0.424358203328081
Neat1,0,0.888121343717214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nfkbia,0,0,0,0.680062837584991,0,1.1338919733148,0,1.46448756774801,1.23092991981993,0,0.667412356524297,0,0,0,0,0,0,0.59170642740648,0,0,0,0,1.37404405114228,0,0,0
