,unassigned
Rpl19,0.531266965940475
Rpl22,0
Rpl22l1,0
Rpl24,0
Rpl27a,0
Rpl29,0
Rpl3,0.855368981728737
Rpl35a,0.978828387059199
Rpl36a,1.03220805941919
Rpl36al,0
Rpl37rt,0
Rpl5,0
Rpl9,0
Rplp0,0.861007601319302
Rps10,0
Rps12,0.856027061421748
Rps13-ps2,0
Rps16,1.02019931798935
Rps16-ps2,0
Rps2,0.979264257591214
Rps27rt,0
Rps28,1.3238159992684
Rps4x,0
Rps7,1.19090330688617
Rpsa,0.870809072148172
Rtf1,0
Rtn1,0.736670609330831
S100a11,0
S100a6,0
Scd2,0
Sec61b,0
Sec61g,0
Sec62,0
Selenof,0
Selenoh,0
Selenom,0
Selenop,0
Selenow,0.456953294982301
Sem1,0.897620253624069
Serbp1,0
Serf1,0
Serinc3,0
Serpine2,0
Sh3bgrl3,0
Sin3b,0
Skp1a,0
Slc1a3,0
Slc25a4,0
Slc25a5,1.12186511263499
Slc3a2,0
Slirp,0
Smdt1,0
Snrpb,0
Snrpb2,0
Snrpc,0
Snrpd1,0
Snrpd2,0
Snrpd3,0
Snrpe,0
Snrpf,0
Snrpg,0.890400737221689
Snx3,0
Sox11,0
Sox4,0
Sparc,0
Sparcl1,0
Spcs1,0
Spp1,0
Srp14,0
Srp19,0
Srsf2,0
Srsf3,0
Srsf7,0
Ssr2,0
Stmn1,1.30679199619667
Stmn2,0
Stmn3,0
Swi5,0.702662144880699
Syt11,0
Tagln3,0
Tbca,0
Tbcb,0
Tceal9,0
Tcf4,0
Tecr,0
Timm13,0
Timm8b,0
Tma7,0
Tmem256,0
Tmem258,0
Tmem50a,0
Tmsb10,1.23454708546865
Tmsb4x,3.40976250549092
Tomm7,0
Tpt1,0.784231161294578
Tra2b,0
Trem2,0
Tsc22d1,0
Tsn,0
Tspan3,0
Tspan7,0
Ttyh1,0
Tuba1a,1.21470045557959
Tuba1b,0
Tubb2a,0
Tubb2b,0
Tubb3,0
Tubb4b,0
Tubb5,0.73302362568199
Txn1,0
Tyrobp,0
Ubc,0
Ube2c,0
Ube2e3,0
Uqcc2,0
Uqcr10,0.654124363795873
Uqcr11,0
Uqcrb,0.725184721817667
Uqcrq,0
Usmg5,1.04104104166637
Vim,0
Vtn,0
Xist,0
Ybx1,0
Ypel3,0
Ywhab,0
Ywhae,0
Ywhaq,0
Zfas1,0
Zfp36,0
Zfp706,0
