,unassigned,Neonatal-Muscle_18,Neonatal-Muscle_20,Neonatal-Muscle_19,Neonatal-Muscle_21,Neonatal-Muscle_11,Neonatal-Muscle_5,Neonatal-Muscle_12,Neonatal-Muscle_3,Neonatal-Muscle_9,Neonatal-Muscle_24,Neonatal-Muscle_23,Neonatal-Muscle_26,Neonatal-Muscle_7,Neonatal-Muscle_27,Neonatal-Muscle_15,Neonatal-Muscle_2,Neonatal-Muscle_6,Neonatal-Muscle_1,Neonatal-Muscle_16,Neonatal-Muscle_17,Neonatal-Muscle_14,Neonatal-Muscle_22,Neonatal-Muscle_8,Neonatal-Muscle_10,Neonatal-Muscle_4,Neonatal-Muscle_13,Neonatal-Muscle_25
Fabp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731919014906152,0,0,0
Fbn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99135492007736,0,0
Fbn2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcer1g,0,0.564303215744111,0,1.80263552694876,0,1.88682172475937,1.38684068894147,1.97220732752066,1.34743071123806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9481385664479
Fcgr3,0,0,0,0.913202513096012,0,0,0,0.77730130436399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcnb,0,0.654422280374232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fibin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fmod,0,0,0,0,0,0,0,0,0,1.67627994811575,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75396457062834,0,0,0,0
Fn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14392268980205,0,0
Fos,0,0,0,1.05402238596034,0,1.32790643029898,0,0.819242840081183,0,1.4970010123623,0,0.558328839589642,0,0,0,0,1.16625633310224,1.19166717632397,0.71533105944291,0.593334050631055,0.981531168346335,0,0,1.05378241117888,0.884424020042455,0,0,0
Fosb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fpr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fpr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fstl1,0.896087181664997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21492932585375,2.31267973938807,0.824629704368908,2.19802783552259,2.05261701257764,0,1.45608153504391,0.958193541611534,3.15900151256148,0,0
Fxyd1,0,0,0,0,0,0,0,0,0,0,0,0.483574151772823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fxyd5,0,0,0,1.25093003883889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fxyd6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0s2,0,0,0,0,0,0,0,0,0,0,0,0.92138477882205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54622832809394,0
Gadd45a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadd45b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873280203358564,0,0,0.886215810726098,0,0,0,0,0,0,0
Gadd45g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364623281915688,0
Gas1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm42418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5416,0,0,0,0,0,0,0.965935982414019,0,1.12199329138172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5483,0.924753554062222,1.45094138950109,0,0.23601471806319,2.22496536978232,1.1220332864929,4.71458170410538,0,4.7054058694617,0.885073717841475,0.327260142992632,0,0,0,0.634310607644367,0,0,0,0,0.632011111639973,0,0,0,0,0,0,0,0
Gm7325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gmfg,0,0.520725311166226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gnas,1.55275699811932,0.698774077387785,0.654236629105421,0.851016112091387,0,0,0,0.744298085827217,0,2.02952654781211,0.764421559084938,1.0704670121505,1.74099764745918,1.64658895148733,1.41109311610393,1.19376672331834,2.32234766472463,2.2802093263963,2.36643587626094,1.06874299251126,1.93618561571745,2.27272189545007,1.53439730593539,1.62008918388855,2.4122125545989,2.07553806586821,1.99380560818226,1.21952833492121
Gng11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663747439204608,0,0,0,0,0,0,1.55797996803889,0,0,0
Gpc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpihbp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76467924403372,0,0,0
Gpx1,0,1.99406685687261,1.93984322824161,1.18743297434418,0.405529161298399,1.92483935191796,0.30205486216185,1.17595970170259,0,0,1.07853593859471,0.418137207486883,0,0,0.634310607644367,0.515360827365054,0,0,0,0,0,0,0,0,0,0,0,1.3022919207274
Gpx3,0,0,0,0,0,0,0,0,0,0,0,1.00987905745867,0,0,0.871601545546931,0,0,0,0,0,0,0,0,0,0,0,2.86949919296679,0
Grb10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468041544230642,0
Gsn,0,0,0,0,0,0,0,0,0,0,0,0.790426057738097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gstm1,0,0.795326778018828,0,0,0,0,0,0,0,0,0,0.429920454140044,0,0,0,0,0,0,0,0,1.33786548084476,0,0,0,0,0,0,0
H19,2.10502233289129,0.44364904776102,0.437793962818864,0.760026105457797,1.0064782005559,1.02719989768801,0,1.28400739778269,1.3488091524057,2.39585180225341,0.836131723222479,0.947829878622046,4.79075100961259,1.36135259432681,1.46492719103474,1.10273380659571,2.15850339714458,2.33179926344347,3.75641243852248,1.13236634818013,1.76881371714606,4.29662899468189,1.0201352545427,2.31415418456361,2.27757039000533,3.7600504743197,0.798327744156143,1.3022919207274
H2-Aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56209587466947
H2-Ab1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36022287864513
H2-D1,0,0,0,0,0,0,0,0.670965106773224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869397152561164
H2-Eb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25102703511654
H2-K1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2afz,0,0.917937415728001,1.06775523658944,0,0,0,0,0,0,0,0.637791910169123,0,0,0,0,0,0,0,0,0,0,0,0.946237949266693,0,0,0,0,0
Hapln1,0,0,0,0,0,0,0,0,0,1.22101477483102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hba-a1,0,0,0.305672742744654,0,6.68680757089092,0,3.68721576713291,0,0,3.09867022676925,0,0,0.736783392057678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hba-a2,0,0,0,0,6.21970221010221,0,3.13071070027762,0,0,2.55167612082307,0,0,0.768665995814535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hbb-bs,0.963189767279964,0,0.575900871149349,0.74386158874429,6.94048892782005,1.05402238596034,4.57868754668781,0,0,4.09380719684001,0,0.37879216549957,1.5480925568794,0,1.07340327241839,0.444977917091402,0.962516913425414,0,0,0.593334050631055,0,0,0,0,0,0,0,0
Hbb-bt,0,0,0,0,4.42034386595061,0,2.21557903021469,0,0,1.62214701921524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hcar2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hdc,0,0,0,2.18184747825898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hes1,0,0,0,1.03140970635582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hmgb1,0,0.691311484922452,0.68575489455615,0,0,0,0,0,0,0,0.551463615762249,0.460360336265935,0,0,0,1.08808048441353,0,0,0,0.661717414943402,0,0,1.01150840721365,0,0,0,0,0
Hmgb2,0,0.833773619771053,0.529718885525879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hmox1,0,0,0,0,0,0,1.50970822860969,0.541652032058161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hp,0,0.459462686055058,0,0,0,0.824550339796119,0.931699557713523,0,0.920095212109432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hspa1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hspb1,0,0,0,0,0,0,0,0,0,0,0,0,1.87413782423779,0,0,0,0,0.747604668286894,0,0,1.1045381302011,0,0,0,0.605947291242425,0,0,0
Htra3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I830127L07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15278849550805,0,0,0,0,0,0,0,0,0,0,0,0,0
Id1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Id2,0,0,0,1.12717153311981,0,0.545446781016419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Id3,0,0,0,0,0,0,0,0,0,0.843812440922352,0,0,0,0,0.691991061156925,0,0,0.360167784759351,0,0,1.33786548084476,0,0,0,1.06337105310011,0,0,0
Ier2,0,0.165822135513823,0,1.15055511465289,0,0,0,0,0,1.08241926964171,0.456538828305341,0.652268879564434,0,0,0.351300945150441,0,0,0,0,0,0,0,0,0,0.636069323960318,0,0,0
Ier3,0,0,0,1.21109295236575,0,0,0.814267333761262,0,0,1.13618852608788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi27l2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi30,0,0,0,0,0,0,0,0.504606923591247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifitm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifitm3,0,0,0,0,0,2.0073110091753,0,0.780370797684728,0.982946088084733,0,0,0,0,0,0.684497776973589,0,0,1.09982872749696,1.21823325289177,0,1.30357342741735,0.802107207821577,0,0.729805797410466,1.52259699916595,1.2674683394155,0,0.956096807034772
Ifitm6,0,0,0,0,0,1.1824667978711,1.33931755119437,0,2.04099593014172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifrd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690616235587649,0,0,0,0,0,0
Igf2,0,0,0,0,0,0,0,0,0,1.44063818332705,0,0,1.4728050520769,0,0,0,0,0.971554447135443,1.46533966198734,0,0.778613768196806,1.67591070440351,0,1.1863658959437,0.828593988918608,1.85168183361895,0,0
Igfbp4,0,0.406132451774543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973824071921546,0,0,0.802107207821577,0,0.487939212928685,0,0.653647765154602,0,0
Igfbp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igfbp6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555622028560938,0,0.971743883808465,0,0
Igfbp7,0,0,0,0,0,0,0,0,0,1.50569725864185,0,0.532124110204988,0,0,0.652725445490192,0,0,3.21109493889125,1.16070717242177,0,3.30637686898974,0,0,1.34331344062012,2.43224243355969,0.588394511284518,0,0
Ighm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47155507129882,0,0,0,0,0,0,0,0,0,0,0,0
Igkc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igll1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30678900195852,0,0,0,0,0,0,0,0,0,0,0,0
Il11ra1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il1f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il1r2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itgb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itm2a,1.32412073199857,0,0,0,0,0,0,0,0,1.95950444050185,0,0.591555702961299,0,1.23800574788169,0.870497911404889,0,2.02328184741232,0,2.63975618896723,1.25669162531689,0,2.82814262195705,1.53113973443013,1.02359038602669,0,2.72715864675048,0,0
Jun,0,0,0,0.812151749417199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junb,0,0,0,0.95538137374652,0,0,0,0,0,1.05378241117888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcnj8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klf4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klf9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laptm5,0,0,0,0.776762640315438,0,0,0,0.477485508290275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lcn2,0,0.706226346003042,0,0,1.44695965271453,1.06045927768653,3.27736528586332,0,3.35301576089448,0.488108871633929,0,0.469989421381498,0.75197114109014,0,0.591325584760324,0,0,0,0,0,0,0,0,0,0,0,0,0
Lcp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lgals1,1.61848438852022,0.718031883367007,0.366075116080816,2.04922549781401,1.05184226165006,1.02132673055937,0,1.94760950862338,0,0,1.40053466966223,1.05730580183117,1.16878915914157,1.70795601956795,1.37847224480021,0.835118472280455,2.398109600638,2.27757569038816,2.18236196617948,1.3087264887419,2.92747527228315,2.07482739378575,1.61022356694339,2.56559281460624,1.12390464907487,2.11940301564605,1.03394853416815,1.10273380659571
Lgals3,0,0,0,0,0,2.003650063477,0.784154902256786,0.688223637893007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lilr4b,0,0,0,0.514226991282542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lilrb4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Litaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loxl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lpl,0,0,0,0,0,0,0,0,0,0,0,2.7386525757468,0,0,0,0,0,0,0,0,0,1.04164512524998,0,0,0,0,1.4660115236731,0
Lsm6,0,0,0.322711524526559,0,0,0,0,0,0,0,0,0,0.529973414753502,1.33922303024192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lsp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956096807034772
Lst1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ltb4r1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ltf,0,0,0,0,0,0,1.43669748586872,0,1.51984267513778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691991061156925,0,0,0,0,0,0,0,0,0,0,0.926438483194446,0,0
Ly6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97392990759435,0,0
Ly6c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18536450127259,0,0,0
Ly6c2,0,1.54336679036727,0,0,0,1.72177840885409,0,0,0.819729567203957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ly6e,0,0,0.355201629736854,0,0,1.45186365538049,0,0,0,0,0.637791910169123,0,0,0,0,1.3165381892096,0,0,0,0,0,0,0,0,1.07817090646589,0,0,0.845885203541202
Ly6g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyve1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyz2,0.994783036591951,1.1120277609291,0,0.654209510278031,2.01121680514746,4.90887763259474,3.5433076043415,2.48204238309493,3.8390589007893,0,0.669030267817796,0,0,0,0.871601545546931,0.723715811000587,0,0.859742513835976,0,0,0,0.942259336991888,0,0.682148095251277,0.75855951608194,0,0,1.47656886470023
Maf,0,0,0,0,0,0,0,1.10816541487523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maged2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827847882043907,0,0,0.911528345096989,0,0,0,0.851169783261839,0,0
Malat1,0,0,0,0.815405631297466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matn3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mbp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990084722466066,0,0,0,0,0,0,0,0
Mcemp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mcl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mcpt4,0,0,0,4.20697772130103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mef2c,0,0,0,0,0,0,0,0,0,0,0,0,0.75197114109014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meg3,1.61530988317818,0,0,0,0,0,0,0,0,1.8065490904281,0,0,0,2.33576109151451,0,0,2.56259907978888,1.18336382970676,2.69267867365924,0.803974772159966,1.52612290860577,2.58785042906491,0,1.89723390081069,0,2.77676787630145,0.382893886633886,0
Mest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762947848466891,0,0,0,0,0.707490878930914,0,0,0,0
Mfap2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802107207821577,0,0.87828438605124,0,0,0,0
Mfap4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35714372653587,0,0,0,0
Mfap5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35994808567828,0,0,1.2254972126955,0,0,0,2.51126813629534,0,0
Mfge8,0,0,0,0,0,0,0,0,0,0.814888851936071,0,0,0,0,0,0,0,0.949871745422642,0,0,0,0,0,0,0,0,0,0
Mgll,0,0,0,0,0,0,0,0,0,0,0,0.220534888178297,0,0,0,0,0,0,0,0,0,0,0,0,1.38438134696586,0,0.656838732833106,0
Mgp,0,0,0,0,0.69089208823759,0,0,0,0,3.0343894179675,0,0,0,0,1.40957426757672,0,0,0,0,0,0,0,0,1.49240754663945,0,0,0,0
Mgst1,0,0,0,0,0,0,0,0,0,0,0,2.22416120196393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27203928568563,0
Mia,0,0,0,0,0,0,0,0,0,1.05214707231138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mmp14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784799117801858,0,0,0,0
Mmp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mmp8,0,0,0,0,0,1.12014897228575,2.72400875987979,0,2.65273760898871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mmp9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpo,0,2.51392560015471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57261969618164,0,0,0,0,0,0,0,0
Mrgpra2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrgprb1,0,0,0,1.43596408928581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mrln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a6c,0,0,0,0,0,1.09736454164607,0,0.981531168346335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Msc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Msmp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Msrb1,0,0.650506861424463,0,0,0,1.17906224500347,1.43352459368854,0,1.02745964732304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mt-Rnr1,1.21962119242437,0.712391852091991,0.503975242729344,1.59969674863204,1.87232700692164,1.37847876621927,2.73654519029172,0.541652032058161,1.64765468835516,1.95218084176719,0.637791910169123,1.24305904622549,0,0,1.40831125093851,1.01822412632787,1.16221855093587,1.31424959067358,1.11595718938648,1.18531653537506,1.2277515334556,1.12574214174472,1.02051735985693,1.3165381892096,1.13690953815526,1.22775263425819,1.96220710307396,0
mt-Tc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mt1,0,1.01910876671046,2.12891361336699,0.920658765366438,0,0,0,0.876045068159767,0,0,0,0.829070947880356,1.35714372653587,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19112458762714,0
Mt2,0,0,2.08175966861492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mustn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12439262360819,0,0,1.28152821817955,0,0,0,0,0,0,0
Mxd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myh11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myl1,0,0,0,0,0,0,0,0,0,0,0,0,4.89033073972907,0,0,0,0,0,0,0,0,1.50744973159593,0,0,0,0,0,0
Myl4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myl9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09991013721533,0,0,3.17825281860087,0,0,0,0,0,0,0
Mylk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26507603926437,0,0,2.27644879645026,0,0,0,0,0,0,0
Mylpf,0,0,0,0,0,0,0,0,0,0,0,0,4.6130738549761,0,0,0,0,0,0,0,0,1.39161906137616,0,0,0,0,0,0
Myog,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27197826976086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myoz1,0,0,0,0,0,0,0,0,0,0,0,0,2.24631315409021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nbl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ncf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ncf4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12316203913082,0,0,1.02051676111463,0,0,0,0.784825017752374,0,0
Ndufa4l2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufb9,0,0.574432523751522,0.871874543236211,0,0,0,0,0,0,0,0,1.74538091637024,1.63741602517359,0.852166824065465,0.869580413185526,0,0,0.777620839711139,0,0.846925517425356,0.671612587206345,0.935814744272988,0,0,0.655979270839736,0,2.88473001063773,0
Nexn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nfib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
