,unassigned
Rpl15,0.935404928591778
Rpl22,1.0197051474217
Rpl22l1,0.928528273049489
Rpl27,1.2484470281182
Rpl35a,1.20665198937088
Rpl5,0.994305789862138
Rpl6,1.36783701355126
Rpl7a,0
Rpl9,1.18353052154162
Rplp2,1.57605385552597
Rps10,0.980898206393573
Rps12,1.18376639994888
Rps18,1.5049865176937
Rps25,1.35985962664355
Rps27l,1.0607283697622
Rps4l,0
Rsrp1,0
S100a10,0
S100a11,0
S100a6,0
S100a8,0
S100a9,0
Scarb1,0
Scd2,0
Sct,0
Selenoh,0.822414889803878
Selenom,0
Selenos,0
Selenow,0
Sept7,0
Serf1,0
Serinc3,0
Serp1,0
Serpina3a,0
Serpinb1a,0
Serpinb6a,0
Serpine2,0
Serpinh1,0
Sfrp1,0
Sh3bgrl,0
Sh3bp5,0
Sin3b,0.641858317992267
Slc16a2,0
Slc25a3,0.844132808728959
Slc25a5,0.823964878024962
Smim1,0
Smim20,0
Smoc2,0
Snca,0
Snhg18,0
Snrpd1,0
Snrpd3,1.02351881388252
Socs2,0
Sostdc1,0
Sparc,1.62459248917652
Spp1,0
Sqstm1,0
Ssr2,0
Ssr3,0
St3gal5,0
Star,0
Stfa1,0
Stmn1,0.582043089587671
Stub1,0
Sub1,1.26397403457403
Susd3,0
Tagln2,0
Tceal8,0
Tceal9,1.11505345547277
Tcf21,0
Tead2,0
Tecr,0
Tesc,0
Tex19.1,0
Thra,0
Timp1,0
Tma7,0
Tmed10,0
Tmem14c,0
Tmem176a,0
Tmem176b,0
Tmem184a,0
Tmem242,0
Tmem59,0
Tmem86a,0
Tmem9,0
Tmsb10,0
Tmsb4x,0.572678278688096
Tnfrsf12a,0
Tnni3,0
Tpi1,0
Tpm1,0
Tpm2,0
Tpm4,0
Trim47,0
Tsc22d1,1.13823880472956
Tshz2,0
Tspan3,0
Tspan6,0
Tst,0
Tuba1a,0
Tuba1b,0.834322069009085
Tuba1c,0
Tubb4b,0
Tubb5,0.959643247699844
Txn1,0
Tyms,0
Tyrobp,0
Ubc,0
Ube2c,0
Ube2e3,0
Ube2l6,0
Ucp2,0
Uqcrb,1.14041515161384
Utf1,0
Vamp8,0
Vdac1,0
Vdac3,0
Vim,0
Wfdc1,0
Wnt6,0
Xbp1,0
Yipf1,0
Ywhah,0
Zfp36,0
Zfp36l1,0
Zyx,0
