,unassigned,Embryonic-Mesenchyme_6,Embryonic-Mesenchyme_9,Embryonic-Mesenchyme_15,Embryonic-Mesenchyme_21,Embryonic-Mesenchyme_3,Embryonic-Mesenchyme_2,Embryonic-Mesenchyme_11,Embryonic-Mesenchyme_8,Embryonic-Mesenchyme_17,Embryonic-Mesenchyme_1,Embryonic-Mesenchyme_23,Embryonic-Mesenchyme_13,Embryonic-Mesenchyme_5,Embryonic-Mesenchyme_10,Embryonic-Mesenchyme_22,Embryonic-Mesenchyme_4,Embryonic-Mesenchyme_25,Embryonic-Mesenchyme_24,Embryonic-Mesenchyme_16,Embryonic-Mesenchyme_7,Embryonic-Mesenchyme_14,Embryonic-Mesenchyme_12,Embryonic-Mesenchyme_20,Embryonic-Mesenchyme_19,Embryonic-Mesenchyme_18
Col2a1,0,0,1.98211540778157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col3a1,0,0,0,0,0,0,0,0,0,0,1.11800488431795,0,0,1.87095650208799,0,0,0,0,0,0,1.21963322920433,0,0,0,0,0.410692798621968
Col9a1,0,0,1.45306387918653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col9a2,0,0,1.28403057710241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cops9,0,0,0,0,0.280661062963634,0,0,0,0,0.574882885315687,0,0.279663117767615,0,0,0,0,0,0,0,0,0,0,0,0.570664806306851,0,0
Coro1a,0,0,0,1.45169131178888,0,0,0.654623668106471,0,0,0.891986061455247,0,0,0,0,0,0,0,0.215731441171836,1.23468243085817,0,0,0,0,0,0,0
Cotl1,0,0,0,0.781437975497442,0,0,1.24623046421789,0,0,0.957844626693462,0,0,0,0,0,0,0,0.469905018901662,0.820299787454575,0,0,0,0,0,0,0
Cox4i1,0,0,0.920419783982887,1.06399193473379,1.3899675841,1.23627351846949,1.25537209417453,1.23696455454691,0.979001694051246,1.24621113168003,1.17101616839847,1.1628431213073,1.29517987399635,1.18017878170043,1.2983441914512,1.12474530485105,1.19777321685244,1.01406999141906,0.665401155328146,1.12736055921369,1.21963322920433,1.2283766097235,1.14494739585702,1.03101945509433,1.23468243085817,1.16790862065094
Cox5a,0,0,0.239879024376018,0.867140283053083,1.18365389508963,1.04596178514068,0.961372722606113,0.886677378324629,0,1.08334918333281,0,0.293903629015126,1.295963296467,0,1.22335898905425,1.02401427857233,1.25668968569435,1.52789422306544,0,1.10377102351961,0.568161993704838,0,1.05115627136998,1.25196426418764,1.34305122281331,0
Cox6a1,0,0,0.872664017858248,1.00386466582391,1.03704906034179,0.935434317419449,1.08215471577647,0.865276961688711,0.919704245143367,1.16388863856612,0.794080333746641,1.2513249020578,0.297379601122822,0.799185840233997,0.87618196717931,1.35636460328872,0.992469561360615,1.09847131289992,0,1.182493126473,0.614841928259328,0,1.12424002606072,0.945940659153291,0,0.410692798621968
Cox6b1,0,0,0.939617488937524,1.13158824307409,0.856279770184374,1.14283001943496,1.19421012280873,1.1271169518258,1.02430023122992,1.09114574854839,0.957627070154072,1.29317569381978,0.985689337757784,1.14440572381111,1.1343423614204,1.47037843468949,1.15977159484406,1.13294270638751,0.461197997359392,1.36864396137413,1.14657457197199,0.939324649586822,1.28034638371507,1.73072307384701,1.23088333886835,1.26668462832812
Cox6c,0,0,0.810938166216468,1.03749439381231,1.32380791905931,1.1104024580081,0.90618788438604,1.05585168300587,0.908189123157841,1.57175587534076,0.915605782942207,0.61885277503977,0,1.05224675672776,0.99464857822987,1.56320338680648,1.11800488431795,1.07896659937396,0,0.951696530744706,1.07831929658143,1.09978221333054,1.02768332393476,0.779409382336773,0.896316723147313,0.410692798621968
Cox7a2,0,0,0.576396656737699,0.674603528652826,0.844890035894829,0.962889314813411,0.649703528377684,0,0.791048998965274,1.05181768528287,0,0.623702023845816,0.952009065690546,0,0.715410723003716,0.608585582295257,0,0.833014916976384,0,0.99569462641966,0,1.02818328774222,0.623539829326743,1.11313722720393,0,0.464008021869947
Cox7b,0,0,0,0.84772618263296,1.00330519755876,0.811721459175556,0.659099721710964,0,0.571516299734376,0.844624787586976,0,0.791001692196479,0,0,0.879825440210908,0.983711508403052,0,1.01669421294964,0,0.721023153060988,0.84373945149352,0.906713012015522,0.760047941050461,0.752400412976075,0,0
Cox7c,0,0,0.586169563450719,0.548730457379995,0.895450015656214,1.04686944511998,0.573862114489961,1.03397849852828,0.434574632115293,0.811940180886872,0,0,0,0,0.778343890305269,1.12474530485105,0,0.90738074587752,0,0.721023153060988,0.558829731746743,0,0.971257677728149,0.906868297023176,0,0
Cox8a,0,0,0,0.924919910182444,1.27389594231065,1.16032870043022,0.917650284614235,0.860446842730401,0.756438413217229,1.07577214712268,0,0,0.73094599161353,0,0,1.29975602081283,0,1.43951168051347,0,0.99569462641966,0,0.989621435985984,0.623990702293047,0.596633966127867,0,0.965934743084469
Cpe,0,0,0.895668475661304,0,0,0,0,0,0,0,0,0,0.985689337757784,0,0.883844751761941,0,0,0,0,0,0,0,0,0.573355043002793,0,0
Crabp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461197997359392,0,1.14657457197199,0,0,0,0,0
Crabp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crmp1,0,0,0,0,0,0,0,0,0,0,0,0,1.1504525482688,0,1.30909862769388,0,1.19777321685244,0,0,0.916967736406228,0,0,0.722481908937772,0,0,0
Csf1r,0,0,0,0,0,0,0.977053059222126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cst3,0,0,0,1.0792278817353,0,0,1.38711036580065,0,0,0,0,0,0,0,0,0,0,0.707617552583717,0,0,0,0,0,0,0,0
Ctsb,0,0,0,0,0,0,2.76039755306931,0,0.502477245432125,0,0,0,0,0,0,0,0,0.254173577729826,0,0,0,0,0,0,0,0
Ctsc,0,0,0,0,0,0,0.8101296898968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctsd,0,0,0,0,0,0,1.5955996824047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctsl,0,0,0,0,0,0,1.02616298640505,0,0,0,0,0.573566746782741,0,0,0,0.925228234950737,0,0,0,0,0,0,0,0,0,0
Ctss,0,0,0,0,0,0,0.919018536472489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyba,0,0,0,0.535851176486433,0,0,1.10176856843543,0,0,0,0,0,0,0,0,0,0,0.254173577729826,0.912219117538495,0,0,0,0,0,0,0
Dad1,0,0,0.58755133163096,0,0.363709372859473,0,0,0.671485820182439,0,0.438356263213543,0,0,0,0,0,0.600442006369919,0,0,0,0,0,0,0,0,0,0
