,unassigned,Neonatal-Calvaria_1,Neonatal-Calvaria_4,Neonatal-Calvaria_5,Neonatal-Calvaria_3,Neonatal-Calvaria_6,Neonatal-Calvaria_9,Neonatal-Calvaria_13,Neonatal-Calvaria_2,Neonatal-Calvaria_8,Neonatal-Calvaria_7,Neonatal-Calvaria_10,Neonatal-Calvaria_11,Neonatal-Calvaria_14,Neonatal-Calvaria_12
Tmem41b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem50a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmsb10,0,0,0,0,0,0,1.15661905242045,0,0,0.641144289430717,0,0,0.998657265524961,0.965432178575759,0
Tmsb4x,0,0,0.680327110687227,2.45603394422377,0,2.39437313937917,2.92326193357606,2.35734145616322,0,3.20007967962125,0,0,1.64876476634819,2.42309332492524,1.40026887258395
Tnfrsf12a,0,1.1854558791832,0,0,0.789661009627158,0,0,0,0,0,0.937529174200511,0,0,0,0
Tnmd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tpm1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39640196215575,0
Tra2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trib1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsc22d1,0,0.670506883205433,0,0,1.18064332728426,0,0.624184154757153,0,0.778393677904633,0,0.704391875586032,0,0,0.423300869136568,0
Ttr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuba1a,0,0,0,0,0,0.920668827956695,0,0,0,0,0,0,0,0,0
Tuba1b,0,0,0,0,0,0,0,0,0,0,0.924130888996531,0,0,0,0
Tuba1c,0,0.879336519930171,0,1.1162752630698,0.963797266913536,0,0,0,0,0.216313517553164,1.21874491064998,0,0,0,0
Tubb2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tubb4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tubb5,0,0,0,0,0,0,0,0.763063602951995,0,0,1.00098104629912,0,0,0,0
Tubb6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrobp,0,0,0,1.05647970667526,0,0,0,0,0,1.3334350349278,0,0,0,0,0
Uap1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubc,1.13523957840636,1.37824282710827,1.02477223509905,1.99058574531497,1.93646560826976,1.12706917440269,1.64047657157958,1.22680109154144,1.34656721015592,1.42217671932007,1.10835002391822,1.29127316005587,0.690142397955903,1.10673461829543,1.44887691767388
Ube2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ube2d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ucma,0,1.03739682510009,0,0,1.06076719928404,0,0,0,1.26228686181869,0,1.27456329602257,0.723595657030173,0,0,0
Ugdh,0,1.10887445663476,0,0,1.00215549667405,0,0,0,0,0,0.954121980898075,0,0,0,0
Uqcrb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uqcrh,0,0,0,0,0,0.531931888057331,0.160549145445132,0,0.218951930647302,0,0.485737636157898,0,0,0,0.919904234712521
Usmg5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vasn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegfa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vim,0,0,1.09847857156852,0,0,0,0.987920311680517,0,0,0.948761455142522,0,0,1.53476144297113,1.15455910112867,0
Vmp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wsb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wwp2,0,0,0,0,0,0,0,0,0,0,0.497905184199592,0,0,0,0
Xist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yod1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ywhab,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369345124533301,0
Zfas1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343063534540268
Zfp36,0,0,0,1.06750939072162,1.91036236477975,0,0,0,0.218951930647302,0.928768720797752,0.159628562712648,0,0,0,0
Zyx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
