,unassigned
Pttg1,0
Rab11a,0
Raly,0
Ramp2,0
Ran,0.953232588884776
Ranbp1,0
Rarres2,0
Rbbp7,0
Rbm39,0
Rbm8a,0
Rbp1,0
Rcn1,0
Rcn3,0
Reep5,0
Rhoc,0
Rpl13,3.0895981539914
Rpl13a,0
Rpl22l1,1.20679947960246
Rpl36al,0.859271468492871
Rpl5,1.29093397403103
Rpl7a,0.713258072959307
Rpl9,1.41636945384892
Rprm,0
Rps16-ps2,0
Rps23,1.82508303478711
Rps25,1.85027533217786
Rps26,3.15532803220425
Rps27,2.52148701757078
Rps27l,1.11834998860918
Rps4l,0
S100a10,0
S100a11,0
S100a6,0
Sdhb,0
Sdhc,0
Sec11a,0
Sec61b,0.614724067341835
Sec61g,0
Sec62,0
Selenoh,0.979691657891502
Selenok,0
Selenop,0
Selenow,0
Sept7,0
Serbp1,1.03063089728581
Serf1,0
Serf2,0
Serpinh1,0
Sh3bgrl3,0
Shisa3,0
Sin3b,0
Siva1,0
Slc25a3,1.06304212554014
Slc25a39,0
Slc25a5,1.4097399956869
Slirp,0
Smdt1,0
Snca,0
Snhg1,0
Snhg18,0
Snhg3,0
Snhg5,0
Snrpa1,0
Snrpb,0.738672517905978
Snrpd1,0.776470003887676
Snrpd2,0
Snrpd3,1.16463130991629
Snrpe,0.841355645209693
Snrpf,0.661226038919501
Snx3,0
Son,0.61958699471734
Sostdc1,0
Sparc,0
Spcs1,0
Sqstm1,0
Srp14,0
Srsf3,1.23294571610967
Srsf5,0
Srsf6,0
Srsf7,0
Ssr2,0
Stmn1,1.23767024039859
Sumo3,0
Taf1d,0
Tagln2,0
Taldo1,0
Tbca,0
Tceal8,0
Tceal9,0.953810898064155
Tcf21,0
Tead2,0
Tecr,0
Tgfbi,0
Timm8b,0
Tma7,0
Tmem167,0
Tmem176b,0
Tmem256,0
Tmem50a,0
Tmem59,0
Tmem9,0
Tmsb4x,1.32259946286377
Tomm7,0
Tpi1,0
Tpm1,0
Tpm2,0
Tpm4,0
Trappc1,0
Tsc22d1,0.560607419988134
Tuba1a,0
Tuba1b,1.21538354886292
Tuba1c,0
Tubb4b,0
Tubb5,1.20467341215999
Txn1,1.03489753621002
Tyms,0
Tyrobp,0
Ubc,0
Ube2c,0
Ube2l6,0
Ubl5,0
Ucp2,0
Uncx,0
Uqcc2,0
Uqcr10,0.490443534265636
Uqcr11,0
Uqcrc2,0
Uqcrq,0
Vcp,0
Vim,0
Wfdc15b,0
Wfdc2,0
Xist,0
Ybx1,0
Ywhab,0
Ywhae,0.694808976449512
Ywhaq,0
Zfas1,0
Zfp36,0
