,Placenta_1,Placenta_3,Placenta_9,unassigned,Placenta_27,Placenta_6,Placenta_5,Placenta_19,Placenta_23,Placenta_15,Placenta_10,Placenta_11,Placenta_7,Placenta_22,Placenta_13,Placenta_25,Placenta_4,Placenta_2,Placenta_14,Placenta_16,Placenta_8,Placenta_26,Placenta_28,Placenta_12,Placenta_21,Placenta_17,Placenta_18,Placenta_24,Placenta_20
Ctsk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73552393862034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctsl,1.92428659094688,1.98554797593223,1.43941458872638,1.00452167849393,0.784919726466753,2.41967369155456,1.11160160468292,0,0,0.459081807084336,0,1.38854786041171,4.46987501424018,1.06307103506781,2.93983087792202,2.12799847143692,0,0,3.26396560101521,0,0,0,0,1.4666055304854,0,0.94542535069049,0,0,1.67200881348704
Ctsm,1.26484611492522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctsr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctss,0,2.90385956448124,1.48099319844346,1.07030290666599,1.59387858492794,0,0,0,0,0,0,0,0,0,0,0,2.49343838172449,0,0,0,1.55939532966214,0,0,0,0,0,1.07874797227993,1.21553606398409,1.45990485555057
Ctsz,0,1.05417320142033,0.654878177163144,0,0.566919566020921,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412508208054719,0,0,0,0,0,0,0,0,0,0
Cxcl10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24282056182601,0,0
Cyba,0,1.82531194412577,1.28254492146987,0,1.53715741773947,0,0,0,0,0,0,0,0,0,0,0.980867224835685,1.41132361157175,0,1.28931679406168,0,1.14746934239551,1.1357956459609,1.36398846731896,0,1.1131808514068,0,1.39260666954569,0,0
Cybb,0,0,0,0,0.159569084396757,0,0,0,0,0,0,0,0,0,0,0,1.2127823050846,0,0,0,0,0,0,0,0,0,0,0,0
Cyp11a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15340141332277,0,0,0,0
Cyp4f18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyr61,0,0,0,0,0,0,0,0,0,0,0,0,1.2032937745788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cytip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dab2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dbi,1.81290029828782,0.772729884726061,0,0,0.851554186303304,0,1.50766205936897,0,0.676614616193622,1.17230616629863,1.40513259799881,0,0,0,1.14327129725085,0.756594797998188,0,2.3590193796198,2.16313600345512,0,0,0,0,0.618931030286042,0,2.22504278459917,0,0,0
Dcn,0,0,0,0,0,0,0,0,0,0,0,2.44027014257816,0,0,3.196531810438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Des,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849527832985382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dio3,0,0,0,0,0,0,0,0,0,1.06852288555285,0.946486911881479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dlk1,0,0,0,0,0,0,0,0,0,0,0,1.67716742111301,0,0,0,0,0,0,0,0,0,0,0,2.00201205934678,0,0,0,0,0
Dpcr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
