,Fetal_Brain_12,Fetal_Brain_4,Fetal_Brain_18,Fetal_Brain_16,Fetal_Brain_17,Fetal_Brain_15,Fetal_Brain_5,Fetal_Brain_13,Fetal_Brain_8,Fetal_Brain_9,Fetal_Brain_14,Fetal_Brain_1,Fetal_Brain_10,unassigned,Fetal_Brain_2,Fetal_Brain_3,Fetal_Brain_6,Fetal_Brain_7,Fetal_Brain_11
Eef1b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6035492644042,0.731790494041671,0.905887947868822,0.880254465658987,0.887332999014123
Eif2s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eif2s2,0,0.84715808161515,0.42100585649058,0,0,0,0,0,0.403682005845851,0,0,0,0,0,0,0,0.771654218740752,0,0
Eif5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elavl3,0,0,0,0,0,0,0,0,0,0,0,0,0.839386217649605,0,0.800520482619598,0.656237009299004,0,0,0.804944112219604
Elavl4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eloc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eno1,0,0.468715629873943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eny2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erh,0,1.19569369076936,0,0.936216143058854,0,0,1.15068373428175,0,1.1518527123118,1.11838548765781,0,1.02091426762985,0,0,0,0,0,0,0
Ewsr1,0,0,0,0.191309211891216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593612388494047,0.90010186550076,0,0,0.852752530706608
Fabp7,0,0.876157691278864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539518604404999,0,0
Fam195b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam96b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcer1g,0,0,1.93963436105131,0,0,1.36968893530919,0,0,0,0,0,0,0,0,0,0,0,0,0
Fdft1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fdps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fech,0,0,0,0,0,0,0,0,0,0,0.969244148970933,0,0,0,0,0,0,0,0
Fez1,0,0,0,0.897023228609833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fscn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fth1,3.6009105476478,0.648405375389177,1.75640234219919,0,1.06162620007348,1.81800955352622,0,1.06558652078708,0,0.580947637699271,1.94837461022407,0,0.911916229975388,3.09499268101059,0.988821431428783,1.05696360317793,0.938532931732687,1.06261435423804,1.02548034191617
Ftl1-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fxyd6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabarapl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadd45g,0,0,0,0,0,0,1.08174169324598,0,0,0,0,0,0,0,0,0,0,0,0
Gap43,0,0,0,1.37820970202699,0,0,0,0,0,1.15273492990478,0,1.24869381314419,0,0,0.910904469573116,0,0,0,0.854635697578961
Gapdh,0.667601633493634,0.876594787294344,0.991970668858574,0,0.873949384317372,1.19440633671439,0,0.624343835892169,0.716993196403828,0,0,0,0,0,1.00219714200299,1.03194568960127,1.54217581962463,1.30853384807561,1.01639033502261
Gdi1,0,0,0,0.893514332552852,0,0,0,0,0,1.00228605270531,0,1.01639033502261,0.873299282143354,0,0,0,0,0,0
Gipc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glrx5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm1821,0,0.799561645353739,0,1.34321268499524,0,0,1.16607810647449,0,1.24454454434352,1.27785435714164,0,1.29786268270156,1.03614582770926,0,0,0,0,0,0
