,Lung_18,Lung_12,Lung_1,Lung_3,Lung_28,Lung_31,unassigned,Lung_2,Lung_14,Lung_11,Lung_19,Lung_8,Lung_6,Lung_5,Lung_24,Lung_17,Lung_10,Lung_22,Lung_25,Lung_9,Lung_16,Lung_32,Lung_7,Lung_20,Lung_15,Lung_29,Lung_26,Lung_21,Lung_4,Lung_30,Lung_23,Lung_13,Lung_27
Sftpd,0.916730410278394,1.70839320823155,3.09456709694575,0,0,0,2.19826978730825,1.1351614610319,1.07309907096537,0,1.26987688370736,0,0.858394086495688,0,0,0.424732738126074,0,0.573945907170459,2.4991444698441,0,0.616844352882127,0,1.17082988354512,0.264639772009808,0,0,0,0,0,1.33299125996705,0.849142234499727,0,3.63558507645991
Sgk1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sh3bgrl3,0,0,0,1.02549027342026,0,1.20059823806294,0,1.02142982564879,0,0,0,1.21851181374333,1.29917163441517,1.19801358611583,1.18476065024405,0,0,1.72128720255307,0,1.60872410689813,1.35024132677445,1.36349001115927,0,0,1.24979286945039,1.83418871291983,0.923432887544323,1.15212042616838,0,0,0,1.22656672794322,0
Sh3bp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shisa5,0,0,0,0,0.704803007107507,0,0,0.908369122862251,0,0,0,0,1.11129840079228,0.785515365344613,0.80397987983596,0,0,0,0,0,0.895519504385052,0,0,0,0,0,0,0,1.12287171497066,0,0,0,0
Siglecg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc16a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662346265075149,0,0,0,0,0
Slc25a5,1.62582352992448,0.730146646772395,0.834502626984033,1.27691840439465,0.688962921459021,2.01647550573403,0,0,0,0,0,0,0,1.41018595671096,1.44236770826489,0,0,1.46287355090112,1.09940285097435,1.08386008515686,1.09911211042359,1.36167589450334,0,0,0.951785656765669,0,1.06348557563801,0,0,0,0,1.30285848099503,0.767596519617512
Slc34a2,0,0,2.02053459826062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03251940497416
Slc3a2,0,0,0,0,0.679716937196986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slfn2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08992619649307,0,0,0,0,1.57112118049661,0,0,0,0,0
Snord13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565702666381657,0,0,0,0,0,0
Snrpg,0,0,0,0,0,0.97398631481559,0,0,0,0,0,0,0,0,0.906331809135958,0,0,0.685438356060191,0.669817238329064,0,0,0.658261321763801,0,0,0,0,0,0,0,0,0,0,0
Socs3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sod3,0,0,0,0,0,0,0,0,0,1.84205149364841,0,0,0,0,0,0,1.02030688935577,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29317435764636,0,0
Sp100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparc,0,0,0,0,0,0,0,0,3.12310792555863,2.50151410067236,0,0,0,0,0,0.635772987164149,3.20336045275801,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27920780951065,0,1.13356014238296
Sparcl1,0,0,0,0,0,0,0,0,0,1.92511702517605,0,0,0,0,0,0,0.884421932775771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spi1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600263949694407,0,0,0,0.297305755144493,0,0,0,1.04834121330449,0,0,0,0,0,0.946083388871397,0
Spp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656531890118037,0,0,0,0,0,0
