,unassigned,Neonatal-Skin_5,Neonatal-Skin_1,Neonatal-Skin_3,Neonatal-Skin_18,Neonatal-Skin_12,Neonatal-Skin_19,Neonatal-Skin_22,Neonatal-Skin_11,Neonatal-Skin_4,Neonatal-Skin_7,Neonatal-Skin_23,Neonatal-Skin_10,Neonatal-Skin_16,Neonatal-Skin_2,Neonatal-Skin_9,Neonatal-Skin_13,Neonatal-Skin_6,Neonatal-Skin_17,Neonatal-Skin_20,Neonatal-Skin_8,Neonatal-Skin_21,Neonatal-Skin_24,Neonatal-Skin_14,Neonatal-Skin_15
Ndufa13,0,1.05157270075084,0,0,1.01932636609635,0,0,1.09745683490044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufa2,0,1.26292773882283,0,0.631740745155788,1.0322191703643,0,0,0.78963822646741,0,0,0,0.533474348849714,0.704629310617338,0,0,0,0,0,0.855122916889285,0,0.262858352047946,0,0,0,0
Ndufa3,0,1.68201017616556,0,0.649245472929386,1.75028734286066,0,0,1.71726645910723,0,0,0,0.509856004018319,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufa4,0,2.17320007073798,0,1.01448718893467,2.27656795600881,0,0.833695895053106,2.18575983411464,0,0,0,0.588543402398595,0,0,0,0,0,0,0.961972871392082,0,0,0,0,0,0
Ndufa5,0,1.15979887716518,0,0.465959017157276,1.23621571797309,0,0.579659298798824,1.14150670054193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufa6,0,1.6759618090653,0,0.971953553308295,1.27407789404212,0,0,1.62237196731331,0,0,0.176784533442203,0.209181383353852,0,0,0,0,0,0,0,0,0,0,0,0,0.873601459903364
Ndufa7,0,1.30137656413262,0,0.440677304030496,1.24831363099084,0,0,0.567670433313981,0,0,0,0,0,0,0,0,0,0,0,0.723330215949906,0,0,0,0,0
Ndufb10,0,0.781903088592678,0,0,0.778024755546738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufb11,0,1.32770554224181,0,0,1.18676498039806,0,0,1.25452227853854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufb5,0,1.23253295469497,0,0.177438247623989,1.14194616253265,0,0,0.602592077060912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufb6,0,1.12169614295675,0,0.635611315482991,1.04822611183306,0,0,1.21945592412687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufb8,0,1.94297016704447,0,0.673094148177675,1.46433666287009,0,0,1.71347713624221,0,0,0,0.588543402398595,0,0,0,0,0,1.12054032022637,0,0,0,0,0,0,0
Ndufb9,0.909897397076232,2.58638347847778,0,1.17825070588487,2.38916464005969,0,0,2.40088822500272,0,0,0,0,0.724990375822469,0,0,0,0,1.40419301239233,1.33778190842582,0,0,0,0,0,0
Ndufc1,0,0.820696472249939,0,0,0.838415495841412,0,0,1.1220752953649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufc2,0,0.99434346136323,0,0,0.82297309898309,0,0,0.671469215595441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufs2,0,0.712260840030149,0,0,0.350641106876168,0,0,0.297193746468345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufs4,0,0.931124549196131,0,0,0.537974484328093,0,0,1.05010922220574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufs7,0,0.830019810253784,0,0.411656073665037,0.778024755546738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufv3,0,0.644976974802024,0,0,0.525909927531205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nedd4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nedd8,0,0,0,0,0.350641106876168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nfkbia,0,0,0,1.06272048838788,0,1.25755340591165,0.927390667450465,0,0.717283815800546,0,2.25249902419165,0.690404685660655,0.595628450392803,0,0.684917297560061,1.03568908159304,0,0,0,1.39511210337268,0,0.932339515745204,1.19691330128721,1.8513768939087,0.828298847324641
Npc2,0,0.522844018944142,0,0.143052296341875,0,0,1.63543097176535,0,0.789776824178046,0,0,0,0,0,0.87170245705379,0,0.673697832546719,0,0.892385884234168,1.33198677143244,0,1.02270641399231,0,0,0
Npm1,0,0.330153984491111,0,0.353493580191285,0,1.13534086662796,0,0,0.720566056213113,0.756370934129032,0,0.763643276625039,0.704629310617338,0,0.995944908034918,0,0,0,1.26938526384379,0,0.861830574793046,0,0,0,1.06271458879547
Nrep,0,0,0,0,0,0,0,0,0,0,0,0.238520966121365,0,0,0,0,0,0,0,0,0,0,0,0,0
Oaz1,0.461833001776825,0.592536505323613,1.05622394524255,0.660097944297974,0.432340582299952,0.98362325492591,0.952044089309081,0.33573460779772,0.825385147756337,0,0.627839007681403,0.976899995802663,1.20525438039164,1.14909270075876,0.719210804497273,0,0.788012871446164,0,0.871453089428799,0,0.979127053100411,1.07427614547151,0,1.09656589209641,1.16621181330636
Olfml3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4hb,0,0,0,0,0,0,0,0,0,0,0,0,0.96924876509624,0,0,0,0.927390667450465,0,0,0,0,0,0,0,0
Pabpc1,0,0.623746062443457,0,0.562456771317317,0.486101223030336,0.98362325492591,0.906362854776077,0,0,0.985015380889675,0.786599352477386,0.230471310282229,0.487589677722747,0,0.873874240217431,0,0,0,0,0.26838151741179,0,0.724249141247406,0,0,0
Pcbp1,0,0,0,0,0,0,0,0,0,0,0.371671561968604,0.70786736039703,0,0,0,0,0,0,0,0.335576033221581,0,0,0,0,0
Pcbp2,0,0,0,0,0,0,0,0,0,0,0,0.439652693636081,0,0,0,0.870351077426244,0,0,0,0,0,0,0,0,0
Pcolce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3925075344942,0,0,0,0,0,0,0,0
Peg3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penk,0,0,0.727596941155508,0,0,0,0,0,0,0,0,0,0,0,1.25639505943497,0,0,0,0,0,0,0,0,0,0
Pfdn5,0,0.27643415484794,0,0,0.495001082467733,0,0,0,0,0,0,0,0,0,0,0.870351077426244,0,0,0,0,0,0,0,0,0
Phlda1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plin2,0,0,0,0.61633634067578,0,0,0.723509452409814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941132810293715,0,0,0
Plpp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673697832546719,0,0,0,0,0,0,0,0
Pmp22,0,0,0,0,0,0,0,0,0.649684413040681,0,0,0,0,1.14086179455503,0,0,0,0,0,0,0,0,0,0,0
Pnpla2,0,1.51803971152179,0,1.4090245787649,1.27407789404212,0,0,0.849740164384051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pnrc1,0,0,0,0.642576400808472,0,0,0,0,0,0,0.999444613895151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postn,0,0,0,0,0,0,0,0,0,1.68207669290101,0,0,0,0,0,0,2.41549813801797,0,0,0,0,0,0,0,0
