,Stomach_4,unassigned,Stomach_7,Stomach_2,Stomach_3,Stomach_9,Stomach_10,Stomach_6,Stomach_8,Stomach_16,Stomach_17,Stomach_14,Stomach_1,Stomach_12,Stomach_13,Stomach_11,Stomach_5,Stomach_15
Cox5a,1.61544719625787,2.25335905739358,2.43966022068946,1.95805326534927,2.24092119184091,1.85314774486638,3.39708580506521,2.34152749993514,2.01265887163679,2.24021263531496,2.26726075029993,1.94943119217208,2.14161857624538,0.943832560927873,0,2.30660300662138,2.67537390218336,1.55656590715354
Cox5b,1.07618477003213,1.41984229837242,1.47763984620816,1.30513006360222,1.42344803941237,0,2.67711553609426,1.447488414543,1.3703304334452,1.48797347273404,1.21743753151787,1.40575636876472,1.21911500047829,1.17314486813929,0,1.32993741397367,2.03496378372625,0
Cox6a1,2.15421787028427,2.35038338970146,2.44709149192637,2.43858033840669,2.40659285132433,1.56399282445555,3.91324482664522,2.38593807241151,2.29884850747697,2.27962988643105,2.47946302374588,2.17047071117736,2.39939059183021,1.66487324739075,0,2.31698457937334,2.27452534263288,0
Cox6b1,2.14657007768254,2.37143853818355,2.70094721942953,2.58188367473905,2.45100005646256,1.71917514491184,3.96212681869159,2.67655483156309,2.47143023427216,2.30175879526362,2.72806143888667,2.22221253998043,2.60537795364468,1.68694470196356,1.46631922666324,2.80205764925534,2.27655320403039,1.6708289695124
Cox6c,1.75420403411984,2.0920851549791,2.03159442549627,1.94953441167383,1.990721788401,1.63959905820614,3.61752118913653,1.9436925446029,2.05727445755993,2.29968677981394,2.08271669540749,2.00924871354714,1.91310291617372,1.92398578036759,1.76623336483902,2.073988693749,2.11822102310066,0
Cox7a1,0,0,0,0,0,0,1.71026003708258,0,0,0,0,0,0,0,0,0,0,0
Cox7a2,1.46819801071983,1.86072519875536,2.05068444533288,1.76327895514767,1.80549587536716,0,3.15633974432937,1.88712279518608,1.93593870042199,1.50754791973301,1.65871919708989,1.48768921017765,1.85189163302603,1.30584953460711,0,1.68898350084742,2.08793967771846,0
Cox7b,1.46880877995801,1.78199366379376,1.76962463718649,1.7519881931095,1.81823843065727,1.38141950042562,3.38356109375195,1.88707811276208,1.82081749854353,1.54189897444574,1.8862384297642,2.06929940059927,1.80160408196141,0,0,2.09125421184499,0,0
Cox7c,1.65314341392102,1.71794316567064,2.09101705139504,1.949541073799,1.96394050935335,0,3.23072070959195,1.87722875880693,1.94046647587387,2.1650264619173,2.28394071911694,1.82415748193197,1.87868276401008,1.47536056333976,0,1.96465575074247,0,0
Cox8a,1.99215053297533,2.27553927333164,2.2867579653055,2.20301567113605,2.24401822032465,1.38141950042562,3.42556011843095,2.20213140699887,2.19824847380079,2.21203688194657,2.35824523114686,2.3563217824936,2.20381631676059,1.64055544848855,1.8079191911128,2.31698457937334,2.25052399547882,1.90169280373997
Cpe,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35451643772427,0,0,0,0
Cpn1,0,0,0,0,0,0,0,0,0,0,0,0.303734768444352,0,0,0,0,0,0
Crip1,0.631462694573677,0,1.96501495479682,0.917767739381811,0.868197629562938,0,0,0.785485980803403,1.39304882330462,2.36010245832233,0.870063356121737,1.05773329656049,0,0,1.6376899702529,1.78487568378867,0,0
Crip2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctsb,0.832648975213981,0,1.12982483651565,1.07145818127436,1.35494924950092,0,1.20304708004872,1.59117156254019,0.837308743501397,1.15599981629168,1.4852930233319,0.923879208932084,1.06260414537686,0,2.10716797860322,0,0,1.64728488792332
Ctse,0,1.47802568925462,2.7169977141264,1.53971988216752,2.22249864879149,0,1.71921147956429,2.54324341399193,1.68637240555958,0,2.08271669540749,2.00924871354714,1.73961840838759,0,0,2.30331644992519,0,0
Ctsl,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47536056333976,2.6934515776956,0,0,0
Cxcl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cxcl17,0.890402205377223,0,0,0.906523810676256,0.740260203567549,0,0,0,0.737414811915781,0,0,0,0.727689784171852,0,0,0,0,0
Cxcl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyb5a,0,0,1.26198257684013,1.10653043631853,1.19258723168831,0,0.859854414833895,1.21823868459894,1.0358945908311,1.15008520622132,1.2935317463454,0,1.03505762599411,0,0,0.990347767365926,0,0
Cycs,0.680697417893163,0.910779137253701,1.53556801012509,1.01630003615421,1.40944424799367,0,2.69136924128262,1.33544708126401,1.27904023463937,0.97956077140968,1.15262071677241,1.10483134437978,1.13978966272954,0,0,1.44423251297625,0,0
Cym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cystm1,2.66310949132204,2.39181313018955,2.64900259243055,2.9350449724436,2.85406901962242,2.13201320715407,2.56355733888622,2.79747468123564,2.6449165151237,2.96114925721918,2.94848914528017,2.4787994201422,2.76571387085288,2.08628701057844,0,2.53335172076995,2.05227206550472,0
Dbi,1.69056591614049,2.05326956753894,2.27621492601816,2.27263773494522,2.54872160813327,1.37357196283249,1.98382875281236,2.17317636099092,2.55630774390775,2.28323438913013,2.63908215857245,2.04096631789192,2.13375209570516,0,1.24015593540059,2.54328349364786,2.08793967771846,0
Dclk1,0,0,0,0,0,0,0,0,0,1.29553562318209,0,0,0,0,0,0,0,0
Dcn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70135322810505,0,0,0
Dmbt1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dnajb1,0,0,0,0,1.92718681385853,0,0.596306105269141,0,0,0,0,0,0,2.88332588249644,2.150439640428,0,0,0
Dpcr1,1.048043420757,2.63460724623361,3.20498533508482,3.55034642879382,3.70289632645756,3.24722892910157,0.469680291833604,3.22974520328698,2.55533953794088,2.21874948395778,3.65326339216818,0.262269033765429,3.10011586263276,1.07715449832246,1.23754881148038,1.99536595097252,3.08595946874337,1.02375223404837
Dpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58084408170057,0,0,0
Dusp1,0,0,0,0,0.472248169832893,0,0,0,0,0,0,0,0,0,1.84439529616522,0,0,0
Ecm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eef1a1,2.32301050446709,1.11628905314991,1.81209068976395,2.32870623219902,2.02684310380778,0,1.80584954837597,1.53203630678307,2.30483150670558,2.05127381253355,1.79870012080231,2.57366151717963,1.92672867045054,1.81688479722043,2.6934515776956,2.26016549954825,0,2.21088811788342
Eef1b2,1.18520560085231,0,0.786452982638874,1.18098421962462,0.762566997377455,0,1.19958506638682,0.535420025890967,1.4143829488854,0,0.817882242358512,1.75113501978464,0.868818316840451,0,0,1.38141950042562,0,0
Eef2,0.940950951133608,0,0.428730588303611,0.749410365476873,0.574187148692313,0,0.789096452562978,0,0.8146213215035,0.949717988488985,0,1.03238619655926,0,0,0,0.860204730966417,0,0
Egr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77303056073373,0,0,0
Eif1,1.93478095118868,1.82771610045945,1.98647912055438,1.90458696884829,2.26286568407691,0,1.74136728642184,1.89255604908134,2.17620907567928,2.26940598790826,1.77227241733592,2.0289505496218,1.85440579046935,2.70138979839027,2.57595866026455,1.79846512652753,2.02105219440046,2.21088811788342
Eif5a,0.9780717941377,0,1.11709892874249,1.22549279105684,1.03390256622785,0,0.983327138111012,0.903523228467537,1.41346043493655,0.285206166043576,1.02532648528502,1.10759569014021,0.956091172374691,0.808336066545178,0,0.990347767365926,0,0
Elf3,0,0,0.711472140009451,0.476201831043443,1.36187324838524,0,0,0.528781109562178,0.640303619643675,0.947316293660487,0.891281870810822,0.302899225479409,0,0,0,0.587901583291664,0,0
Emp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esd,0,0,1.12067395010963,1.06119091491894,0.990517059626203,0,0.397111987035856,1.16349076507976,0.956091271898881,0,1.35226695827609,0,0.889973473132079,0,0,0,0,0
Ethe1,0,0,1.03185176147123,0,0.63066183883007,0,0,0.527021083326161,0,0,0.580930053827354,0,0,0,0,0,0,0
Ezr,0,0,1.03398669952274,1.11781209774467,1.41035104822245,0,1.63642842594337,1.00693099515914,0.848851380957695,0.721968423453378,1.46838056654022,0,0.891544026737255,0,0,0,0,0
Fabp2,0,0,1.39842018678398,0,0,0,0,0,0,0,0,0,0,0,0,0.587901583291664,0,0
Fabp3,0,0,0,0,0,0,2.14961602446494,0,0,0,0,0,0,0,0,0,0,0
Fabp5,0.647418401735535,1.23651291507172,1.47195591424888,1.49576305509858,2.13006909903805,0,1.38681970019333,2.17786943922385,1.33857947086973,1.48797347273404,1.8862384297642,0,1.81748607487671,0,0,0,1.6879634170893,0
Fau,1.772077177767,1.54431135405934,1.71142732890474,1.81981573472474,1.6290410850946,0,1.44837868433663,1.59659703388704,1.95854480617816,1.63800269655185,1.79870012080231,1.82415748193197,1.75170464684362,1.36581960005634,1.44134188961739,1.98549732598606,1.92535610765884,2.34819344288455
Fcer1g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25283419824013
Ffar2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730466415531847,0,0,0,0
Fhl1,0,0,0.860204730966417,0,0,0,0,0.839599355442667,0,0,0,0,0,0,0,0,0,0
Fos,1.03167684183804,0,0,0,1.52074867691636,0,0.55761062559662,0,0.40391733164578,0,0.527848813878773,0.879599241688265,0,2.23097967014386,2.68906708908031,0,0,0
Fosb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4082898924934,0,0,0
Foxq1,0,0,0,0,0.710666499418847,0,0,0,0,0,0,0,0,0,0,0,0,0
Fth1,2.57390138429136,2.33515679016823,2.22711922702846,2.24599612769696,2.18554663639738,1.38141950042562,3.81483661949255,2.16440044311978,2.32439442937423,2.34496748222,2.22327465945608,2.40751778240133,2.27553873154978,2.1142376446291,3.78366710035082,2.31592624115549,2.2806219694708,3.25243726763512
Ftl1,2.41495915173299,2.32763313857586,2.9376920241253,2.67050417454065,2.9786168459578,0,2.60996827085386,2.69365207884362,2.58408437533408,2.37724750080201,2.82669112773602,2.18428855750077,2.4840545939952,2.01189947884148,2.86033696222011,2.5056207924926,2.156665546737,4.08289233122021
Furin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fxyd3,3.17162153067413,2.65869031730465,2.48757506370898,3.07659775394802,2.79588138906839,2.08463739727227,2.90457788472927,2.62639722045929,2.77915097001785,2.42426947420856,2.95839948661686,2.97227803780108,2.78349338217919,2.38838711175493,1.24015593540059,2.80205764925534,3.07720024411598,0
Fxyd5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadd45g,0,0,0,0,0,0,0.536157096723754,0,0,0,0,0,0,1.24487824933945,2.150439640428,0,0,0
Gapdh,1.07002198454531,1.58329144469975,1.94618273594263,1.70084354193325,1.88613269631729,0,2.58476584170165,1.68679967294356,1.70260101694736,1.54767592714273,1.81548356077044,1.44108821337469,1.5694695181439,1.23885091852166,1.77416914247119,1.59083469048487,1.94899875330775,1.64728488792332
Gas5,1.0871655351895,0,0,0.830682902913566,0,0,0.405519891814068,0,0.954883180614692,0.570359664262972,0,1.40099814192154,0,0.808336066545178,0,1.39572367246608,0,0
Gast,0.838264602589227,1.52967825298241,0.696291080883531,0.85457958013434,0.84997920395299,2.06427106079934,0.52420894149562,0.719151049387386,0.630941738579809,0,0.817882242358512,0.737852495414447,0.822742679224088,8.23951747839714,1.50957590183349,1.39538739530096,3.51587982863906,1.25283419824013
Ghrl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965890685207339,0,0,2.24658246446792,0
Gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gkn3,0.400840200493978,0,0,0,0,0,0,0,0,0,0,6.20193560172044,0,0,0,2.17287227191556,1.96753361965407,0
Gm10736,1.883376238744,0,1.49039150831668,1.72299447463568,1.45097260955491,0,1.23232923678318,1.23400123073311,1.74387579043002,1.88980835672707,1.12384839134842,1.93315283236275,1.41691967283363,1.17734256008893,0,1.89153359397416,0,1.55656590715354
Gm12374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15427,1.10859222431,0,1.0246261958574,1.19358365349369,1.0787816410607,0,0.829539189525164,0.70276914695038,1.27459248574922,0.970947616183677,0.852242811255702,1.28231414113343,0.939136534091917,0,0,1.40350652618273,0,1.24382555087194
Gm23935,0,0,0,0,0,4.17296313885543,0,0,0,0.336767304470214,0,0.167232870236051,0,0,0,0,0,0
Gm24270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
