,unassigned
Park7,0.590575035470762
Parm1,0
Pdia3,0
Pdia6,0.587288645595066
Pdlim1,0
Pdpn,0
Pfdn5,0
Pfn1,0.353880535371655
Pga5,0.381911182415054
Phlda1,0
Phlda3,0
Pkm,1.85573491843216
Plet1,0
Plgrkt,0
Plod2,0
Pmm1,0
Pnrc1,0
Polr2e,0
Ppia,1.46585419589737
Prdx1,1.99626962716436
Prdx6,0.834037760762562
Prkcsh,0
Psap,0
Psma1,0.73679888795286
Psma2,0.777635796781811
Psma6,0
Psma7,1.1713528776472
Psmb1,0.880336563580356
Psmb3,0.701499442827729
Psmb4,0.669194692913877
Psmb6,1.15388407582303
Pth1r,0
Ptma,1.84243654027787
Pttg1ip,0
Rab11a,0
Rack1,1.80066505434238
Ramp2,0
Ran,1.15433153555979
Ranbp1,0.510984237983457
Rbbp7,0
Rbp4,0
Rbpms2,0
Rbx1,0.753433645191893
Rcn3,0
Reep5,0
Rhoc,0
Rhox5,0.411143171627259
Rhox6,0
Rhox9,0
Romo1,0
Rpl10a,1.43193695280947
Rpl12,1.79442719718478
Rpl15,1.68956901080393
Rpl17,1.99976629634188
Rpl22,2.17130077340415
Rpl22l1,0.908331488821142
Rpl23a,1.96244721155559
Rpl24,0.543929893609367
Rpl27,1.80223216118562
Rpl27a,1.92866263762137
Rpl29,1.54143809347135
Rpl35a,1.99002026791171
Rpl36a,1.87953951635531
Rpl36al,1.00886059436552
Rpl5,1.64494492337618
Rpl6,1.96102016354515
Rpl7a,0.655170141807905
Rpl9,1.81328862481736
Rpn1,0
Rpn2,0
Rps10,1.63614827539802
Rps13-ps1,0.543167387267318
Rps18,2.08844034514966
Rps2,2.38615458735052
Rps23,2.39290303496437
Rps28,1.75355836673225
Rps4l,0.817083095786721
Rps4x,1.92633288831936
Rps5,2.19727262815414
Rps6,1.13685857458323
Rps7,2.05084481077562
S100a10,0
S100a11,0
S100a6,0
S100g,0
Sat1,0
Scand1,0
Sdf4,0
Sec61b,0.618603055423173
Sec62,0.734451021658755
Selenoh,0.682783514824267
Selenok,0
Selenop,0
Selenow,0
Serbp1,1.31120704131854
Serpinb6a,0
Serpinh1,1.90405042583401
Set,0
Sfn,0
Shisa5,0
Sin3b,0
Skp1a,0
Slc25a3,1.29427333105383
Slc25a39,0
Slc25a4,0.645937496370701
Slc25a5,1.89873688233746
Slc2a3,0
Slc3a2,0
Slco2a1,0
Snrpa1,0
Snrpb,0.605207214052318
Snrpd1,0.540402200574454
Snrpd2,0
Snrpd3,0.603512873898736
Snrpe,0.763687056717192
Snrpg,1.05794033904562
Snx3,0.527595207176668
Sod1,0.424464139262973
Son,0
Sox17,0
Spcs1,0
Spink1,0
Spp1,0
Sqstm1,0
Srgn,1.12740530101508
Srsf3,1.20687333333552
Srsf7,0
Ssr2,1.01634674480112
Ssr4,0
Sub1,1.18833035490528
Surf4,0
Swi5,1.08774951569889
Tagln2,1.13753331438063
Tbrg1,0
Tceal9,1.17207144504921
Tdgf1,0
Tecr,0
Tfpi,0.592156909339697
Tinagl1,0
Tm9sf3,0
Tmed10,0
Tmed3,0
Tmed9,0
Tmem14c,0
Tmem167,0
Tmem256,0
Tmem258,0.770338531347434
Tmem59,0
Tmsb4x,2.04690040483907
Tnfrsf12a,0
Tpi1,0
Tpm1,0
Tpm4,0
Trap1a,0
Tsc22d1,0.72327206575818
Tspan8,0
Ttr,0
Tuba1b,1.55233430780977
Tuba1c,0
Tubb4b,1.28331341641279
Tubb5,1.43477753047192
Tuft1,0
Txn1,0.977913529168244
Txndc12,0
Txnip,0
U2af1,0
Ube2b,0
Ube2c,0
Ube2d3,0.532479462709617
Ubl5,0.590800899840967
Ubxn1,0
Upp1,0
Uqcr10,0.912150984306293
Uqcr11,0
Uqcrb,1.20835015450283
Uqcrh,0.805177348655407
Uqcrq,0.918220472246551
Usmg5,1.04785134490076
Utf1,0
Vamp8,0
Vim,0
Wars,0
Wfdc1,0
Wfdc2,0
Xbp1,0
Ybx1,0.505062947261551
Ypel3,0
Ywhae,0.557421245728279
Ywhaq,0
Zfp706,0.616219190351079
Zyx,0
