,unassigned
Rhd,0
Rhox5,0
Rhox9,0
Rnaset2b,0
Romo1,0
Rpa2,0
Rpl15,0.823954728697412
Rpl22,1.30275663722643
Rpl22l1,1.05702752278591
Rpl24,0
Rpl27,1.28766698452252
Rpl27a,1.24141816252701
Rpl29,0
Rpl35a,1.34326497951438
Rpl36al,0.571912979257298
Rpl5,1.08120903554374
Rpl7a,0
Rplp0,1.34573204681577
Rpp21,0
Rps10,1.21996535894618
Rps16-ps2,0
Rps27l,1.42806479673198
Rps28,1.83515997621842
Rps4l,0
Rps6,0
S100a10,0
S100a11,0
S100a8,0
S100a9,0
Sdhb,0
Sdhc,0
Sec62,0.799057304004865
Selenoh,0.626378154128194
Selenok,0
Selenow,0
Sem1,0.691367110111951
Serbp1,0.901722156788199
Serf1,0.508066580983667
Serf2,0
Serinc3,0
Serpinb6a,0
Serpinh1,0
Sfr1,0
Sin3b,0
Skp1a,0
Slc25a3,0
Slc25a31,0
Slc25a39,0
Slc25a4,0
Slc25a5,0
Slirp,0
Smc1b,0
Smc4,0
Smdt1,0
Smim1,0
Snca,0
Snhg5,0
Snrpb,0.627395178890415
Snrpd1,0
Snrpd2,0
Snrpd3,0.966476049376423
Snrpe,0
Snrpf,0
Snrpg,1.24664451799432
Snu13,0
Snx3,0
Sod1,0
Son,0.84673379216346
Sparc,0
Spcs1,0
Sri,0
Srp14,0
Srsf2,0
Srsf3,0.559364139436342
Srsf7,0
Ssb,0
Ssr2,0
Stfa1,0
Stmn1,0
Stra8,0
Sub1,1.37741169788959
Swi5,1.17190879411495
Syce2,0
Sycp3,0
Taf7l,0
Taldo1,0
Tbca,0
Tceal8,0
Tceal9,0
Tecr,0
Tex101,0
Tex12,0
Tex19.1,0
Tex30,0
Thyn1,0
Timm13,0
Timm17b,0
Timm8b,0
Tipin,0
Tkt,0
Tma7,0
Tmem14c,0
Tmem176b,0
Tmem256,0
Tmem59,0
Tmsb10,0
Tmsb4x,0.598410832734259
Tomm7,0
Tpgs2,0
Tpi1,0
Tpm1,0
Tpt1,0.760693344085845
Tsc22d1,0
Tspan3,0
Tst,0
Tuba1b,0
Tuba1c,0
Tuba3a,0
Tubb4b,0
