,unassigned,Uterus_19,Uterus_8,Uterus_5,Uterus_3,Uterus_7,Uterus_6,Uterus_11,Uterus_13,Uterus_9,Uterus_18,Uterus_12,Uterus_1,Uterus_16,Uterus_10,Uterus_17,Uterus_4,Uterus_14,Uterus_2,Uterus_15
Mgp,0.660979953152727,0,0,1.10299953888858,0,1.9981401041203,0,0,2.38611179386142,0,2.07247884423169,0,0,1.40465102504222,0,1.06929466580381,2.57939536724791,0,4.93255104592427,1.7086809630056
Mif,0,0.439761142792078,1.07891282141476,0.519118890332561,0.603732505218923,0,0,0,0,0,0.945432724992825,0,0,0,0,0,1.61169445119514,1.54849611424131,1.3796569129066,0
Mmp11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54706114618104,0,1.75471898534997,0
Mmp14,0,0,0,0.598391383753595,0.637936029017914,0,0,0,0.647291247647905,0,0,0,0,0,0,0,1.82209949024054,0,2.44170018058955,0
Mmp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41319419157512,0,1.77321600427823,0
Mmp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mpeg1,0,0,0,0,0,0,0,0,0,0,0,1.0623035513228,0,0,0,0,0,0,0,0
Ms4a4b,0,0,0,0,0,0,0,0,0,1.26488119395529,0,0,0,0,0,0,0,0,0,0
Ms4a4c,0,0,0,0,0,0,0,0,0,0,0,1.05578401074867,0,0,0,0,0,0,0,0
Ms4a4d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a6c,0,0,0,0,0,0,0.829275217747266,0,0,0,0,1.14642800373581,0,0,0,0,0,0,0,0
Ms4a7,0,0,0,0,0,0,1.21560855795804,0,0,0,0,0,0,0,0,0,0,0,0,0
mt-Co1,2.71178738321104,1.80478004867782,2.65704641958033,2.24483566169437,2.50531529676846,1.98748665917722,1.68430648237903,2.95847841439456,1.61271027352142,2.3510820782999,2.04810502031695,1.88317305381019,2.50423336427123,2.50414335595276,1.61715461855328,2.34255536650356,1.85193224686619,2.3638492038443,1.58799506517337,1.83722574688749
mt-Rnr1,2.51313350829736,0,0.503769123772586,0,0,2.0602245717579,1.08304314163526,0.817921817758499,2.23033159149826,0.794408922280648,0,0,0,1.53934971724685,0,2.13747865444116,1.82688177625331,2.4759830532822,1.75705050438105,2.38127249748351
mt-Rnr2,3.28402796752956,1.12963947310642,0.960942867685156,1.35519027150229,1.32856196852893,4.09340513349763,2.90401012515643,3.43070894901348,4.35711856313074,2.06157968084045,2.14315399170231,1.79021682713135,1.60781913416314,2.2809479834407,2.38222852528932,3.70956406527383,4.50604634998531,2.58705542119411,3.80314203744272,3.80652544346468
Mt1,0,0.971733708879706,0.756683033818351,1.07503359872735,0.398079474975861,0,0.541188918713501,0,0,0,0,0,0,0,0,0,0,2.15930666618891,0,0
Mt2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925659944312681,0,0
Myh11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76486708461794,0,0,0,0,0,0
Myl12a,0,0.691640384195833,0.921413008029366,1.15065760177448,1.24555837489749,0,0,1.17341370830157,0,0.880034488231003,0.837757919046121,0.750095196092986,1.23278212811823,0,0,1.15775562547608,0,0.589955862642134,0,0
Myl6,0,0.849235353879096,1.16466804480558,1.43414433713555,1.53114152143235,0,0,1.64833723096602,1.26918652381938,1.29408907879193,1.62029307171464,0,1.39705604933699,2.41055780991239,0,0,1.03134815338699,0.165800873871096,0,1.73203010113715
Myl9,0,0,0,0.446012416543553,0.592566045447597,0,0,0,0,0,0,0,0,2.89440965643083,0,0,0,0,0,2.1345316214471
Mylk,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65698964136018,0,0,0,0,0,0
Nbl1,0,0,0,0.375863380641296,0,0,0,0,0,0,1.34671011711726,0,0,0,0,0,2.16342718728235,0,2.15437240707097,0
Ndufa4,0,1.09431820423802,1.55149481339544,0.821161447484214,0.736084909797552,0,0,1.18116094808349,0,0,0.837757919046121,0,0,1.46164937120004,0,0,0,1.57141354267059,0,0
Nedd4,0,0,0,0.518230496188508,0.657033065647434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nfkbia,0,0,1.37798499099976,1.90514054842112,1.40048071380335,2.34152389242006,1.4603531759919,1.37593760582681,1.01444224800595,0.285454203334504,0,1.18513762834884,1.24778964146921,0,1.28563452384567,1.45785192418116,0,0,0,1.33731094901045
Nkd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
