,unassigned,Muscle_9,Muscle_7,Muscle_2,Muscle_12,Muscle_3,Muscle_5,Muscle_1,Muscle_13,Muscle_4,Muscle_6,Muscle_8,Muscle_11,Muscle_15,Muscle_10,Muscle_14,Muscle_16,Muscle_17
Rpl11,0,2.17925683617708,1.72176948782977,0,0.983067127519278,1.6117553874582,1.67168622425164,0,1.57177762169009,0,1.99011731350861,0.749861792417175,1.37533469587868,1.1723105980116,1.27401151212752,2.02992255892184,2.21026617544549,0
Rpl13,1.12613905476142,3.25563051232896,2.76215877259363,1.01871576208379,1.89739367378202,2.67946527072474,2.60720533892868,1.19625808410472,2.4465966572439,0,3.62337342608766,2.04644736773101,2.45197686944114,1.91032431627632,1.73727199976447,2.37490689055368,3.04530542046658,1.51926283205518
Rpl14,0,2.70232653412152,1.84271904633096,0,1.2375729210712,1.45972571826352,1.60610037667608,0.657291710836002,1.46852039451382,0,2.36426322736722,1.44173380558316,1.52362416461094,1.46103794378817,1.28434925869689,1.90672270693235,2.08153586473783,0
Rpl18,0,1.87119850464533,1.34011480166454,0,0,1.33067937984653,1.51266135950841,0,1.30109177878619,0,1.57393074999794,0,0.955486317726777,1.03355152191064,0,0,1.70335464374438,0
Rpl18a,1.09215486649172,2.60520397768368,2.35515248876849,0.945019428933122,1.59657293529993,2.56343319185519,2.62487689027014,1.28434925869689,2.11200890571087,0,3.19678717227203,2.07079152308587,2.16933388449956,2.01070074426795,1.61080841626019,2.8212748130897,3.42728294563791,0.558718258517629
Rpl21,0,2.00858470171429,1.18118265786267,0,0,1.17095900956308,1.53635735819798,0,1.08538113004294,0,1.83267143893494,0,1.08399170741342,0,0,1.38603041203901,2.29367530232405,0
Rpl23,0,1.85425834729176,1.21208739781357,0,0.882099701622205,1.29872307403485,1.43518463892368,0,1.1455930804949,0,1.75081067833347,0.327924674395813,1.38479310867942,0.514026363013251,0,1.44018458785353,1.48456460335994,0
Rpl23a,0,1.92167261971799,1.35099229583517,0,0,1.40977062795447,1.5570680954834,0,1.18009231624726,0,1.93770071396463,1.0477279649327,0.955486317726777,1.36453700942893,0,1.14047867917291,1.75766906366781,0
Rpl26,0,2.2838894590114,1.46238460090526,0,0.972613547774989,1.57894257177832,1.56234143152318,0,1.56664456506541,0,2.28731628202302,1.11890168945508,1.05181484706362,1.46103794378817,0,1.60365438021492,2.08153586473783,0.672605077972439
Rpl3,0,2.20217188841847,1.53091701350208,0,1.00885598945466,1.34681106126381,1.57587535508248,0,1.1455930804949,0,1.62803260279086,0,1.09380297566877,0,1.27973273116865,1.39047450107032,2.19291062323426,0
Rpl32,0,2.70232653412152,2.48538147756399,0,1.13409400626303,2.45424063831923,2.35062896487523,1.02444056111427,2.40710736329155,0,2.83326629262909,1.40209962420066,1.68851530853887,1.62224621415451,1.49092266041175,2.39610485944391,2.74669107285111,1.50958499824781
Rpl36,0,2.10229589244574,1.51917381425378,0,0.604211707385575,1.29891961822667,1.30677655031709,0,1.41845916674888,0,2.08322740715284,0.93514508914685,1.47513719138198,0.808252504673964,1.56322576620645,1.77161293737344,2.13253070220637,0
Rpl36a,0,1.70421138448027,1.15719601528872,0,0,1.02248242657916,1.05893972190001,0,0.343621055188424,0,1.70015038940041,0,1.09380297566877,0,0,0.546489135173093,1.38752127305865,0
Rpl37,0,2.18411678537447,1.55617729613704,0,0.604211707385575,1.61604732038003,1.57038034673739,0,1.64754623103022,0,2.5638688608366,0.93514508914685,1.5829753068649,0,1.49092266041175,1.82689352384957,1.49252144008801,1.41726887837458
Rpl37a,0,1.91149093025228,1.6937819542478,0,1.02877834647189,1.48022852634906,1.57038034673739,0,1.45414099267227,0,2.28731628202302,0.984392249778359,1.31646504828175,1.11765420094975,1.5202837411309,1.26880347361551,1.50057163263692,2.10089929355148
Rpl38,0,1.77297176840947,1.46238460090526,0,0,1.04842143234399,1.13054684904606,0,0.793996947476163,0,1.60141171009053,0.327924674395813,0,1.11765420094975,0,1.25555153459008,1.49252144008801,1.23132333649007
Rpl39,0,1.74536695701107,1.26834445682483,0,0.932412906054107,1.34873942001963,1.45288531285535,0,1.11140317658796,0,1.55617729613704,0,1.05181484706362,0,0,1.25555153459008,1.49252144008801,0.558718258517629
Rpl4,0,2.20951780946199,1.54977704846403,0,1.00885598945466,1.66936197431321,1.97677232489988,0,1.77069368536833,0,2.28731628202302,0.93103001343512,1.43280398784026,1.03355152191064,1.15036385616396,1.7222498159302,2.13253070220637,0
Rpl41,1.25716961960788,3.12986999323872,2.49892111407417,0.844736186720294,1.56145709683991,2.34463486028006,2.66663850445652,1.95813591944947,2.20919213346311,0,2.63420628123981,1.57664635114495,1.98707742638447,2.27892391031448,1.93985140878784,2.3079812559589,3.03444610939056,1.86503214726633
Rplp0,0,2.52743931320622,1.91619098761696,0,0.781847175394241,1.96535436128024,2.03597228935073,0.964288304510461,1.37155684363514,0,2.51877494189193,1.62997409370028,1.37533469587868,2.0460687738554,1.30437228157456,1.41533184468421,2.29367530232405,0.558718258517629
Rplp1,0,2.36966260394965,1.69325364576406,0,1.18247762859426,1.54145344778839,1.5804150973023,0,1.41515129390973,0,2.29155091129726,0.48437633616716,1.75652182071472,0.927650559146505,1.30437228157456,0.668160162627905,2.21026617544549,0.730618558589432
Rplp2,0,1.88613838734473,1.33842552282038,0,1.00885598945466,1.53696032087769,1.53207851757963,0,1.09928073036152,0,1.60141171009053,0,0,0,0,1.45988293413341,0,0.730618558589432
Rps11,0,2.35491388219702,1.7400732164296,0,1.29157543685708,1.77449701367853,1.65907253745041,0,1.55032925129427,0,2.08322740715284,0,0.842328670260278,1.62224621415451,0,2.5778125664732,2.67694013064933,0
Rps12,0,2.10594786420802,1.46353404035454,0,0.855747568945201,1.31014088958111,1.34309423262553,0,1.17599096054456,0,1.55617729613704,0,1.09380297566877,0,0,0.533237196147664,1.48456460335994,1.41726887837458
Rps13,0,1.96040210041055,1.49573021577976,0,1.2375729210712,1.53098907062896,1.51509646513488,0,1.2478646879016,0,1.62032748725938,0,1.17956814700771,1.61937561175122,0,1.65437522618265,2.21026617544549,0
Rps14,0,2.37376810138994,1.73876472587014,0,1.16524428846579,2.01295102081648,1.89304239448978,1.00262172214211,2.0030370982263,0,2.83326629262909,1.36337722624147,1.60328138514193,1.15710085722715,1.53885664380136,2.07023717505956,2.67694013064933,0.774599031653037
Rps15a,0,2.06280715255211,1.49573021577976,0,1.30797513959848,1.5944761296549,1.68443310700791,0.965559478213162,1.12069941055058,0,2.12304157939305,0,0.798691403545069,0,0,1.65437522618265,1.38752127305865,0
Rps16,0,1.928315053715,1.51917381425378,0,0.659176458134462,1.45991772746963,1.49513366123208,0,1.21243726434529,0,1.75081067833347,0,0,0.933149355030641,0,1.32511173243636,1.49252144008801,0
Rps17,0,1.99981486611844,1.46225700623255,0,0,1.25335099345833,1.45372023783888,0,0.340795750335675,0,1.55617729613704,0.335888084378626,0,0.637575698329764,0,1.32955582146767,1.08969243167049,0
Rps18,0,2.25287942307296,1.50057163263692,0,0,1.29872307403485,1.31941096513796,0,1.18422472584923,0,2.12304157939305,0,0.918424704854205,0,0,1.44018458785353,1.50057163263692,0
Rps19,0,2.46586911457592,1.94272753127301,0,0.959238121985443,2.04567578003824,2.10274120400646,0.657291710836002,1.95454778260717,0,2.68058109474166,0.335888084378626,1.31646504828175,1.15710085722715,1.49092266041175,2.12520449294349,1.56145709683991,0
Rps2,0,2.95893971144868,1.97293210499885,0,0.746857608493327,1.55269841189637,1.59306248755218,0,1.23468527672226,0,2.32173061790229,2.11512254458425,1.52530039135789,1.73896123954086,1.27401151212752,1.45988293413341,1.50057163263692,0
Rps20,0,1.95579215452881,1.17667373066038,0,0,1.36537026902044,1.56013469793513,0,1.48474140057746,0,1.62032748725938,0.98636519221926,1.05181484706362,0.808252504673964,0,1.11757313494276,1.48456460335994,1.41726887837458
Rps23,0,2.22219847096315,1.63817110186037,0,0.996467050056196,1.6089291158423,1.61318906583375,0,1.38785875884369,0,2.18227359442094,0,1.31891241145449,0,0,1.38603041203901,2.29367530232405,0
Rps24,0,1.92167261971799,1.46238460090526,0,0.996467050056196,1.47780405065417,1.51931048581526,0,1.35720650893768,0,1.78929360736871,0.93514508914685,0.829103021493618,0.598129042052362,1.28434925869689,1.39563349840433,2.19291062323426,1.42532872674665
Rps25,0,1.87230113427053,1.47047204940949,0,0.582608162317762,1.29388654829581,1.34600551588558,0,0,0,1.45590789550599,0,0.914995162762933,1.03355152191064,0,0,1.27973273116865,0
Rps26,0,2.56259956381353,2.07672050788999,0,0.902090077289981,2.0346950182819,2.0981899266628,1.12003241893869,1.39731560205203,0,2.51211361792052,0,1.26721747395367,1.11765420094975,1.15036385616396,2.46596054966691,1.48456460335994,0
Rps27,0,2.26353273148422,1.89376218098546,0.681902939362118,1.49412395384759,2.05573000473906,2.7352445070172,1.02444056111427,2.45812714446107,0,2.84778434341106,1.39997996487402,2.07816238259122,1.46168982936213,1.61080841626019,2.65919717372566,3.25816304782704,0
Rps27a,0,2.08523064799477,1.69589886074632,0,0.983067127519278,1.52784712768878,1.2481117211518,0,0.947876142630325,0,1.83267143893494,0,1.30978454922559,0.514026363013251,0,1.23924416239757,1.38752127305865,1.52732268042724
Rps28,0,1.61194419305527,1.26072273285565,0,0.675728727669636,1.2579109783212,1.23712064571578,0,0.684416805524098,0,1.62803260279086,0,0.914995162762933,0,0,1.41533184468421,1.49252144008801,0
Rps29,0,2.65346763134592,2.47902199327594,0.774906708175796,2.33584944581363,2.39251017714703,2.37403927255003,1.49734024004908,2.18081097248151,0,2.32612056649572,1.44400361409823,1.6864188289112,1.84684987893222,2.1573089156499,2.50553536557856,2.19291062323426,1.50958499824781
Rps3,0,2.20217188841847,1.68746634496912,0,0.882099701622205,1.54190451050925,1.65363530051185,0.957984131847731,1.56495007352804,0,2.14998674245047,1.11581319220542,1.35228446037202,0,0,1.52198414712955,1.56145709683991,0.752723648774206
Rps3a1,0,2.22583812260297,1.7400732164296,0,1.38207645787999,1.91059734190418,2.08984364992806,1.14307257983603,1.72346277733954,0,2.41113688652612,1.11581319220542,1.70872507088046,1.11215540506561,1.15036385616396,1.95444052049375,2.29367530232405,0
Rps4x,0,1.68495473202645,1.08197083247224,0,0,0.996133892756212,0.729941726028425,0,1.30020287490936,0,1.61650500934793,0,0.799984773828982,0,0,1.22425238416631,1.70335464374438,0
Rps5,0,1.93204685203776,1.40835752526739,0,0.746857608493327,1.48880002876368,1.46353447615272,0,1.31803856676706,0,1.73727199976447,1.24850481778861,0.829103021493618,0.413624196133255,1.15036385616396,1.57613832294406,1.56145709683991,0
Rps7,0,2.06932949146913,1.59398073849114,0,0.604211707385575,1.51799673073237,1.52542939127277,0,1.22402626572597,0,2.08322740715284,0,0.918424704854205,0.637575698329764,0,1.28500473201847,1.13142926561179,1.49738744917635
Rps8,0,2.06607161446324,1.37032456366248,0,0.675728727669636,1.2091765492809,1.3808378381045,0,1.1763182820792,0,1.57393074999794,0,1.17956814700771,0.514026363013251,0,0,1.50057163263692,0.744663800402141
Rps9,0,2.50106813339078,2.03623967631517,1.14397866846386,1.59675844715848,2.27099692643082,2.18726726979232,0.837555715810967,1.74586447599234,1.14126492363324,2.65433843564613,1.01546281778126,1.31159931263938,1.27298042991018,1.44911758785941,2.5778125664732,2.67694013064933,1.55356547131142
Rpsa,0,1.97452557563036,1.60141171009053,0,0.49041417341782,1.48536760963147,1.62224621415451,0,1.48987445720213,0,1.74213387239772,1.17211635882391,1.26496988513644,1.03355152191064,0,1.29339833821209,1.48456460335994,0.558718258517629
Rsad2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100a10,0,0,0,0,0,0.917154906132857,0,0,0,0,0,0,1.37533469587868,0,0,0.668160162627905,0,0
S100a11,0,0,1.26834445682483,1.58937475981301,0,0.892141281528444,0,0,0,2.52100514683701,0,0,1.17956814700771,0,0,0,0,0.752723648774206
S100a16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100a4,0,0,0,0,0.746857608493327,1.34322849836023,0,0,0,0,0,0,0,0,0,1.76866318080162,0,0
S100a6,0,0,0,0,1.0502961715368,1.53289403303408,0,0,0,2.05271621410194,0,0,2.18340742966025,0,0,1.17832548279491,0,1.49738744917635
S100a9,1.52362416461094,0.454334813630065,3.34003577214949,6.86272061216399,0.959238121985443,1.34889917163528,1.38150220239057,1.22381769857954,1.9134622934914,6.93506922850785,1.55617729613704,1.41914403438725,1.45894799551868,1.46390854619146,1.87939310519797,1.87476256063018,2.52682672041654,2.71279301553609
Sdc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sdpr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selenop,0,0,0,0,2.59342927192597,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpinb1a,0,0,1.47357857774541,1.06725778727046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpinf1,0,0,0,0,0,0,0,0,0,0,0,0,1.43280398784026,0,0,0,0,0
Serping1,0,0,0,0,0,0,0,0,0,0,0,0,2.25003166834847,0,0,0,0,0
Serpinh1,0,0,0,0,0,0,0,0,0,0,0,0,1.05181484706362,0,0,0,0,0
Sh3bgr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siglech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc16a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc25a37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc25a4,0,0,0,0,0,0,0,0,0,0,0,3.76087604399817,0,4.16640249183686,0,0,0,0
Slc25a5,0,2.32925194849716,1.54919806330607,0,0.932412906054107,1.88880064828116,1.58077911493208,0,1.38729395685135,0,0,0,0.914995162762933,0,0,1.85740426125492,0,0
Slc4a1,0,0,0,0,0,0,0,1.25166027025998,0,0,0,0,0,0,0,0,0,0
Slc9a3r2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slfn4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sln,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811123107077254,0,0,0,0
Slpi,0,0,0,0,0,0.560237545257504,0,0,0,1.59029361332506,0,0,0,0,0,0,0,0
Smoc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smpx,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11765420094975,0,0,0,0
Snca,0,0,0,0,0,0,0,0.957984131847731,0,0,0,0,0,0,0,0,0,0
Socs3,0,0,0,0,0,0,0,0,0,0,0.758288442628834,0,0,0,0,0,0,0
Sparc,0,0,0,0,0,0,0,0,0,0,1.73727199976447,0,3.25434988917011,0,3.02497556545067,0,0,0
Sparcl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5202837411309,0,0,0
Spib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Srgn,0,0.327802752827839,2.60790830616531,0,0.781847175394241,0.563932919051764,0.801391517616682,0,0.739131219888388,1.34905900461616,0,0,0,0,1.24511634222971,0,0,1.41726887837458
Stfa1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stfa2l1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stk17b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcap,0,0,0,0,0,0,0,0,0,0,0,2.28359438628299,0,2.52457351926778,0,0,0,0
Tcea3,0,0,0,0,0,0,0,0,0,0,0,1.20129804907297,0,0,0,0,0,0
Tcf4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thbs1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thbs4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timp2,0,0,0,0,0,0,0,0,0,0,0,0,1.05181484706362,0,0,0,0,0
Timp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28434925869689,0,0,0
Tmcc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem14c,0,1.30158466773291,0,0,0,0,0,1.00262172214211,0,0,0,0,0,0,0,0,0,0
Tmem176a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem176b,0,0,0,0,0.972613547774989,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmsb10,0,0,0,0,0,2.28321046457649,1.91223612221937,0,0.961775742948906,0,1.18345082499309,0,1.30317603116507,0,0,1.38899354082594,2.22005008322081,0
Tmsb4x,1.24295113930077,0,4.22010930197684,4.6237944538928,4.54781603228914,4.79087866115424,2.63872259579855,0,3.51392993309781,4.89435876841029,2.38041499054344,0,2.85406604245504,0,4.61700028394254,5.00504981733344,4.33491660675829,4.34724828178637
Tnnc1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6673971781441,0,0,0,0
Tnnc2,0,0,0,0,0,0,0,0,0,0,0,5.52340416603901,0,0.519525158897386,0,0,0,0
Tnni1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00189515276253,0,0,0,0
Tnni2,0,0,0,0,0,0,0,0,0,0,0,4.33111731858574,0,0,0,0,0,0
Tnnt1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64290855918708,0,0,0,0
Tnnt3,0,0,0,0,0,0,0,0,0,0,0,4.14846325609297,0,0,0,0,0,0
Tnxb,0,0,0,0,0,0,0,0,0,0,0,0,0.798691403545069,0,0,0,0,0
Tpm1,0,0,0,0,0,0,0,0,0,0,0,4.59864763347538,0,0,0,0,0,0
Tpm2,0,0,0,0,0,0,0,0,0,0,0,3.71978479153263,0,4.12819582835279,0,0,0,0
Tppp3,0,0,0,0,0,0,0,0,0,0,0,0,1.17956814700771,0,0,0,0,0
Trbc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27973273116865,0
Trdn,0,0,0,0,0,0,0,0,0,0,0,1.04793886661624,0,0,0,0,0,0
Trem1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trib1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tspan7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49092266041175,0,0,0
Tuba1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuba1b,0,1.81183595286288,0.747608692488586,0,0,0.82107486787756,1.8365207091251,1.17571225183125,0,0,0,0,0,0,0,0,0,0
Tubb4b,0,1.16304901076064,0.355277366870244,0,0,0,0.891472811340783,1.33758259216352,0,0,0,0,0,0,0,0,0,0
Tyrobp,0,0,1.10380213845104,1.72874409799724,2.07480163593172,2.40734679329902,0,0,0,2.4007891370628,0,0,0,0,0,1.23924416239757,1.27973273116865,1.40322363656187
Ubc,0,0.537744866682106,0.355277366870244,0,1.49412395384759,0.588433156997416,0.622706915666334,0,0.33528472463797,0.99919273477428,3.1314156685741,0.327924674395813,1.09380297566877,1.31242708618758,1.47669938894193,1.25555153459008,0,0
Ube2c,0,0,0,0,0,0,0.775561487515393,1.25551141196802,0,0,0,0,0,0,0,0,0,0
Ube2l6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ushbp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vcam1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744663800402141
Vgll2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vpreb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vpreb3,0,0,0,0,0,0,2.13399211570072,0,0,0,0,0,0,0,0,0,0,0
Wfdc17,0,0,0,0,0.932412906054107,0,0,0,0,0,0,0,0,0,0,1.29339833821209,0,0
Wfdc21,0,0,0.981089345845556,3.1427165732645,0,0,0,0,0,2.89168732047988,0,0,0,0,0,0,0,0
Xpo7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp36,0,0,0,0,1.00885598945466,0.636714456374919,0,0,0.33528472463797,1.27973273116865,2.96936126608589,0,0,0,0,0.533237196147664,0,1.83072950801009
