,unassigned,Muscle_9,Muscle_7,Muscle_2,Muscle_12,Muscle_3,Muscle_5,Muscle_1,Muscle_13,Muscle_4,Muscle_6,Muscle_8,Muscle_11,Muscle_15,Muscle_10,Muscle_14,Muscle_16,Muscle_17
H2-Eb1,0,0,0,0,2.07480163593172,0,0,0,0,0,0,0,0,0,0,2.5778125664732,0,0
H2-K1,0,0,0,0,0.855747568945201,0.667257972768236,0.826665599603479,0,1.31043177336529,0,0,0,0,0,1.30437228157456,0,2.68737644869832,1.86066473926098
H2afz,0,1.60445237478751,1.23703781283971,0.881572089871411,0,1.36206222583515,1.65673249858229,1.06569219832404,0,0,0,0,0,0,0,0,0,0
H3f3b,0,1.47804127800808,1.45869412839126,1.51117938345322,1.6516418105546,1.7943818762672,2.54727283984998,1.37667738767967,1.9807387282069,1.72727051961212,1.57393074999794,0,0.918424704854205,1.03355152191064,1.54573406749599,1.65451183411765,1.94706010518315,2.02715667646714
Hba-a2,7.39396994307198,1.48892941552791,1.75613977923147,2.10551380242154,2.10032135774298,2.02021677786152,2.33718630750365,6.54114939447302,2.22308701641529,2.266421577434,2.59315543955626,2.1567396505805,2.24395819779887,2.50766481140903,2.72365112424789,2.64441784830647,2.77706274235556,2.91293236142419
Hbb-bt,6.73150495222783,1.40729970093349,1.26553098721193,1.93128128119015,1.18247762859426,1.58605578239336,1.94643799179014,6.5289758674981,1.90680681110071,2.14998674245047,2.2174309780114,2.08638517395063,1.6969595233988,1.61937561175122,2.32173061790229,1.40007758743564,2.73149454642266,2.29261783946851
Hcar2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemgn,0,0,0,0,0,0,0,0.75024969289174,0,0,0,0,0,0,0,0,0,0
Hes1,0,0,0,0,0,0,0,0,0,0,1.31038887425538,0,0,0,0,0,0,0
Heyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hmbs,0,1.04183816803421,0,0,0,0,0,1.79529111000766,0,0,0,0,0,0,0,0,0,0
Hmgn2,0,0.420055870343375,1.51917381425378,1.34649048825144,0,0,1.53154791290981,0,0,0,0,0,0,0,0,0,0,0
Hmox1,0,0,0,0,0.855747568945201,0,0,0,0,0,0,0,0,0,0,0,0,0
Hp,0,0,0.918281276849661,1.32321878362373,0,0.601943406759396,0,0,0,1.58388604667605,0,0,0,0,0,0,0,0
Hsp25-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927650559146505,0,0,0,0
Hspa1a,0,0,0,0,1.48140761845866,0,0,0,0,0,2.17400117986804,0,0,0,0,0,0,0
Hspa8,0,2.25696262962061,1.47357857774541,0,1.56234088297287,1.74538743127336,1.49947204739602,0,1.2755437815519,0,2.24395819779887,1.10184579673564,1.17956814700771,0.514026363013251,0,2.07764037248324,2.19291062323426,1.42532872674665
Hspb1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91032431627632,1.58479793844412,0,0,0
Hspb6,0,0,0,0,0,0,0,0,0,0,0,2.41081447167434,0,3.52424142507995,0,0,0,0
Hspb7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96138809780451,0,0,0,0
Hspb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Htra3,0,0,0,0,0,0,0,0,0,0,0,0,0.906535954507533,0,0,0,0,0
I830127L07Rik,0,0,0,1.3673372561009,0,1.14218003480696,0,0,0,1.24187153135304,0,0,0,0,0,0,0,0
Id3,0,0,0,0,0,0,0,0,0,0,3.08302582850004,0,0,0,1.49092266041175,0,0,0
Ier2,0,0,0,0,0,0,0,0,0,0,1.62032748725938,0,0,0,0,0,0,0
Ier3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifi27l2a,0,0,0,0,0.49041417341782,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifit3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ifitm3,0,0.304838237460311,0,1.09297827034619,1.40273551762209,2.00465487716492,0,0,0,1.27515139665953,1.31038887425538,0,2.24800281819339,0,2.1463475721772,2.11795498862096,0,0
Ifitm6,0,0,0,1.7739088276993,0,0,0,0,0,2.04673822578781,0,0,0,0,0,0.546489135173093,0,0
Igfbp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igfbp6,0,0,0,0,0,0,0,0,0,0,0,0,1.38479310867942,0,0,0,0,0
Igfbp7,0,0,0,0,0,0,0,0,0,0,0,0,1.52362416461094,0,3.64583477398467,0,0,0
Igha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ighg2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ighg2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ighm,0,0,0,0,0,0,2.49697670615666,0,2.54469179479768,0,0,0,0,0,0,0,0,0
Igkc,0,0.31517877599363,0,0,0,0,1.7219859637117,0,3.55815024894441,0,0,0,0,0,0,0,1.49252144008801,0
Igkv4-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iglc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iglc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iglc3,0,0,0,0,0,0,0,0,1.10617344428457,0,0,0,0,0,0,0,0,0
Igll1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iglv1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il1r2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isg15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isg20,0,0.381543368821271,0,0,0,0,0,1.18638058652854,0,0,0,0,0,0,0,0,0,0
Itm2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itm2b,0,0.359413903208455,1.66780738724454,1.33254877736724,2.82250349961078,1.64401811235287,0,0,1.15407026970224,1.41974866617932,0,0,2.23192783034098,0,2.1463475721772,1.214649297801,1.08969243167049,0
Jchain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun,0,0,0,0,0,0,0,0,0,0,1.51695925456803,0,0,0,0,0,0,0
Junb,0,0,0,0,1.40273551762209,0,0,0,0,0,3.09892906241145,0,0,0,0,0,2.08153586473783,0
Jund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kdr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lcn2,0.522421654479298,0,0.619968290370177,4.64922988625297,0,0.587784684543761,0,0,0.800650387402307,4.27148708991805,0,0,0,0,0.920725867584765,0,0,0.730618558589432
Ldb3,0,0,0,0,0,0,0,0,0,0,0,1.08415387737434,0,1.61937561175122,0,0,0,0
Lgals1,0,0,0,0,0.959238121985443,1.50811152588482,0,0,0,0,1.18345082499309,0,1.37533469587868,0,0,0.571083999769666,1.48456460335994,0
Lgals3,0,0,0,0.867568387853269,1.02877834647189,1.90127662950715,0,0,0,1.44313905319338,0,0,0,0,0,1.14047867917291,0,0
Lilr4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lilrb4a,0,0,0,0,0,0,0,0,0,0.917851270496548,0,0,0,0,0,0,0,0
Lpl,0,0,0,0,0.366912972766285,0,0,0,0,0,0,0,0,0.413624196133255,0,0,0,0
Lrg1,0,0,0,0.854015324344232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lsp1,0,0,0,0,0,0.880936980481442,0,0,0,0.776934889014643,0,0,0,0,0,1.38603041203901,0,0
Ltbp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ltf,0,0,0,3.92784487274779,0,0,0,0,0,2.74669107285111,0,0,0,0,0,0,0,1.23132333649007
Lum,0,0,0,0,0,0,0,0,0,0,0,0,0.798691403545069,0,0,0,0,0
Ly6a,0,0,0,0,0,0,0,0,0,0,0,0,2.12422229320666,0,1.56322576620645,0,0,0
Ly6c1,0,0,0,0,0,0,0,0,0,0,0,0,1.30317603116507,0,2.55552041603633,0,0,0
Ly6c2,0,0,2.35515248876849,1.58937475981301,0,2.91096418741097,0,0,0,1.60891936821022,0,0,0,0,0,0,0,0
Ly6d,0,0,0,0,0,0,0,0,2.21885751793042,0,0,0,0,0,0,0,0,0
Ly6e,0,0.668767621513051,0.883951481536505,0,1.18247762859426,2.25234084623983,1.5129360119974,0,1.9727909900275,0,0,0,1.09380297566877,0,2.39368855325046,1.27540164565315,2.40158126706308,1.52732268042724
Ly6g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyve1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyz1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyz2,1.90746271063746,0.819914313008668,1.60265762635921,5.20600231915195,4.77162828871443,5.47399240769223,1.56234143152318,1.34649048825144,1.67706215517765,4.98952314102867,1.71521962404694,1.31576722000617,1.6969595233988,2.21900392520571,1.78215581499111,2.34202003289795,2.69791704255189,1.77579569559624
Mb,0,0,0,0,0,0,0,0,0,0,0,2.17876789810559,0,2.94649038215579,0,0,0,0
Mcemp1,0,0,0,0,0,0,0,0,0,1.15961683872419,0,0,0,0,0,0,0,0
Mcpt8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meg3,0,0,0,0,0,0,0,0,0,0,1.46737969895382,0,0,0,0,0,0,0
Mfap5,0,0,0,0,0,0,0,0,0,0,0,0,2.7301832891343,0,0,0,0,0
Mgp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mgst3,0,0,0,0,0,0,0,0.837555715810967,0,0,0,0,0,0,0,0,0,0
Mkrn1,0,0.288689658727152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mlf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mmp2,0,0,0,0,0,0,0,0,0,0,0,0,0.805201505891526,0,0,0,0,0
Mmp8,0,0,0,0,0,0,0,0,0,3.80839734687852,0,0,0,0,0,0,0,0
Mmp9,0,0,0,0,0,0,0,0,0,1.24837920205595,0,0,0,0,0,0,0,0
Mpo,0,0,3.52746773992218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a3,0,0,1.63856383211966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21026617544549,0
Ms4a4c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a6c,0,0,0,0,0,1.40083769249607,0,0,0,0,0,0,0,0,0,0.73756859569099,0,0
Msrb1,0,0,0.772688194727726,0.949300426896189,0,0.932164992892903,0,0,0,1.49573021577976,0,0,0,1.03355152191064,0,0,0,0.744663800402141
mt-Cytb,0,2.47095504394177,2.18530025859429,0.873217905041666,1.59675844715848,2.09124542647487,2.63321026935947,1.00262172214211,2.24924489137701,0,3.15375633097102,0,2.24800281819339,0,2.22005008322081,1.93508272973484,1.56145709683991,0.781612883103223
mt-Nd1,0,1.96927267029461,1.61555249442992,0,1.51530294928363,1.54145344778839,2.17869661678311,0,1.84798992283186,0,2.06978421788933,0,1.43280398784026,0,1.61650500934793,1.8865659307462,1.94706010518315,1.49738744917635
mt-Nd4,0,1.70464011488335,1.54228697204405,0,1.42551917880993,1.53638216791693,1.5510412050039,0,2.01265655775724,0,2.24395819779887,0,1.98480452927208,0,1.61650500934793,1.65006774508634,1.50057163263692,1.91841800645864
Mt1,0,1.11271001078538,0.619968290370177,0,0.972613547774989,0,0,0,0,0,1.43721364043136,0,0,0,0,0,0,0
Mt2,0,0.498864192806127,0,0,0,0,0,0,0,0,1.1558968981009,0,0,0,0,0,0,0
Mxd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
