,Bone-Marrow_17,Bone-Marrow_1,unassigned,Bone-Marrow_10,Bone-Marrow_6,Bone-Marrow_13,Bone-Marrow_5,Bone-Marrow_4,Bone-Marrow_9,Bone-Marrow_8,Bone-Marrow_2,Bone-Marrow_7,Bone-Marrow_3,Bone-Marrow_11,Bone-Marrow_12,Bone-Marrow_16,Bone-Marrow_15,Bone-Marrow_14,Bone-Marrow_c-kit_8,Bone-Marrow_c-kit_10,Bone-Marrow_c-kit_3,Bone-Marrow_c-kit_16,Bone-Marrow_c-kit_6,Bone-Marrow_c-kit_12,Bone-Marrow_c-kit_5,Bone-Marrow_c-kit_9,Bone-Marrow_c-kit_19,Bone-Marrow_c-kit_11,Bone-Marrow_c-kit_1,Bone-Marrow_c-kit_7,Bone-Marrow_c-kit_17,Bone-Marrow_c-kit_2,Bone-Marrow_c-kit_15,Bone-Marrow_c-kit_18,Bone-Marrow_c-kit_14,Bone-Marrow_c-kit_13,Bone-Marrow_c-kit_4
Ppia,1.74058673327142,0,0,1.08301447851807,0,0,1.45816700922039,1.46738404044452,0.988045118711258,1.46183771041957,0,1.58510163752602,0,0,0,0,0,0,1.0534174451821,1.70422578446649,1.49451161954365,1.45755965324896,1.21792749424753,1.33910948162392,1.66794283945535,1.54558527177783,1.25299437724608,1.58461231977445,0,1.68144150902167,0.225446818529167,0,1.17787219834952,0.930214587139115,0,1.55569920997261,0
Prdx2,0.366233155824207,0,0,0,0,0,0,0,2.20995150240264,0,0,0,0,0,0,0,0,0,0,1.04552677080472,0,1.84379686199641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27650256941713,0,0,0
Prg3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13264684983486,0,0,0
Prr13,0,0,0,0,0,0,0,0,0,0,0,0,1.30740436295856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prss34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99619190984802,0,0,0,0,0,0,4.35436712112299,0,0,0,0,0,0,0,0,0,0,0,0,0
Prtn3,3.2537421043692,0,0,1.11440723546385,0,0,1.04915323669741,3.16252103930672,0,1.26366747573713,0,0,0,0,0,0,0,0,0,0,3.32593156651702,0,1.07433658275351,0.872021160682365,2.56748832670296,1.29830551781341,0.869930099300519,0,1.65736866504578,3.15498312463974,0,1.60138600811085,0,0.97140377406676,0,0,0
Psap,0.362723408025664,0,0,0,0,0,1.79312332040304,0,0,0,0,0,0,0,2.19103123360063,1.35159674844507,0,1.83124705772946,0,0,0,0,0,0,0.388403855015777,0,1.58876944132938,0,0,0,1.85515697667418,0,1.68033044974451,0,0,0,0
Ptma,2.12338526806311,1.12343780504473,0,1.2288190475122,0,0,1.83259440313256,1.7527669351362,1.75371611356956,1.947453179821,0,2.52851195501111,0,0.857366589706075,0,0,1.50273350431564,1.33452923386885,1.21792749424753,2.21682100758319,2.22144613139717,2.16773375658663,1.55289424698316,2.05376401564949,2.28293818570057,2.1713674600789,2.02521766790584,2.26647182977915,1.54801270838947,2.11949188737722,1.36915147546261,1.78545747664793,1.73736636727744,1.80909849452155,0,2.51495179274022,1.32304097582075
Ptprcap,0,0,0,0,0,0,0,0,0,0,0,1.41964265130152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963431232648136,0
R3hdm4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rack1,1.42984786018495,0,0,0,0,0,1.14049860441721,1.34777621658647,1.7048709766802,1.62265466621279,0,1.06455064057673,0,0,0,0,1.22474287917336,0,0,1.93020650600396,1.51896861594741,1.86679026827071,0.70354141800616,1.36139553760074,1.61580160794238,1.59678427064955,1.00506984736733,1.60138600811085,1.27180007826425,1.53917272066123,0.819686359143052,1.33201690035122,1.23562478659775,1.81336317651101,0,1.2997337748041,0
