,Bone-Marrow_17,Bone-Marrow_1,unassigned,Bone-Marrow_10,Bone-Marrow_6,Bone-Marrow_13,Bone-Marrow_5,Bone-Marrow_4,Bone-Marrow_9,Bone-Marrow_8,Bone-Marrow_2,Bone-Marrow_7,Bone-Marrow_3,Bone-Marrow_11,Bone-Marrow_12,Bone-Marrow_16,Bone-Marrow_15,Bone-Marrow_14,Bone-Marrow_c-kit_8,Bone-Marrow_c-kit_10,Bone-Marrow_c-kit_3,Bone-Marrow_c-kit_16,Bone-Marrow_c-kit_6,Bone-Marrow_c-kit_12,Bone-Marrow_c-kit_5,Bone-Marrow_c-kit_9,Bone-Marrow_c-kit_19,Bone-Marrow_c-kit_11,Bone-Marrow_c-kit_1,Bone-Marrow_c-kit_7,Bone-Marrow_c-kit_17,Bone-Marrow_c-kit_2,Bone-Marrow_c-kit_15,Bone-Marrow_c-kit_18,Bone-Marrow_c-kit_14,Bone-Marrow_c-kit_13,Bone-Marrow_c-kit_4
Rpl4,2.21333775439486,0,0,1.21792749424753,0,1.73067829263063,1.96743260101647,1.99277506173242,2.33566137050216,2.38337206584077,0,1.86688376398806,0,1.39036695891959,1.54385517394559,1.16288850700491,1.56135031630037,1.57492444360368,1.27682507293545,2.61201561338204,2.21896699560823,2.58737259949689,1.55499666916337,2.14754875570426,2.58019373897451,2.60733083426532,1.95328096922882,2.57965930189811,2.51500235441887,2.52789821772628,1.68954624812201,2.35970862935657,2.09211002159836,2.30365340496316,1.23777574875077,2.33269357046947,1.2351972437247
Rpl5,1.18656164339995,0,0,0,0,0,0.637547240159626,1.22063211504941,1.44667613328611,1.37999149895421,0,0.660610830349659,0,0,0,0,0,0,0,1.63144177758636,1.25741813915099,1.51830217833499,0.549964291816341,1.08158504236979,1.38816895614278,1.34829112797703,0.870341691966142,1.47547022749786,0,1.36566277232912,0.751067315087981,0,1.03010952119707,1.37750698111177,0,1.04433276918363,0
Rpl6,1.78206468246912,0,0,0.918669646005394,0,1.13083703453086,1.4179173062568,1.48365669975872,1.80802649326972,1.723145803899,0,1.53085212514911,0,0,0,0,1.0272667061465,1.0941532445058,0.586131467329557,1.85307743178027,1.58072150233046,1.84917961012695,0.875937729739331,1.45755744323855,1.70058266346626,1.70840453500513,1.2782028706334,1.68033044974451,1.16487876392989,1.67322666284233,1.00087811208612,1.40766489100307,1.20723834307058,1.50832685516325,0,1.35273805546717,0
Rpl9,1.59001240705849,0,0,0,0,1.14676443909973,0.603151903162476,1.14467429886118,1.35113191489862,1.36447210204562,0,0.99466399414076,0,0,0,0,0,0,0.737634281345047,1.82654893442997,1.59616434428779,1.77450425259176,1.00285614682078,1.45452610025496,1.60382318153885,1.78747324643093,1.46306573424874,1.74699353363682,0,1.73808428797601,0.774323952022892,0,1.35554742224945,1.55212515849779,0,1.46475808276371,0
Rplp0,2.33680105859934,0,0,1.29878085944235,0,1.74911595078123,2.08914386241739,2.18240821295604,2.73784210034186,2.47590278661171,0,2.02648993823513,0,1.28840431500761,1.6920785922084,0,1.67206537650665,1.58950554097187,0.969794565200366,2.84607445039581,2.49666024042402,2.90276799620161,1.43125990670056,2.29268547512319,2.65125999649007,2.56297205210763,2.23967676818356,2.49946051769266,1.76104388880771,2.5390141625112,1.52075413101399,1.79892152212496,1.91676051043829,2.35824967181068,0.821104385961952,2.28674019513101,0.936275976234784
Rplp1,2.3349795824223,0,0,1.2547599086769,0,2.10233737326493,2.11996324101024,2.12723459041182,2.83132564547049,2.50932310260628,0,1.87764641549591,0,1.45209335323233,1.62419773617736,1.46432407126153,1.80933474136632,1.67369817442877,1.07593261038893,3.12071236649623,2.65124837342163,3.19072393844713,1.5611055121936,2.59571079326794,2.83253467653526,2.88575576552974,2.53078634204004,2.72226863731416,2.44555110782267,2.73425630995604,2.33094345498013,1.83461963141752,2.50932310260628,2.8779261044382,1.1387959568771,2.49039654282551,1.1051965635353
Rplp2,2.0176596566626,0,0,1.08953776123135,0,1.55155424269857,1.67866691466849,1.66223209370559,2.14397041513812,1.83461963141752,0,1.73826439057207,0,0,1.34623316679624,0,1.08780934385325,1.3132216236331,0.934603168460412,2.57240397821522,2.37814644226694,2.53427143427651,1.45816700922039,2.16253250946574,2.44277906014391,2.41812049886949,1.93706302220075,2.37889125218143,1.75002656762685,2.44422334102133,1.55792273619908,1.56346909644283,1.92793333088456,2.50283753388254,0.887857310267913,2.2256000220141,0
Rps10,1.17197354854535,0,0,0,0,0,0,0.944005537576638,1.146676229713,1.12483230532577,0,0.257883526184954,0,0,0,0,0,0,0,1.723145803899,1.48239057540611,1.69377707244196,0.810632734911436,1.34898011820399,1.51814672749916,1.48175971023246,1.17895588845775,1.59097999194646,0,1.53220694345149,0,0,1.17942097138859,1.45227770140033,0,1.23250251761279,0
Rps12,2.09001223266325,0,0,1.06894692631143,0,1.41906787191816,1.64138795883412,1.81459272739023,2.18209507226693,2.00759810558816,0,1.58363764414953,0,0,0.824757369311835,0,1.28811048514042,1.07849659798253,0.844783490443908,2.63707278144591,2.47316725118647,2.56623627681161,1.3117621311445,2.21190687084789,2.42983248491591,2.39662392683217,1.91044221070298,2.29837969084634,1.85411522279904,2.40494022746606,1.72498176541956,1.75002656762685,1.85515433291078,2.42137317134343,0.915969092465583,1.89237715442196,0
Rps13,2.0398741514094,0,0,1.06894692631143,0,1.65093693143223,1.70918248058381,1.7409626183617,1.87010667902549,2.03544801638805,0,1.72687317631886,0,1.23476970085165,1.48175853978139,0,1.5207605427255,1.42600670623006,0.969794565200366,2.28828472190085,1.89346496338982,2.1642260915978,1.20317977379896,1.78976056243474,2.09770396580776,2.13902158708742,1.8145921190516,2.07490741634882,1.69887424573362,2.09428383691392,1.38365662492852,1.49773760391584,1.69716964365991,1.84688863027893,0.834770429877872,1.93077595139706,0
Rps15a,2.2102552770977,0.628902363952266,0.958655127396245,1.24251096436229,0.853314204716363,2.31074207386268,1.98951528374786,2.06155755213226,2.33837936739554,2.4199746319674,0,2.08120667022759,0,1.5770928637645,1.63980860494781,1.30788703245601,1.72227817568968,1.77975626917351,1.2912167167926,2.70755336526415,2.51215874594105,2.61684844580305,1.61080459244294,2.46331589173014,2.67533204997117,2.78887169503134,2.45154807010078,2.75290716893256,2.57738650998498,2.61436596430496,1.83870833124244,2.26746816460269,2.29581240190721,2.47693106603547,1.35664607077274,2.43268091329791,1.25564465791519
Rps16,1.98665223512963,0,0,1.00230430527632,0,1.60139987550942,1.68702138365538,1.65454731780045,1.98850106303768,1.95784146845077,0,1.76661110445625,0,1.03069372533345,1.33000849483997,0,1.34674723599607,1.35139074674662,0.860170751157131,2.15652270956595,1.81064566117074,2.15984193763164,1.20075845024424,1.78429364443753,2.12662220606167,2.09929990284428,1.80086365449122,2.13268792035807,1.63196194092442,2.11732682497735,1.23691749750954,1.25035660480171,1.71787982509928,1.77692154004254,0,1.83242672123012,0
Rps17,2.0008732511671,0,0,1.01856861544205,0,1.16330170760406,1.53424854156577,1.68088597938309,1.9846487074517,1.91330562305845,0,1.53629908389755,0,0,0,0.756124513406316,1.0859939907886,0.897545843145849,0.790521081677125,2.27568285854558,1.98026901910829,2.2209392506027,1.20561144532664,1.64854074220433,2.07106395531597,2.05083372796787,1.46676326775195,2.15652270956595,1.59989027141686,2.1399567450062,1.29310552602502,0,1.36183412974489,1.84405361540936,0,1.66713975193329,0
Rps18,1.78888223127283,0,0,0.630864409930128,0,1.42021843757953,1.28746974646906,1.43087006634642,1.82254606871418,1.6622303313443,0,1.39092144755286,0,0,0,0,0,0,0.616488667950611,2.39357152354734,1.86491681442611,2.34956934344648,1.04552677080472,1.64495478985937,2.09692240889243,2.16391502284394,1.46965317465335,2.25826855580627,1.39534049810874,2.10996073561769,0.913610457649452,0,1.492583455458,1.73140959995176,0,1.6786742204943,0
Rps19,2.58931792038416,0,0,1.52881743390406,0,2.03674376418224,2.16639244715404,2.18741444763657,2.44422356224516,2.50508448728642,0,2.22608431960649,0,1.48049622333432,1.6687619583859,1.11077040878114,1.90143799427641,1.44667371108795,1.07529360453338,2.73982762985928,2.57360964879742,2.65465715391884,1.68422631146532,2.5453654133903,2.76282729246853,2.84195239976139,2.40838941531433,2.76735098319424,1.92002522470916,2.71102155665208,1.60551763454886,1.81064566117074,2.2842036471316,2.46205004849401,1.20318897203473,2.60459669913854,1.10182553650777
Rps2,2.65649450538863,0,0,1.32403155329589,0,1.75094357425075,1.91330562305845,2.18362106116569,2.92832728755009,2.46771848093104,0,1.84636391428432,0,1.097475179676,1.46183771041957,0.963848043045194,1.53426970964996,1.37245228319119,0.729801464925562,2.76192472566619,2.33091737705044,2.97292220052898,1.21269504491662,1.80346290469455,2.50676646740076,2.45432075864573,1.73557446281836,2.43366457686185,1.75735421064201,2.38862574288109,1.50293280347238,1.81064566117074,1.70058266346626,1.99656296519316,0,2.01264015670436,0
Rps20,1.80271833518672,0,0,1.08301447851807,0,1.49332298726413,1.6687619583859,1.60664581199131,1.87835491014606,1.98061396654374,0,1.74186480749288,0,1.24947909522414,0.667453294076458,1.15884117638305,1.34419529584505,1.39312531473506,1.00175309491419,2.48139633534891,2.04319989844214,2.25430969363277,1.35035584432242,1.99953944338514,2.34550597379412,2.43761119087616,1.79312332040304,2.30641120136115,2.33625087275907,2.31218953314822,1.6812007783623,1.70058266346626,1.82579641856786,2.37876885236694,1.04312398199921,2.12991899243804,0
Rps21,1.44022765401591,0,0,0.608455360527412,0,1.362888003932,1.28746974646906,1.30435729109979,1.712948479782,1.56063373464383,0,1.47359530326567,0,0,0,0.708428453186098,0.438073207470003,0,0.809566759091486,2.3344697638885,2.08755076781693,2.30970247802754,1.13260852922615,1.96779379211221,2.18106049593769,2.18950366056377,1.85100579591736,2.14831368533581,1.72667652628008,2.16639244715404,1.59248161847065,1.56631577444183,1.87090119100754,2.04710173730456,0.750779957409587,1.80437295196232,0
Rps23,2.01997855559405,0,0,0.947179068260268,0,1.71876743595989,1.67535079009081,1.77347036154736,2.10222288210078,1.94861554322531,0,1.59393945088559,0,0.964163516626526,1.43655511452099,0.822619778471941,1.35191927511324,1.34418192559918,0.773662853532132,2.39649249441999,2.09080500314113,2.41146766849599,1.2175126687742,1.94571281275047,2.29567007258379,2.27747341007785,1.79892152212496,2.14481802412992,1.62729361356887,2.34605310921907,1.19375503130507,1.27636721024492,1.87292716034466,2.1149772587278,0.301381391607559,1.85069582423725,0
Rps24,2.06945392913332,0,0,1.18487569170749,0,1.84283591745641,1.78291854463093,1.81228826845288,1.98598471220317,2.30987401785323,0,1.81016109918668,0,1.51409591137067,1.55219482188851,1.1028499854564,1.49583032210137,1.54109702407664,1.05833536532994,2.54608489229259,2.37489455860296,2.38671736618868,1.5373221102048,2.46162409103559,2.47527264803639,2.68443426197447,2.27412609427641,2.64057674720936,1.82654893442997,2.43695214916396,1.66385968825016,1.73736636727744,2.2542869723839,2.58067303574629,1.06148825013884,2.34917271521874,1.09019627786419
Rps25,1.84403712894674,0,0,1.01856861544205,0,1.13982458700324,1.48175853978139,1.58656563090251,1.73916709152074,1.79312332040304,0,1.43893167499766,0,0.787827037960131,1.12028973735866,0,1.18323526303407,0.749862727072657,0.811701595391086,2.1942857312478,2.00759810558816,2.14120836221993,1.19727911120288,1.71222137702531,2.16391502284394,2.02432826285784,1.65253838680807,1.98910867633993,1.57492444360368,2.18759773939906,1.33002139010287,0,1.65736866504578,1.71048681069012,0,1.68325150321081,0
Rps26,2.56574541396795,0,0,1.29027779660264,0,1.74911595078123,2.28083257031865,2.2641559469344,2.87309635971191,2.62738884744048,0,2.36828194216756,0,1.53972198539586,1.69038911394819,1.37875698808094,1.76382311706093,1.75919688109656,1.17401897107784,3.11336349650735,2.7448573009001,3.14335508231379,1.60213503141674,2.59377144166971,2.98934506872589,3.00005266604358,2.40264746398163,2.93137791298459,2.22529052228362,2.78858711991217,1.75025721416455,1.77597813368912,2.47282583347826,2.72812161989204,1.28841082648027,2.62200617003669,1.17671356496444
Rps27,2.09109367385196,0,0,1.2279739120628,0,2.8517101739533,1.80711036302054,1.75094357425075,2.23357565378445,2.15505138928942,0,2.41336084343265,0.984972626525905,2.11058264978108,1.97459730154865,1.20685415703759,1.81064807482428,2.35606260267012,1.45451622727542,2.81541075003435,2.62858087355262,2.75382142292859,1.75919688109656,2.94260542368413,2.7953665507336,3.07028406008813,2.7351985548681,2.90699024531244,2.17286523577351,2.73699970207073,2.01510573038756,1.7074547726545,2.8556378473173,2.55204880012246,1.62963433985888,2.82212368400905,1.36236106683845
Rps28,1.08975910473184,0,0,0,0,0,0,0.779200419645244,0.947076604718541,0.882454984697821,0,0,0,0,0,0,0,0,0.59755907476367,2.11198352945089,1.91107767834995,2.01221457246185,1.13118627806138,1.83902533429586,2.15262890605513,2.17762466427615,1.81261646663406,2.10918394677562,1.4179173062568,2.14191518886088,1.17096860703217,0,1.80587947799089,1.91178981233744,0,1.7722201963069,0
Rps29,2.61948370991209,0.780186687242311,0,1.58803409059498,0,2.23514403426279,2.15505138928942,2.13685770111099,2.44333917116685,2.25483247003419,0,2.25757755416178,0,1.5691738420973,1.80281051762243,1.50694010154728,1.67370540197294,1.71613246690027,1.723145803899,3.26555249877092,3.30640836262524,3.24088786646514,2.33294571049514,2.98834713001634,3.32609268001117,3.2751656985744,3.07943996263619,3.25500925475312,2.44754608537609,3.32788257708812,2.59571108046216,1.71091408945634,3.19045657445498,3.20973144814129,1.48492724095961,2.90935893903951,1.60739987469379
Rps3,2.24865131637469,0.796602528426078,0,1.28281848479401,0,1.82856157958704,1.81855804391346,2.02521766790584,2.29895130893193,2.33625087275907,0,1.80769909782336,0,1.35763606248237,1.47297109501706,0.863834820561746,1.66386499415512,1.61651458698625,1.11097711612429,2.54388527850355,2.25069458522235,2.4505465691184,1.46153105358118,2.19486156318364,2.43629398117151,2.54419926724254,1.84811430925872,2.4450529876142,1.72490914805924,2.37443088647911,1.59839760603879,1.66630638284041,1.98206425942266,2.0909687546563,0.976545321276291,2.1689762822174,1.11647599621966
Rps3a1,2.50356142528819,0,0,1.35035584432242,0,1.85412115874272,2.05539580654084,2.3180028894965,2.62184772332611,2.59571079326794,0,2.36428590654037,0,1.63980860494781,1.62265466621279,1.50494799375164,1.80283189228124,1.79892152212496,0.93388816969031,2.52107164831984,2.36336838116287,2.52358161753396,1.34623316679624,2.23967676818356,2.51375730872088,2.66190698607202,1.75919688109656,2.57965930189811,1.73200301761529,2.42134657753728,1.44428569968273,1.77975626917351,1.97820223805478,2.3606227067016,0.779250935406261,2.26128099181316,0.825382010440276
Rps4x,1.77677514869572,0,0,0.836730180453049,0,1.21552866258882,1.48429020238685,1.50097939678095,1.86428823512593,1.83461963141752,0,1.45816811583676,0,0,1.02836104214438,0,1.13054388614108,1.3452067083885,0.594329157908011,2.12848991133788,1.72094727358715,2.0500422892476,0.947179068260268,1.69506422205685,1.95938456164397,2.11128281717427,1.51674951676348,2.04971242415287,1.43419646826151,1.88602933187085,1.05571678803367,0,1.57040223321228,1.9420623656652,0,1.67369998130654,0
Rps5,2.07087556281893,0,0,0.99791220154462,0,1.56774480826956,1.83057422474411,1.82134625428476,2.20154804909293,2.26085385488961,0,1.70831862661915,0,1.06267806350324,1.40427764506274,0,1.48117646931959,1.35346566237033,0.787156464448117,2.51357955209652,2.09449005136957,2.45934225442725,1.0826904595103,1.99953944338514,2.31442766202795,2.32256648051129,1.7816521198429,2.29952292701753,1.58803409059498,2.16837921710904,1.46398829141944,1.55851494540317,1.69972797676755,2.04710173730456,0,1.87582701026314,0
Rps6,1.4290462072265,0,0,0,0,0.784998225845063,0.960110606775443,1.12641863998395,1.34264809176613,1.37782836660361,0,1.07401797125867,0,0,0,0,0,0,0,1.04372332868526,0.666259523126533,1.07430127203106,0,0.174886877834269,1.15812139360748,1.21979825718703,0,1.18097404799461,0,1.2154430202092,0,0,0,0.691224407573425,0,0.838824487652924,0
Rps7,2.02156515668032,0,0,1.11647599621966,0,1.71357840299644,1.69377183074314,1.81039968800367,2.11308736367219,2.09945349417693,0,1.625280609773,0,1.16412384450021,1.31419654743662,0,1.36560996628484,1.1967457185463,1.01515865708713,2.56161619056526,2.08937167941839,2.43545399424438,1.40954820810067,2.19716816300007,2.38455803078552,2.58174713038894,1.93706302220075,2.53078634204004,2.18039092830211,2.43091141044283,1.21445393187947,1.39202055982568,1.96466245135433,2.09671913746929,1.15924810547039,2.10049161377801,0
Rps8,2.25312086634467,0,0,1.14073950256657,0,1.47487941403053,1.72667652628008,2.01972591899453,2.3633691486376,2.24398210188245,0,1.7400625161142,0,1.20561144532664,1.12203231312915,0.848320189166321,1.45945938943618,1.49709095233638,0.871578880893864,2.45758133228817,2.10333303451916,2.40254642796027,1.12835300393212,1.82554635781401,2.18646994775714,2.2379602461426,1.77034457928166,2.26912717266918,1.73378668479939,2.15431661665499,1.46384716278549,1.76475098349585,1.68618177998513,2.16099398092321,0.728628869356115,1.79136133280818,0
Rpsa,2.43529408271037,1.02142885870124,0,1.62884644328951,0,2.0056453377564,2.13469838844812,2.2850482868134,2.62969471271441,2.55567166749455,0,2.10941694319432,0,1.4779785852742,1.60188527130155,1.12124016370739,1.7897617182161,1.63118183321316,1.01572533207102,2.57823821871833,2.40838941531433,2.63636264716964,1.57384268537188,2.15408244960317,2.44783735477644,2.51452530085223,1.85932402014691,2.48566202648788,1.86246527344285,2.34633123140818,1.53152904359842,2.35879626764492,1.9125623157311,2.34630556171451,1.16601320914146,2.14082908081798,1.20439445591518
Rsad2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rsph1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rtp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100a10,0,0,0,0,0,0,1.02719882126217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100a11,1.1172722583478,1.17671356496444,1.50915140123904,1.4110619288448,1.50131604403038,1.28614988239866,0.825864849584015,1.2547599086769,0,0,1.95269658937828,0,2.54388527850355,1.16866889281423,0,0.918046867752678,0,0,1.53493039586834,0,1.6084070261403,0,1.65898571648604,0.638166690371579,0.815195959431607,0,0.667692570929989,0,0,1.5369799381333,0,0,0,1.09316589612678,2.30944293122958,0,1.40427861613725
S100a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53629609310835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100a6,0.406557815831424,0,1.19479053526793,0,1.35398567344919,1.35868297408541,1.67204917252227,0,0,0,2.24290391688162,0,3.00950620746756,1.2229288496722,2.36153678404663,1.1028499854564,0,1.62111482729679,0,0,0,0,0,0,0,0,0.667692570929989,0,0,0,0,0,0,0,2.20567323621,0,0
Samhd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sdc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716694317922753,0,0,0,0,0,0
Sdc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selenop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44854458733905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2592594124268,0,0,0,0,0,0
Serbp1,1.44925997936185,0,0,0,0,0,0,1.08806865700369,1.28934685802746,1.1656347158372,0,0.68209084280341,0,0,0,0,0,0,0,1.4983842554953,1.23676685646054,1.44670627708853,0.478559470436184,0.875108147893013,1.21640874014789,1.12535919757071,0,1.19117525933775,0,1.12553459799158,0,0,0,0.668235002979796,0,0.642201253937588,0
Serpinb1a,1.44937877564843,1.43478560603293,0,1.8891194151087,1.33402612013583,0,0,1.65314070933299,0,0,0.99247923534671,0,0,0,0,0,0,0,1.33402530586247,0,1.39867753502479,0,1.66385791962576,0,0.482183131059249,0,0,0,0,1.2293831563856,0,0,0,0,1.22126234281781,0,1.33503356953644
Sh3bp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shisa5,0,0,0,0,0,1.13368724255381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siglech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79119992242521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirpb1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirpb1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skap1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slamf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slamf7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc11a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc15a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc16a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc25a5,1.97178463154447,0,0,1.09283036082904,0,0.937035661873555,1.78545747664793,1.77128127349273,1.91689037037373,1.86351503733205,0,1.65254011224634,0,0,1.55219482188851,0.376454212223093,1.21173650439235,1.15737566750242,0.835592572651069,2.29866537165831,1.98545781709638,2.14494599595576,1.13689792619938,1.56465481779763,2.25170040662763,1.9028147136086,1.79312332040304,2.02394724766351,1.54523830221152,2.01301376771625,1.5274714197451,1.56134187011346,1.5065228478498,1.53906255930284,0.714142003773709,1.64900295182149,0
Slc2a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc2a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc4a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slfn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slfn2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slfn4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slfn5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slpi,0.425768192647275,0,0,0,0,0,1.09814210458381,0,0,0,1.5281418219579,0,1.95914896631387,0.988174734520971,0,0.925577384364277,0,0,0.623488273076034,0,0,0,0,0,0.787827184436772,0,0,0,0,0,0,0,0,0,1.17444141834429,0,0
Snn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Srgn,2.70890157704093,0,0,0.984972626525905,0,1.07431777970685,0.866243730045253,2.95672589346858,0,1.59839760603879,0,1.0522013239863,1.71264961375029,1.15218376157665,0,0,2.67679266559355,0.876564092914692,0.517189067472906,0.960110606775443,2.89143254847944,0.616001119555385,0.899965833460518,2.88257273882608,1.63248265418239,1.69926012167487,1.40766097427435,1.68478450234129,1.79312332040304,2.93822220040588,1.00400012090034,1.72667652628008,1.32403155329589,2.47986895732895,0.970579744969729,1.31224901343221,0
St3gal5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stfa2l1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stk17b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tgfbi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thbs1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thy1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tlr13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmcc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmem71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tmsb10,0.472504201566736,0,0,0,0,2.26360423451141,2.32561321876161,0,0,1.14158348950753,0,1.70918248058381,0,1.35450568452806,2.25920784572693,0,1.28944478039962,1.3452067083885,0,0,0,0,0,1.07823792839811,1.23611408669055,1.17248511359532,1.84072582589553,0.788498783285992,0,0,0,0,1.64217889784934,0,0,1.27363360563473,0
Tnfaip3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tnfrsf13c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tpd52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tpm4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
