,Liver_15,Liver_16,unassigned,Liver_6,Liver_1,Liver_2,Liver_19,Liver_9,Liver_7,Liver_3,Liver_5,Liver_14,Liver_10,Liver_4,Liver_13,Liver_17,Liver_12,Liver_8,Liver_20,Liver_11,Liver_18
Fos,0.577569042977565,0.789081064202703,1.66566211950033,1.83899004074609,2.41775664487086,1.3078704144031,1.29430279195454,0.761509873890762,1.26940166425466,1.11967751365167,1.21630859372654,1.40708386690419,1.29079237712928,1.79940742070261,1.19327602452557,0,1.3629564366525,0,1.21360366713158,1.31294531119643,1.71597966145604
Fosb,0,0,0,0,1.03869459988215,0.683167206323458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ftl1,1.18971030482171,1.29627596151216,1.72008247384298,2.01116356347793,1.36059514171698,2.4038485533468,1.76694229419133,1.81479257824929,2.08097558130838,1.39863945642301,1.13572771435146,1.25473272518021,1.1873579787457,1.46342740246249,1.30069215935251,1.25357137274908,1.27211800813866,2.36144257067209,1.13280104725226,1.35824163845444,1.31884123695952
Fxyd5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadd45b,0,0,0,0.916965131357761,0.517783891265591,0.353984262919238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadd45g,0,0,0,0,0.625670714819646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gapdh,0,0.157914503360783,0,0,0,0,0.522192142382414,0.554785955909175,0,0,0.642309260002882,0,0,0,0,0.781727721161532,0,1.20588415767722,0.948707381669831,0,0
Gas5,0,0.317869355681663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gatm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gc,0,2.60442135200247,0,0,0,0,0,1.1219816866285,0,0,0,0,0,0,0,0,0,0,0,0,0
Gdf15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gimap4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gimap6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2a,0,0,0,0,0,0,0,0,0,1.02424831210597,0,0,0,0,0,0,0,0,0,0,0
Gnai2,0,0,0,0,0.537379354804427,0.824887463111816,0,0,0,0.783438335761584,0.713755764564529,0,0.218274380713794,0,0.235086497370652,0,0,0,0.926721469204569,0,0.552767677145669
Gng11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gngt2,0,0,0,0,0,0.773884139323537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gnmt,0,1.08548876276571,0,0,0,0,0,1.43993524760291,0,0,0,0,0,0,0,0,0,1.66770022926644,0,0,0
Gpihbp1,0,0,0,0,1.24485098649919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555821565748642
Gpr182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpx1,0.82282456984057,2.39957584425971,1.58585344288954,1.34661799414855,1.2762157997508,2.49134557531751,1.3613809388469,2.92430929388718,1.76323622382124,1.35265796059586,1.04360281288109,1.24227103246761,1.20285529341163,1.74406156917759,1.34969233775231,1.32215282133874,1.29713404328079,3.21781237216562,0.948707381669831,1.27211800813866,1.58465578013038
Grn,0,0,0,0,0,1.1861781294395,0,0,0,0,0,0,0,0,1.26775242783786,0,0,0,0,0,0
Gsta3,0,1.56227789634812,0,0,0,0,0,2.09028200460867,0,0,0,0,0,0,0,0,0,1.65958078185018,0,0,0
Gstm1,0,1.01395027952496,0,0,0,0,0,1.74949224957772,0,0,0,0,0,0,0,0.782321055725345,0,2.27429561220258,0,1.16884400510086,0
Gzma,0,0,0,0,0,0,0,0,0,0,0,0,2.12620300851246,0,0,0,0,0,0,0,0
Gzmb,0,0,0,0,0,0,0,0,0,0,0,0,1.43581128369396,0,0,0,0,0,0,0,0
H2-Aa,0.610872670111965,0,1.43816189949479,1.29679192171575,1.07986082632542,1.59578333650745,0,0.512380163671347,2.15480952579083,3.36616074717762,0.988494731125585,1.08909613445613,1.21080584475361,1.72711031952458,1.79362860959077,0,2.14823959194723,0,0.481382860749824,0,1.4383128647693
H2-Ab1,1.21569011331464,0.716624034953843,1.98876275398503,1.87896069682918,1.34737528570446,1.98104987354226,0,1.01063396528771,2.47601142620193,3.70123853353658,1.23902679345542,1.43024049524379,1.46529162473673,2.18952555020499,1.90794634619876,0,2.43333433153294,0,1.44934184416339,0,1.95761972167947
H2-DMa,0,0,0,0,0,0,0,0,0,0.79837414188206,0,0,0,0,0,0,0,0,0,0,0
H2-Eb1,0.858649233778619,0.567089941736071,1.68671394579504,1.38383333631395,1.19923901197727,1.65115001425243,0,0.733142492212913,2.2480099055863,3.63598842493178,1.15535629343156,1.13590715811516,1.24941690572182,1.976694590755,1.6599900114189,0,2.18838499586959,0,0.829855904625613,0,1.2805191349776
H2-Q6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Q7,0,0,0,0,0,0,0,0,0,0,0.964285457694127,0,1.10351889733121,0,0.59070072101243,0,0,0,0,0,0
H2afz,0,0,0,0,0,0,0,0,0,0.651427833558743,0,0,0,0,0,0,0,0,0.793811652330534,0,0
Hba-a1,0.879835867030238,0.446450046185065,1.33518239320065,1.33747303685992,1.26669763004595,0.701270108412957,0,0.94466540750819,1.01315775286776,0.815784835479867,1.20164645256544,6.27603454363514,1.23348334044186,2.08300308327538,0.918726047870884,0.222442570998037,1.29289210177409,0,0.948707381669831,0.85122975388298,1.20189742231083
Hba-a2,0.500726748045969,0,1.12986912385326,0.974683212813234,1.06187418608299,0,0,0.373176076796212,0.435641887953552,0.570263006356582,0.937668907001024,5.98615808786788,1.06080236177742,1.69555535628085,0.848299178613196,0.5594294925741,1.07221003236957,0,0.871795021645072,0,1.2209730077282
Hbb-bt,0,0,0,0,0,0,0,0,0,0,0,4.95309132691363,0,0.90646069543135,0,0,0,0,0,0,0
Hbegf,0,0,0,0,0,0,1.68420661609618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hes1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55057478724711,0
Hexa,0,0,0,0,0,0.487697089758471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hilpda,0,0,0,0,0,0.778752096247165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hint1,0,0.731043443089715,0,0,0,0,0.718295921844267,0.835645185340798,0,0,0,0,0,0,0,0,0,1.29008053180164,0,0.984504966104452,0
Hmgcs2,0,1.05321456094736,0,0,0,0,0,1.37409553395114,0,0,0,0,0,0,0,0,0,1.0915537433903,0,0,0
Hmox1,0,0.364680195540272,1.05448552778497,1.13040850502274,0.864083130691525,1.42414325262793,0,0,1.28172344494217,0,0,0,0,1.25467946389325,0,0,0,0,0,0,0
