,unassigned,Fetal_Kidney_1,Fetal_Kidney_7,Kidney_1,Kidney_8,Kidney_6,Kidney_20,Kidney_4,Kidney_3,Kidney_10,Kidney_2,Kidney_11,Kidney_7,Kidney_23,Kidney_17,Kidney_9,Kidney_5,Kidney_26,Kidney_21,Kidney_18,Kidney_14,Kidney_12,Kidney_16,Kidney_22,Kidney_13,Kidney_24,Kidney_19,Kidney_28,Kidney_25,Fetal_Kidney_2,Kidney_15,Fetal_Kidney_5,Kidney_27,Kidney_29,Fetal_Kidney_3
Ly6e,0,1.49330020207664,0,0,0,0,1.54757388604968,0,0,1.03686492268325,0,0,0,0.878913255906626,0,0,0.73293030635625,1.31956644934408,0.497271493520654,0,0,1.5927453787537,1.74097959461738,0,1.48243115202438,1.65681523349782,0.930275356385844,1.05590205364582,0,0,2.67546361669861,0,0.842634029658898,0,0
Lyz2,0,0,0,0,0,0,3.83147327938718,0,0,1.17502441385512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04455761725019,0,0,0,0.347578326191202,0,0,0,0,0.764482633670386
Maff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30577580089057,0,0,0,0,0,0,0,0,0,1.2422943621466,0.792580842630944,0,0,1.58989216314936,0,0
Mal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,1.07486147434639,0,0,0
Malat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784446055912567,0,0,0,0,0,0,0,0,0,1.549876977844,0,0,0,0,0
Marcksl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mcl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mep1a,0,0,0,0,0.786677350628483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mfsd4b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mgp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35672574926352,0,0,0,0,0,0,0
Mgst1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21613273143051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02705124990406,0,0,0.708349673845115
Mif,0.741258556932595,1.58516168526189,0,1.47977889920236,0,1.24902251950769,0,0.747415990015637,0.597588127497105,0,0,1.01232536025062,1.4016145763474,0.393338166866317,0,0,1.27360701780116,0,0,0.295749403994265,0,0,0,0,1.01439590018192,0,0.702821593506019,0,0,0.792580842630944,0,0.782391548273937,0,0,1.8355825687653
Miox,1.63998265872449,2.68839692380926,3.39301438992064,3.87822131875156,1.01377814292142,2.82898199171243,0,3.22687644998929,0,0,0,3.31262264962528,0,0,0,0,0,1.49495745141177,0,0,0.827054910087218,1.52548865458844,0,0,0.285514922210036,0,1.49681987762278,1.01450616300202,0.697170929969329,1.90369110213036,0.817614847348692,0,0,1.32210736221149,0.708349673845115
Mpc1,0,0,1.36970598548404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792580842630944,0,0,0,0,0
Mpv17l,0,0,0,0,1.55560273789583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764482633670386
Mrps6,0,0,1.36970598548404,0,0,0,0,0,0.998032230612858,0,1.47264893407545,0,0,0,0.658717942390568,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08565893073872,0,0,1.28685715703844,0,0,0.764482633670386
Msra,0,0.875812240080924,0,0.940285744340226,0.813900471751727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
mt-Nd3,1.65021662512544,2.80761101141641,1.36970598548404,0,0.598821283397732,1.80253244466117,0,0.906288009440045,2.12665370978676,0.731099620003895,2.45383725735808,1.58705016008796,2.07875842035083,0.386582023670984,1.37985716963666,1.7876125378061,1.74779599235707,0,0,0,1.27909616700042,1.29107786867277,0,0,0.927073648699226,0.855545161558545,1.07479693284052,0,1.45939675130547,2.4315015934935,0,1.28685715703844,0,0.989655926776904,0.764482633670386
mt-Nd5,2.7197304427615,1.58516168526189,0,1.16132336307494,1.54571852451507,3.39707521734261,1.55101690205304,2.23775232883258,2.92743870635998,1.61894100169991,3.23187495065618,3.03827330899487,3.27265247026329,1.29593782803077,2.25236030007485,2.59309965801918,3.67871750085088,1.10532940858543,1.22148641889767,1.42330770219147,2.17800179632916,2.2071964427204,1.54661140806698,1.1348959631222,1.80986179063821,0.870144718252327,1.82049829702638,1.32593841018543,3.0950300313188,3.33298785265343,1.55379532566088,2.903003053608,1.50330411790123,1.06832778822024,2.8581570050851
mt-Rnr1,1.45625464500329,1.49330020207664,0,0,1.05313789645164,2.02859101905178,1.10860768618895,1.31013023708422,1.63390932759442,1.1348959631222,1.67376901050612,1.80127840856292,1.67323733779847,0.878913255906626,1.04843432241471,1.57672426403456,2.03844754463143,0,0,0.956007344405236,1.83977744483788,1.45468908233718,0,0,1.42276967111262,0.799387920197941,1.28461564862074,0.90918070232029,1.48099699836022,0.581143841094196,1.15173537311336,1.07486147434639,0.748582169754848,1.30330139293421,2.76572866132452
mt-Rnr2,2.60905903530015,2.80761101141641,0,1.38464225671759,1.90305683505607,3.15740945972466,2.22499605781184,2.38407981975895,2.99634906653766,2.25446578984038,2.7665754830064,2.95122738847587,3.22511739678095,2.03512820758917,2.06289129010093,2.8567154290846,3.35452707654394,1.7179425930565,2.09067083723993,1.56825012009079,3.22371206575649,2.24607192772898,2.34275373151823,1.73174794565599,2.92042856277318,1.41611104624545,2.21782171784353,1.5927453787537,2.74405433340601,3.52650211773533,2.16412644766685,2.7076570800771,1.8969288478971,2.40825657879836,4.52371540651717
mt-Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708349673845115
mt-Tm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mt-Tp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mt1,1.06187658414952,0.875812240080924,1.36970598548404,0,0,0,0,0.698858607284949,1.97204611269861,1.16228768218839,2.26755775953822,0,0.922736653552139,0.386582023670984,0,1.55560273789583,0.618088096189029,0,2.93558422107773,0.546870274918867,2.69106963223489,0,0,0.908600638941393,1.59977208922792,0.816742107752233,0,1.68826204616796,3.23040254906304,1.16108355651821,0,1.07486147434639,0,0.989655926776904,1.8355825687653
Mt2,0,0,0,0,0,0,0,0,0,0,0.807030910256579,0,0,0,0,0,0,0,2.24398510991242,0,0.789706154248731,0,0,0,0,0,0,1.39921389810633,1.31703595187483,0,0,1.6598967716114,0,0,0
Myl12a,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740496159643935,0.971554600275167,0,0,0,0,1.40955422697751,0,0,0,0,0,0,0,0,0.71301838815983,0.347578326191202,0,0,1.24006869963561,0,0
Napsa,0,0,0,0,3.70857417856551,0,0,0,0,0,0,1.19829570246213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Nat8f1,0,0,1.36970598548404,0,0,0,0,0.886008399375662,0,0,0,1.26734878085905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Ndrg1,0,1.49330020207664,1.36970598548404,1.44383136439997,0,1.49330020207664,0,1.31703595187483,0,0,0,1.12395416006653,0,0,0,0,0,0,0,0,0.969340120099958,0,0,0,1.47765113216519,0,0,0,0,0,0,0,0,0,0
Ndrg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neat1,0,0,0,0,0,0,0,0,0,0,0.728950460312745,0,0,0,0.708117989940533,0,0,0,0,1.46955001514964,0,0,0,0,0,0,0,0,1.1860339934978,1.50866188270941,0,1.02705124990406,0,0,0.764482633670386
Nfkbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18704567495971,0,0,0,0.720860425627958,0,0,1.37383928756667,0,1.97410199579574,1.30330139293421,0.764482633670386
Npc2,0,0,1.36970598548404,0,0,0,1.28084016813626,0,0,0,0,0,0,0.69116347604168,0,0,0,0,0,0,0,0,0,1.1348959631222,0,0.992321644942693,0,1.07815976523976,0,0,0,0,0,0,0
Nr4a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nudt19,0,0,0,0,1.23399151000843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Nudt4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889878018412354,0,0,0,0,0.773961833464669,0,0,0,0,0,0,0,0,0.347578326191202,0,0.782391548273937,0,0,0
Nupr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52736305537227,0,0,0,0,0,0,0,0.862978284932561,0,0,0,0,0,0,0.708349673845115
Ogn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50162667600741,0,0,0,0,0,0,0,0,1.61401851992076,0,0,0,0,0,0,0
Osgin1,0,0,0,0,0,0,0,1.22041169175836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Oxct1,0.829930754509645,0.875812240080924,0,0.905766202059629,1.50078948237176,1.15842699515447,0,0.527720846291567,1.36151896693715,0,1.20296536842739,0,0.876215440946826,0,0.929368805661082,0.895466930997297,0,0.592222874063664,0,0,0.732214324573494,0,0,0,0,0,0,0,0.900559265240162,1.0169847692034,0,1.28685715703844,0,0,1.05876114880559
Pah,0,0,2.05947916407687,0.865859015133781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Paqr5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Park7,0,0,2.52419833072507,1.11567025466858,0.786246606616759,0.685585832838234,0,0,0,0,0,0.551737369377119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50866188270941,0,0,0,0,0
Pcbd1,0,0,1.36970598548404,1.19417973773897,0.859862409551727,0.946704494907422,0,0,0.747028088404868,0,0,0.710909770120042,0,0,0.389670996703522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757296135213056,0,0.782391548273937,0,0,0.708349673845115
Pck1,0,0,0,1.56961443758521,0.880540180312513,0,0,1.5519925053854,0,0,0,1.41965955080691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757296135213056,0,1.02705124990406,0,0,0
Pcolce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26502678373694,0,0,0,0,0,0,0
Pdzk1,0,0.701576287497586,1.36970598548404,1.24658403082202,1.31284141761261,0.706211578410414,0,0.957883725861668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Pdzk1ip1,0,0,0,0,0,1.65331444350454,0,0.980066264444548,0,0,0,1.38781279738624,0.893222696002195,0,0,0,0,0,0,0,1.23509175164336,0,0.990348368794967,0,1.57307841446437,0,0,0,0,0.757296135213056,0,0,0,0,0
Pecr,0,0.701576287497586,1.36970598548404,0.77334678290261,1.32914913768861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792580842630944,0,0,0,0,0
Pfkfb3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664162665270573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pgam2,0,0,0,0,0,0,0,0,1.15554915707406,0,0,0,0,0,0,1.36423627684768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05876114880559
Pgrmc1,0,0,0,0,0,0,0,0,0,0,0,0,1.43466331315539,0,0,0,1.13489910640903,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Phlda1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771469063418417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708349673845115
Pi16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806574652703444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pim1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4728323075155
Pim3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02258683402354,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Pkm,0,0,0,0,0,0,0,0,0.762265750595954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846000455248771,0,0,0,0,0,0,0.782391548273937,0,0,1.4728323075155
Plac8,0,0.2735281017448,0,0,0,0,1.58928267763061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plet1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870870683279616,0,0,0,0,0,1.38225108353819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plk2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plpp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18200540398261,0,0,0,0,0,0,0,0,0,0,0,0,0
Plpp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675647385527569,0,0,0,0,0,0,0,0,0,0,0.792580842630944,0,0,0,0,0
Plvap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5628786879178,0,0,0,0,0,0,0,0,0,0,0,0,0
Pnrc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppia,0,0,2.52419833072507,0.926045422828113,0.526004547374927,0,0,0,0.387914508775126,0,0.824435215214858,0,0,0.956269968813764,0.754469333286882,0,0,0,0,0,0,0,0.659619080635372,0.857797994663942,0.762347648912558,1.06756563857339,0.982020611896467,0,0,0.347578326191202,0,0,0,0,0.764482633670386
Ppp1r1a,0,0,0,0,0,0,0,0,1.88019122571493,0,1.94079972170222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09754394647622,0.347578326191202,0,1.68393875910077,0,0,0.764482633670386
Prdx1,1.29715892070548,2.25025950505429,1.36970598548404,2.18443248758557,1.80169620210346,1.48999766229223,1.30905046501817,1.84241041898236,1.17767355834966,0.915023698777117,0.861417768703568,1.47051088291115,1.2535511188571,1.13952143083908,1.22743344540578,1.16780363963158,1.37765412566132,0.987584622960104,1.13397560141595,1.21355718729766,0.912092533250475,1.2767281789747,1.18502413080596,0.968016451149955,1.14348441839775,0,1.0050360771424,1.01450616300202,1.16277217513194,2.00011152824834,0,1.62091927957614,0.748582169754848,1.30330139293421,0.708349673845115
Prss23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782391548273937,0,0,0,0,0,0,0
Psap,0,0.503369562345662,0,0,0,0,1.75673352782149,0,0,1.30577580089057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31651240178347,0,0.98552230512261,0,0,0,0,0,0,0.708349673845115
Psca,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3070167696194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psmb8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799387920197941,0,0,0,0,0,0,0,0,0
Pter,0,0,0,0.94057288166031,0.931194724780871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Ptger3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0008157825892,0,0,0,0,0,0,0,0,0,0
Pvalb,0,0,0,0,0,0,0,0,1.39993317089547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qdpr,0,1.49330020207664,1.36970598548404,0.984837347013092,0,0.782391548273937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Rabac1,0,0,0,0,0,0,0,0,0,0,0.725578433794117,0,0.690502487268203,0,0,0.739735363194388,0,0,0,0.654743647955849,0,0,0,0,0,0,0,0.90918070232029,0,0.792580842630944,0,0,0,0,0
Rcan1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Rdh16f2,0,0,0,0,0.498632646185268,0,0,0.811596524558409,0,0,0,1.15078606350057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581143841094196,0,0,0,0,0
Rgcc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rgs1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rgs2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00106182411211,0,0,0,0,0,0,0,0,0
Rhbg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhcg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15363894694036,0,0,0,0.769816328562737,0,0,0,0.734403878518362,0,0,0,0,0,0,0,0,0,1.05876114880559
Rhob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rida,0,2.21121316834508,1.36970598548404,2.24858233047058,2.17696677753146,1.04843432241471,0,1.38078803237678,0,0,0,1.58421929812269,0,0,0,0,0,0.961453942041418,0,0,0,0,0.776471153328445,0,0,0,0,0,0,0.581143841094196,0,0,0,0,0.708349673845115
Rn7sk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rrad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40499047871762,0,0,0,0,0,0,0,0,0,0,0,1.75700789851204,0,0.708349673845115
S100a1,0.636835729831435,0.701576287497586,1.36970598548404,0.687096447539697,0,0,0,0,1.33627164693062,0,0.830412347862692,0,1.59020863208654,0,0.824673964990395,1.46255359094199,0.968678285624956,0,0,0,0.879454875064453,0,0,0,0.282517100841812,0,0,0,0,1.40380550570821,0,1.02705124990406,0,0,2.60614533989557
S100a10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771469063418417,1.56564118281865,0,0,0.990348368794967,0,0,0,0,1.24564879813313,1.16277217513194,0,0,0,2.13156174796354,0,0
S100a11,0,0,0,0,0,0,0,0,0,0,0,0,0.953059299062995,1.85302827097962,1.15746603996185,0,0,0,0.771469063418417,1.52340814150081,0,0,1.40789809331274,0,1.35780166378698,0,0,0,0,0.792580842630944,0,0,1.14418672152482,1.98445594407168,0
S100a6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35415306705199,0,0,0,0,2.09067083723993,0,0,0,0,0,0,0,0,1.61401851992076,0,0,0,0,0,0,0
S100a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7996026916443,0
S100a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71648307043978,0
S100g,0.263864576924972,1.49330020207664,0,0.33467004984061,0,0,0,0,0.39207305308966,0,0,0.835256865890319,1.03005016200987,0,0,5.4547429545588,0,0.936717296972486,0,0,3.57780381925742,1.05156515070766,0,0,1.04642658706521,0,0,0,0.697170929969329,1.40380550570821,0,0.782391548273937,0.842634029658898,0,2.07582516650247
Sat1,0,0,0,0,0.586243344259176,0,0.54409149037647,0.461547629046273,0,0,0,0,0,0.740496159643935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695491541034202,0.347578326191202,0,0,0,0,0
Scp2,0,1.41688397005606,0,1.3790438654774,0.960802761046315,0.743555405594304,0,0.738218552266292,0,0,0,0.93548420853018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Sdc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608620050064918,0,0,0,0,2.17472609039352,0.949870887214349,0,0,0,1.24793459826783,0,0,0,0.971332679980814,0,0,0,1.37108078153946,0,0
Sec62,0,0,0,0,0.382939667240691,0.961453942041418,0,1.03915745330668,0.788405173834211,0,1.24119740938458,0.893782665951741,1.11146531759435,0,0.929368805661082,0.839174750215873,0.991042323187944,0,0,1.09588038185083,0.976687969251846,0,1.17601636862128,0,1.19933811226721,0,0,0,1.05550624674113,0.757296135213056,0,1.68393875910077,1.33108357177483,0,0
Selenbp1,0,0,0,0.692195703823874,0,0,0,0.598450794938208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Selenop,0,1.49330020207664,0,0,0.89294298241191,0.873000504827269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,1.02705124990406,0,0,0
Serinc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664162665270573,0,0,0,1.1106436606896,0,0,0,0,0,0,0,0,0,0
Serpina1f,0,0,0,0,1.04558143763579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpinb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Serping1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5519925053854,0,0,0,0,0,0,0,0,2.43059389867792,0,0,0,0,0,0,0
Serpinh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724665628860571,0,0,0,0,0,0,0,0,1.39921389810633,0,0,0,0.782391548273937,0,0,0
Sertad1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sfn,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47856273314789,0,0,0,0,0,1.02376876146825,0,0,0,0,0.973427132763579,0,0,0,0,0,0,0,1.33108357177483,0,0.708349673845115
Sfrp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sfxn1,0,1.03125484359988,0,0.887113643889643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Sgk1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Sgms2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,1.00369882509967,0,0
Sh3bgrl3,0,0,0,0,0,0,0.960888431571299,0,0,0,0,0,0,0.69116347604168,0,0,0,0,0,0,1.01232536025062,0,0,1.33237654521205,1.57216542891576,1.24285449547906,0,0,0,0,0,0,0,0,0
Slc12a1,0,0,0,0,0,0,0,0,0,0,2.19031726314797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20160204726312,0,0,0
Slc12a3,0,0,0,0,0,0,0,0,2.42499002165218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99388222478,0,0,0,0,0,0.764482633670386
Slc13a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581143841094196,0,0,0,0,0
Slc13a3,0,0,0,0,0,0,0,0,0,0,0,0.716205355750743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898764032480346,0,0,0,0,0.708349673845115
Slc16a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc22a18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Slc22a8,0,0.2735281017448,0,0,0,0,0,0.744709294129126,0,0,0,1.09604343107464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc25a39,0,1.41688397005606,0,0.859632694571689,0.786892904037118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05876114880559
Slc26a4,0,0,0,0,0,0,0,0,0,0,0,0,1.43770531065609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc27a2,0,0,0,0,0.593676412355539,0,0,0.575099073089729,0,0,0,0.792758956846012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Slc2a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39964601108462,0,0,0,0,0.792580842630944,0,0,0,0,0
Slc34a1,0,0,0,0,0,2.71920493271877,0,1.98523754105686,0,0,0,2.43736063599179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69134487511129,0,0.782391548273937,0,0,0
Slc38a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc3a2,0,0.2735281017448,1.36970598548404,0,0,0.541265249310919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16108355651821,0,0,0,1.12125323446839,0.764482633670386
Slc4a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864287429965163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc4a11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32850566218885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
