,unassigned,Fetal_Kidney_1,Fetal_Kidney_7,Kidney_1,Kidney_8,Kidney_6,Kidney_20,Kidney_4,Kidney_3,Kidney_10,Kidney_2,Kidney_11,Kidney_7,Kidney_23,Kidney_17,Kidney_9,Kidney_5,Kidney_26,Kidney_21,Kidney_18,Kidney_14,Kidney_12,Kidney_16,Kidney_22,Kidney_13,Kidney_24,Kidney_19,Kidney_28,Kidney_25,Fetal_Kidney_2,Kidney_15,Fetal_Kidney_5,Kidney_27,Kidney_29,Fetal_Kidney_3
H2-K1,0,1.49330020207664,0,0,0,0,1.53509612029552,0,0,1.49828398681701,0,0,0,0.878913255906626,0,0,0,0.956269968813764,0.916201623229076,0.87283659267114,0.867169140172534,1.43466331315539,1.63795267753529,1.94925202299471,0.935177926580024,1.34331490190001,1.58832446690235,0,0,0.347578326191202,2.06033096285187,1.07486147434639,1.75700789851204,1.5927453787537,1.12723289492019
H2-Q6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-Q7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
H3f3b,0.776291363755577,0.875812240080924,0,0.41421172224454,0.613642504653119,0,1.90008792384709,1.52375681079144,0,2.00022408067482,0.954021156812911,0,0.511230403475941,1.72983843422797,1.5908419856324,0,0.942308521201352,1.5994468924047,1.51175294328977,3.0148452347147,1.66899889781061,1.51772899288226,1.43314752673045,2.33126252284443,1.50083061359778,1.41990688378211,1.59763295264472,1.2535511188571,2.12665370978676,1.80956561183434,1.92123158131472,1.62091927957614,2.07436085844193,2.433971498295,0.764482633670386
Hao2,0,1.41688397005606,0,1.56333605908905,1.84936277072724,0,0,1.14983839942156,0,0,0,1.49495745141177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.118531172935,0,0,0,0,0
Hbegf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61194539463526,0,0,0,0,1.41302805985556,0,0,0,1.45079107994378,1.16108355651821,0,0,2.78838490118826,0,0
Herpud1,0,0,0,0,0,0,0,0.707076829628071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hes1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91491015022594,1.28986894296236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hexb,0,0.2735281017448,0,0,0,0,0,0,0,0,0,0,1.62389671777192,0,0,0,0.932133787304873,0,0,0,0,0,0,0,0,0,0,0,0,0.792580842630944,0,0,0,0,0
Hilpda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hint1,1.05788574742159,1.41688397005606,1.36970598548404,1.54304886659372,1.51858692339288,1.36423627684768,0,1.20662018608013,0.827054910087218,0,0,1.30145214356399,0.842634029658898,0,1.24006869963561,0,0,0,0,0.517395030601148,0,1.2422943621466,1.17601636862128,0,0,0.695249428450119,0,0,0.695491541034202,0,0,0.782391548273937,0,0,0.764482633670386
Hint2,0,0,0,0.923335931967305,0.718167299647732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hist1h2bc,0,1.58516168526189,2.05947916407687,1.00548457691854,1.07733320896049,0,0,0.801616126148672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898764032480346,0,1.02705124990406,0,0,0
