,unassigned,Neonatal-Heart_1,Neonatal-Heart_2,Neonatal-Heart_4,Neonatal-Heart_15,Neonatal-Heart_17,Neonatal-Heart_3,Neonatal-Heart_8,Neonatal-Heart_6,Neonatal-Heart_13,Neonatal-Heart_11,Neonatal-Heart_18,Neonatal-Heart_14,Neonatal-Heart_5,Neonatal-Heart_12,Neonatal-Heart_9,Neonatal-Heart_16,Neonatal-Heart_7,Neonatal-Heart_10
Tpm2,0,0,0,0,0,0,0,0,1.34546576207943,0,0,0,0,0,0,0,0,1.3665834848251,0
Tpm4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tprgl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsc22d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tspan3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuba1a,0,0,0,0,0,0,0,0,0,0,0.58283450944084,0,0,0,0,0,0,0,0
Tuba1b,0,0,0,0,0,0,0,0,0,0,1.16637660352168,0,0,0,0,0,0,0,0
Tubb5,0,0,0,0,0,0,0,0,0,0,1.2845731003752,0.764070608248382,0,0,0,0,0,0,0
Txn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Txnip,0,0,0,0,0,0,0,0,0,0,0,0.477333651701938,0,0,0,0,0,0,0
Tyrobp,0,0,0,0,1.23034659785739,0,0,0,0,1.3665834848251,0,0,0,0,0,1.81965566525415,1.24807808758975,0,0
Ubc,0,0,0,0.638317818336492,0,0.180772107118994,0,0,0,0,0,0.813031661150883,0,0,0,0,0.998576349900967,0,0
Ube2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ube2d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ubl5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ucp2,0,0,0,0,0,0,0,0,0,1.14827434191496,0,0,0.53227334916802,0,0,1.2286001088963,0,0,0
Uqcr10,0.97018899997286,1.37465307205118,0,0,0.964947677685294,0.94185053981264,0.685076701385867,1.41986794018293,0.736096357800537,0.786145453831325,0.726726562032369,0,0.825080616769089,0.847520079956243,1.35902581412425,0.682907292570465,0.934069546377648,0.894937970824193,1.03923083049421
Uqcr11,0,1.27858190844083,0,0,0,0,0,0.974812629939695,0,0,0,0,0.563985069100062,0,1.23298447820688,0,0,0.803296315653274,0
Uqcrb,0.771286546803466,1.2845731003752,0,0.65021391565875,0,0.69017363099115,0.796567017576731,1.27228211763164,0,0,0.590585747018922,0.473051438099852,0.567690869373098,0.65764570477085,1.18008974861957,0,0,1.04212882639272,1.05887481823953
Uqcrfs1,0,0.634450142145634,0,0,0,0,0,0.862470079612143,0,0,0,0,0,0,0,0,0,0,0
Uqcrh,1.11267265937792,1.47005216534999,0.999463558993929,1.0813998875934,0.799774235788274,0.902998421434666,0.993287286812974,1.38048246702594,0.988063231295897,1.08349745323152,0.907115728656983,1.12201330985951,0.88181585795872,0.977763564193347,1.22647553438047,0.838290825611552,0.669902963803177,1.23270800601069,1.13537045774196
Uqcrq,0,1.1273163683331,0,0,0,0,0,0.862771079752969,0,0,0,0,0.288793978564503,0,0.642815649467831,0,1.12050775731057,0,0
Use1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Usmg5,0.94500478760356,1.54844687090289,0.846891033758081,0,0.243272572537438,0.773264606962242,0.889323223214414,1.32102261918368,0.594373609775542,0.918148725435948,0,0.833247929529135,0.836526792090907,0.987189815026593,1.22344834853777,0.684548621695125,1.17130593965664,1.08771824160931,1.03923083049421
Vim,1.15825746158386,0,1.24244212433804,1.05389147099976,0.613704337922974,1.27263656006898,1.6144733921906,0,1.92066430054277,0,1.36744321455814,1.74203893955225,2.25523893266532,1.26531671714998,0,0,0,1.15906401485629,1.18003885446336
Xist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ypel3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ywhab,0,0,0,0,0,1.1756835678113,0.718527948868372,0,0,0,0,0.473051438099852,0.794289661707732,0,0,0,0,0,0
Zfas1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp36,0,0,0,0,0,0,0,0,0,0,0,1.00752284104442,0,0,0,0,0,0,0
Zyx,0,0,0,0,0.54712852614771,0,0,0,1.10633820404317,0,0,0.833247929529135,0,0,0,0,0.998576349900967,0.808420333767735,0
