,Blood,Vascular,Neurons,Oligos,Immune,Excluded,Astrocytes,Ependymal
ENSMUSG00000020486,0,0,0,1.98761761939952,0,1.58771112166601,0,0
ENSMUSG00000020577,0,1.43319947361625,0.735021299108711,0,0,0,0,0
ENSMUSG00000020591,0,0,0,0,0,0,2.23473907330399,0
ENSMUSG00000020644,0,0,0,0,0,0,1.43486743577349,0
ENSMUSG00000020717,0,0,0,0,0,0,0,0
ENSMUSG00000020846,0,0,0,0,0,0,0,0
ENSMUSG00000020894,0,0,1.50522433997438,0,0,0,0,0
ENSMUSG00000020928,0,0,0,0,0,0,0,0
ENSMUSG00000020932,0,0,0,0,0,0,0,0
ENSMUSG00000021025,0,0,0,0,0,0,0,0
ENSMUSG00000021087,0,0,2.30121651992789,0,0,0,0,0
ENSMUSG00000021127,0,0,0,0,0,0,0,0
ENSMUSG00000021143,0,0,0,1.15405632495201,0,0.942443948291743,0,0
ENSMUSG00000021190,0,0,0,0,3.35172116889934,0,0,0
ENSMUSG00000021242,0,0,0,1.32175234417564,1.65377347914892,1.02635730546735,0,0
ENSMUSG00000021268,0,0,4.65201354786872,0,0,0.720598622350064,0,0.367855175060969
ENSMUSG00000021288,0,0,1.48154898827763,0,0,0,0,0
ENSMUSG00000021423,0,0,0,0,1.6875611646458,0,0,0
ENSMUSG00000021508,0,0,0,0,0,0,1.40281475645911,0
ENSMUSG00000021573,0,0,0.544445788016807,1.44270710741599,0,1.25278815802707,0,0
ENSMUSG00000021614,0,0,0,0,0,0,0,0
ENSMUSG00000021665,0,0,0,0,4.4464560485816,0,0,0
ENSMUSG00000021700,0,0,1.44158148440897,0,0,0,0,0
ENSMUSG00000021703,0,0,0,0,0,0,0,0
ENSMUSG00000021750,0,0,0,0,0,0,0,0
ENSMUSG00000021835,0,0,0,0,0,0,0,0
ENSMUSG00000021948,0,0,0,0,0,0,0,0
ENSMUSG00000022010,0,3.13389399598978,1.09221985355236,0,0,0.41172822002171,0,0.452589468501087
ENSMUSG00000022018,0,1.09175250582158,0,0,0,0,0,0
ENSMUSG00000022037,0,0,0,0,0,0,2.93746843465408,2.51513562810587
ENSMUSG00000022044,0,0,1.25050321516371,1.92824741957868,0,1.57977284832271,0,0
ENSMUSG00000022090,0,0,0,1.26910600052598,0,0.784728661203162,0,0
ENSMUSG00000022122,0,0,0,0,0,0,0,0
ENSMUSG00000022132,0,0,0,0,0,0,1.62254349145336,0
ENSMUSG00000022150,0,0,0,0,0,0,0,0
ENSMUSG00000022272,0,0,0,0,0,0,0,0
ENSMUSG00000022415,0,0,1.16599479681011,0,0,0,0,0
ENSMUSG00000022421,0,0,0,0,0,0,0,0
ENSMUSG00000022425,0,0,0,2.1418961600969,0,1.74913724277036,0,0
ENSMUSG00000022472,0,0,0,1.36597686928174,0,1.06254102822744,0,0
ENSMUSG00000022528,0,0,0,0,0,0,0,0
ENSMUSG00000022548,0,0,0,0.642249590494584,0,0,0,0
ENSMUSG00000022577,0,0,0.965194070253575,0,0,0,0,0
ENSMUSG00000022587,0,1.43042883054985,0,0,0,0,0,0
ENSMUSG00000022594,0,0,0.957832851249105,0,0,0,0,0
ENSMUSG00000022658,0,0,0.882264411645779,0,0,0,0,0
ENSMUSG00000022708,0,0.837874155450341,0,0,0,0.6576623302301,1.55913472029764,2.22419371318073
ENSMUSG00000022742,0,0,0,0.840672125455884,0,0.470820562376832,0,0
ENSMUSG00000022747,0,0,0,0,0,0,0,0
ENSMUSG00000022799,0,0,0,0,0,0,0,0
ENSMUSG00000022884,0,0,1.46526215979468,0,0,0,0,0
ENSMUSG00000023175,3.53628753950456,5.79419520948815,1.38133101084091,0,1.17920857950547,1.13353956228231,0,1.17729626852149
ENSMUSG00000023236,0,0,1.69353647508165,0,0,0,0,0
ENSMUSG00000023336,0,0,0,0,0,0,0,0
ENSMUSG00000023861,0,0,0,0,0,0,0,0
ENSMUSG00000023913,0,0,0,0,0,0,2.18034393786273,0
ENSMUSG00000023992,0,0,0,0,1.72666580093272,0,0,0
ENSMUSG00000024048,0,2.09520367223522,0,0,0,0,0,0
ENSMUSG00000024109,0,0,1.58424895340057,0,0,0,0,0
ENSMUSG00000024140,0,1.89197815537931,0,0,0,0,0,0
ENSMUSG00000024261,0,0,0.943247160412081,0,0,0,0,0
ENSMUSG00000024268,0,0,1.54005145845399,0,0,0,0,0
ENSMUSG00000024395,0,0,0,0,0,0,0,0
ENSMUSG00000024397,0,0,0,0,1.92819446258557,0,0,0
ENSMUSG00000024403,0,0,0.945203733056352,0,0,0,0,0
ENSMUSG00000024411,0,0,0,0,0,0,2.14876746580864,0.46525989263035
ENSMUSG00000024462,0,0,1.57805865457539,0,0,0.871985995031688,1.11858637282424,0
ENSMUSG00000024597,0,0,0,1.20630184868906,0,1.02965300594303,0,0
ENSMUSG00000024620,0,0,0,0,0,0,0,0
ENSMUSG00000024621,0,0,0,0,2.25185892812208,0,0,0
ENSMUSG00000024661,2.68797887724734,3.69881404016537,2.97773166408643,6.48237701553936,4.14567441672683,5.73551484412979,3.70953736023851,4.35197851469229
ENSMUSG00000024743,0,0,1.07671267148915,0,0,0,0,0
ENSMUSG00000024754,0,0,0,0,0,0,0,0
ENSMUSG00000024985,0,0,1.50245059732858,0,0,0,0,0
ENSMUSG00000025085,0,1.52527544716972,0,0,0,0,0,0
ENSMUSG00000025203,0,0,0.568983984241829,3.49549073600464,0,3.26662568582648,2.66984951662192,1.91210965415546
ENSMUSG00000025326,0,0,1.69241655753028,0,0,0,0,0
ENSMUSG00000025351,0,0,0,0,0,0,1.62692494832747,1.30935486898284
ENSMUSG00000025492,0,1.04376772403676,0,0,0,0,0,0
ENSMUSG00000025503,0,0,0,1.3101962551734,0,0.822518351765395,0,0
ENSMUSG00000025608,0,0,0,0,0,0,0,0
ENSMUSG00000025780,0,0,0,0,0,0,0,0
ENSMUSG00000025810,0,0,0,0,0,0,0,0
ENSMUSG00000025889,0,0,1.23414779271898,0,0,0,0,0
ENSMUSG00000025902,0,0,0,0,0,0,0,0
ENSMUSG00000025993,0,0,0,0,0,0,0,0
ENSMUSG00000026109,0,0,0,1.70547731868081,0,1.09991297516376,0,0
ENSMUSG00000026185,0,0,0,0,0,0,0,0
ENSMUSG00000026193,0,1.02444494353148,0,0,0,0,0,0
ENSMUSG00000026249,0,0,0,0,0,0,2.47911441990195,0
