,Oligos,Neurons,Excluded,Vascular,Blood,Astrocytes,Immune,Ependymal
ENSMUSG00000021025,0,0,0,0,0,0,0.810337337824119,0
ENSMUSG00000021087,0,1.5518733359977,0.598274798677563,0,0,0,0,0
ENSMUSG00000021127,0,0,0,0,0,0,0,0
ENSMUSG00000021131,0,0,0,0,0,0,0,0
ENSMUSG00000021190,0,0,0,0,0,0,2.60858058055978,0
ENSMUSG00000021242,0,0,0.389116035884173,0,0,0,0,0
ENSMUSG00000021250,0,0,0,0,0,0,0,0
ENSMUSG00000021268,0,3.79362638767439,3.18008509618644,0,0,0,0,0.856119344444425
ENSMUSG00000021423,0,0,0,0,0,0,0,0
ENSMUSG00000021508,0,0,0,0,0,0,0,0
ENSMUSG00000021647,0,0,0,0,0,0,0,0
ENSMUSG00000021665,0,0,0,0,0,0,4.04594361493582,0
ENSMUSG00000021750,0,0,0,0,0,0,0,0
ENSMUSG00000021876,0,0,0,0,0,0,0,0
ENSMUSG00000021998,0,0,0,0,0,0,0,0
ENSMUSG00000022010,0,0.836882599657897,0.48819803897784,2.29474332243141,0,0,0,0
ENSMUSG00000022018,0,0,0,0,0,1.0771978651497,0,0
ENSMUSG00000022037,0,0,0,0,0,2.7049961109949,0,1.50598593484809
ENSMUSG00000022090,0,0,0,0,0,0,0,0
ENSMUSG00000022108,0,0,0.676465318067329,1.86274938577233,0,0.838044282882082,3.50159728686241,1.27019224114801
ENSMUSG00000022122,0,0,0,0,0,0,0,0
ENSMUSG00000022132,0,0,0,0,0,0,0,0
ENSMUSG00000022150,0,0,0,0,0,0,0,0
ENSMUSG00000022425,1.08974559287616,0,0.418004545499392,0,0,0,0,0
ENSMUSG00000022528,0,0,0,0,0,0,0,0
ENSMUSG00000022548,0,0,0,0,0,0,0,0
ENSMUSG00000022577,0,1.13451011823703,0,0,0,0,0,1.21436595665228
ENSMUSG00000022708,0,0,0.251333755148034,0,0,0,0,1.97658221291024
ENSMUSG00000022747,0,0,0,0,0,0,0,0
ENSMUSG00000022799,0,0,0,0,0,0,0,0
ENSMUSG00000022817,0,0,0,0,0,0,0,0
ENSMUSG00000022884,0,1.10507546616353,0.403671531636667,0,0,0,0,0
ENSMUSG00000022912,0,0,0,0,0,0,0,0
ENSMUSG00000022969,0,0,0,0,0,0,0,0
ENSMUSG00000023175,0,0.590632884645572,0.543118656823262,4.93495066684204,0,0,0,0.495291030652297
ENSMUSG00000023367,0,0,0,0,0,0,0,0
ENSMUSG00000023861,0,0,0,0,0,0,0,0
ENSMUSG00000023868,0,0,0,0,0,0,0,0
ENSMUSG00000023913,0,0,0,0,0,0,0,0
ENSMUSG00000023992,0,0,0,0,0,0,1.37776625382642,0
ENSMUSG00000024013,0,0,0,0,0,0,0,0
ENSMUSG00000024048,0,0,0,1.54969550723335,0,0,0,0
ENSMUSG00000024140,0,0,0,0,0,0,0,0
ENSMUSG00000024190,0,0,0,0,0,0,0,0
ENSMUSG00000024268,0,1.01536929950371,0.362756663047793,0,0,0,0,0
ENSMUSG00000024338,0,0,0,0,0,0,0,0
ENSMUSG00000024395,0,0,0,0,0,0,0,0
ENSMUSG00000024397,0,0,0,0,0,0,1.05950001990812,0
ENSMUSG00000024411,0,0,0,0,0,1.02846161999132,0,0
ENSMUSG00000024521,0,0,0,0,0,0,0,0
ENSMUSG00000024608,1.48602707169441,1.94951275457105,1.77893126808067,2.37020323396979,2.00392708637393,1.66409375730137,2.45493917804322,2.34546341169258
ENSMUSG00000024610,0,0,0,0,0,0,0,0
ENSMUSG00000024620,0,0,0,0,0,0,0,0
ENSMUSG00000024621,0,0,0,0,0,0,1.80874662518949,0
