,Excluded,Vascular,Immune,Oligos,Blood,Neurons,Astrocytes,Ependymal
ENSMUSG00000020009,0,0,1.93264866268265,0,0,0,0,0
ENSMUSG00000020044,0,0,0,0,0,0,0,0
ENSMUSG00000020077,0,0.857438188740925,0,0,0,0,0,0
ENSMUSG00000020101,0,0,1.43576531291918,0,0,0,0,0
ENSMUSG00000020150,0,0,0,1.00655689188931,0,0,0,0
ENSMUSG00000020154,0,1.34188206039391,0,0,0,0,0,0
ENSMUSG00000020186,0,0,0,0,0,0,0,1.05646846669246
ENSMUSG00000020297,0,0,0,0,0,1.19428772913647,0,0
ENSMUSG00000020321,1.47157503331869,0,0,0,0,1.68196517221845,0,0.871186783429201
ENSMUSG00000020377,0,0,1.87473851769301,0,0,0,0,0
ENSMUSG00000020388,0,0,0,0,0,0,0,1.11156812034218
ENSMUSG00000020458,1.61020603986978,0,0,1.80743341087786,0,1.73854386773882,0,1.19822507818493
ENSMUSG00000020483,0.974526633199468,0,0,0,0,1.51700460130783,0,0.471418729334892
ENSMUSG00000020486,0.890139415692897,0,0,2.63216892733541,0,0,0,0
ENSMUSG00000020591,0,0,0,0,0,0,2.51546422069904,0
ENSMUSG00000020644,0,0,0,0,0,0,1.31159287067107,0
ENSMUSG00000020733,0,0,0,0,0,0,0.735330643913384,0
ENSMUSG00000020734,0,0,0,0,0,0,0,0
ENSMUSG00000020774,0,0,0,0,0,0,0,0
ENSMUSG00000020894,1.33169381862416,0,0,0,0,1.89646426196778,0,0
ENSMUSG00000020928,0,0,0,0,0,0,0,0
ENSMUSG00000020932,0,0,0,0,0,0,0,0
ENSMUSG00000021025,0,0.986520406478935,0,0,0,0,0,0
ENSMUSG00000021087,2.30519876103992,0,0,0,0,2.80763530591076,0,0
ENSMUSG00000021190,0,0,3.98167682114648,0,0,0,0,0.331713156012698
ENSMUSG00000021242,0.610489611181733,0,1.89550786490127,1.50279175750798,0,0,0,0.468986257589545
ENSMUSG00000021268,3.34685347468527,0,0,0,0,4.6661498859883,0,0.79516102114334
ENSMUSG00000021423,0,0,1.8136799448789,0,0,0,0,0
ENSMUSG00000021508,0,0,0,0,0,0,2.312404749058,0
ENSMUSG00000021665,0,0,5.02948209708055,0,0,0,0,0
ENSMUSG00000021750,0,0,0,0,0,0,1.43087601750008,0
ENSMUSG00000021876,0,0,1.73902153541313,0,0,0,0,0.323742291808448
ENSMUSG00000022010,1.37629855159721,3.27450024705718,0,0,0,1.45808850309578,0,0.733913681852354
ENSMUSG00000022018,0,0.834158718305204,0,0,0,0,1.97806251646738,1.31702299321947
ENSMUSG00000022037,1.3092580680421,0,0,0,0,0,3.74980846549201,3.63103408807772
ENSMUSG00000022044,1.52953550384113,0,0,2.37897892542789,0,1.16055469331871,0,0
ENSMUSG00000022090,0,0,0,1.4490695754099,0,0,0,0
ENSMUSG00000022108,2.57077439344075,2.91194314991066,4.63985036978032,2.19859388087761,0.419421047319587,1.48840021636277,2.090125046315,2.72219634362915
ENSMUSG00000022122,0,0,0,0,0,0,0,0
ENSMUSG00000022132,0,0,0,0,0,0,2.29281190416881,0
ENSMUSG00000022421,0,0,0,0,0,0.833663508247407,0,0
ENSMUSG00000022425,0,0,0,2.06110283354403,0,0,0,0.804271360376304
ENSMUSG00000022454,0,0,0,0,0,1.00924365554499,0,0
ENSMUSG00000022490,0,0,0,0,0,1.02504986669915,0,0
ENSMUSG00000022528,0,0,0,0,0,0,0,0
ENSMUSG00000022548,0,0,0,1.51313446255132,0,0,0,0
ENSMUSG00000022577,0,0,0,0,0,1.38382836231877,0,0.99059975421913
ENSMUSG00000022587,0.636552652991712,2.11687203948853,1.35258165196125,0,0,0,0,0
ENSMUSG00000022594,0,0,0,0,0,0,0,0
ENSMUSG00000022658,1.15598015402791,0,0,0,0,1.1719084989622,1.51400390864099,0
ENSMUSG00000022708,0,0.925931963545415,0,0,0,0,1.56664947541515,1.64327196045254
ENSMUSG00000022747,0,0,0,0,0,0,0,0
ENSMUSG00000022799,0,0,0,0,0,0,0,0
ENSMUSG00000022892,1.57103489555487,1.21786195852364,0,1.68507658102042,0,1.71401611710745,0,0.402200525839656
ENSMUSG00000023046,0,0,0,0,0,0,0,0
ENSMUSG00000023175,1.89002892066236,6.14849385637143,1.57323848316418,1.00777627293831,1.3891130868373,1.6506025611759,1.7323608074977,1.30475407533405
ENSMUSG00000023236,1.83448831883046,0,0,0.419994568453971,0,2.29842235163544,0,0
ENSMUSG00000023336,0,0,0,0,0,0,0,0
ENSMUSG00000023367,0,0,0,0,0,0,0,0
ENSMUSG00000023913,0,0,0,0,0,0,2.13305987429816,0.546397781041189
ENSMUSG00000023992,0,0,2.38116241597191,0,0,0,0,0
ENSMUSG00000024048,0,2.36735956440294,0,0,0,0,0,1.05646846669246
ENSMUSG00000024109,1.44017058175757,0,0,0,0,1.88215231638863,1.12838286611806,0
ENSMUSG00000024140,0,1.597274177833,0,0,0,0,0,0
ENSMUSG00000024268,0.378878350679983,0,0,0,0,1.52500627592655,0,0
ENSMUSG00000024395,0,0,0,0,0,0,0,0
ENSMUSG00000024397,0,0,2.22807473549024,0,0,0,0,0
ENSMUSG00000024403,1.03799340212092,0,0,0,0,1.71512810585513,0,0
ENSMUSG00000024411,0,0,0,0,0,0,1.42221602473869,0
ENSMUSG00000024617,0,0,0,0,0,1.18236044056708,0,0
ENSMUSG00000024620,0,0,0,0,0,0,0,0
ENSMUSG00000024621,0,0,2.67540071323753,0,0,0,0,0
ENSMUSG00000024725,0,0,0,0,0,0,0,0
ENSMUSG00000025203,1.22886446946254,0,0,2.20242536259814,0,0,1.58564133025507,1.02692684960905
ENSMUSG00000025232,0,0,1.75522397113997,0,0,0,0,0
ENSMUSG00000025283,0,0,1.41717533093678,0,0,0,1.19594605860333,0
ENSMUSG00000025326,0.798014509031094,0,0,0,0,1.57798140468066,0,0
ENSMUSG00000025351,0.485331234661824,0,0,1.03566173005298,0,0,2.26778486225182,2.28545622623629
ENSMUSG00000025400,0,0,0,0,0,0,0,0
ENSMUSG00000025492,0,1.79150137687702,0,0,0,0,0,1.3942649621857
ENSMUSG00000025503,0.394573438199399,0,0,1.91045884630408,0,0,0,0
ENSMUSG00000025537,0,0,0,0,0,0,0,0
ENSMUSG00000025867,0,0,0,0,0,0.753436159755455,0,0
ENSMUSG00000025889,1.47157503331869,0,0,0,1.00044569588225,2.26325459181748,0,0
ENSMUSG00000025902,0,0,0,0,0,0,0,0
ENSMUSG00000026109,0,0,0,2.00727624595785,0,0,0,0
ENSMUSG00000026193,0,0.904147194286027,0,0,0,0,0,0
