,Blood,Immune,Neurons,Vascular,Excluded,Oligos,Astrocytes,Ependymal
ENSMUSG00000020486,0,0,0,0,0.626162335928149,0.907761929557992,1.72317181194889,0
ENSMUSG00000020524,0,0,0,0,0,0,0.556343493233835,0
ENSMUSG00000020577,0,0,0,0.441505927591728,0,0,0,0
ENSMUSG00000020585,0,0,0,0.3505277193096,0,0,0,0.297603861245823
ENSMUSG00000020644,0,0,0,0,0,0,0,0
ENSMUSG00000020734,0,0,0,0,0,0,0,0
ENSMUSG00000020745,0,0,0,0,0.287896798217959,0,0,0
ENSMUSG00000020863,0,0,0,0,0.287896798217959,0,0,0
ENSMUSG00000021087,0,0,1.0218614283763,0,0,0,0,0
ENSMUSG00000021268,0,0,2.57162109088142,0,0,0,0,0.343189798834218
ENSMUSG00000021288,0,0,0,0,0,0,0,0
ENSMUSG00000021379,0,0,0,0,0,0,0.945894282700711,0.544191240830683
ENSMUSG00000021520,0,0,0,0,0,0,0,0
ENSMUSG00000021665,0,2.72591969174456,0,0,0,0,0,0
ENSMUSG00000021750,0,0,0,0,0,0,0.581742038420989,0
ENSMUSG00000021943,0,0,0,0,0,0,0.575896892624467,0
ENSMUSG00000022010,0,0,0,1.96946441252716,0.299768145030029,0,0,0
ENSMUSG00000022018,0,0,0,0,0,0,0,0.688902103909115
ENSMUSG00000022037,0,0,0,0,0,0,1.12919716322174,1.85856165433335
ENSMUSG00000022044,0,0,0,0,0,0.794891023812646,0,0
ENSMUSG00000022108,0,2.5042215736073,0,1.12624143031815,0.460262966438251,0.655811227277685,1.45905115124748,1.30332995050704
ENSMUSG00000022122,0,0,0,0,0,0,0.767970504529719,0
ENSMUSG00000022208,0,0,0,0,0,0,0,0
ENSMUSG00000022354,0,0,0.487858548113493,0,0.13304998664851,0.355944518130071,0,0.297603861245823
ENSMUSG00000022421,0,0,0,0,0,0,0,0
ENSMUSG00000022436,0,0,0,0,0,0,0,0
ENSMUSG00000022456,0,0,0,0,0,0,0,0
ENSMUSG00000022490,0,0,0,0,0,0,0,0
ENSMUSG00000022551,0,0,0,0,0.13304998664851,0,0,0
ENSMUSG00000022577,0,0,0,0,0,0,0,0
ENSMUSG00000022587,0,0,0,0.789759026764731,0,0,0,0
ENSMUSG00000022594,0,0,0,0,0,0,0,0
ENSMUSG00000022658,0,0,0,0,0,0,0,0
ENSMUSG00000022708,0,0,0,0,0,0,0.553754749575404,1.72557094148263
ENSMUSG00000022829,0,0,0,0,0,0,0,0
ENSMUSG00000022884,0,0,0,0,0,0,0,0
ENSMUSG00000022956,0,0,1.19160268677011,0.294715882321555,0.158216873957637,0,0,0.688902103909115
ENSMUSG00000023020,0,0,0,0,0.547385144664625,0.224746278632997,0.787004063382615,0
ENSMUSG00000023175,0,0.511806011336584,0,4.35018614390204,1.42640033135985,0,0,0
ENSMUSG00000023236,0,0,0,0,0,0,0,0
ENSMUSG00000023495,0,0,0,0,0,0.256668130450193,0,0
ENSMUSG00000023572,0,0,0,0,0,0,0,0
ENSMUSG00000023868,0,0,0,0,0,0,0,0
ENSMUSG00000023904,0,0,0,0,0,0,0,0
ENSMUSG00000023913,0,0,0,0,0,0,1.59260191626683,0.730577112751978
ENSMUSG00000023944,0,0,0,0.776799836062645,0,0.699779681281035,0.417744893973236,2.29122710908265
ENSMUSG00000024048,0,0,0,1.10226071659257,0,0,0,0.41104801475721
ENSMUSG00000024109,0,0,0.835344986656013,0,0,0,0,0
ENSMUSG00000024245,0,0,0,0,0,0,0,0
ENSMUSG00000024261,0,0,0,0,0,0,0,0
ENSMUSG00000024268,0,0,0,0,0,0,0,0
ENSMUSG00000024403,0,0,0,0,0,0,0,0
ENSMUSG00000024411,0,0,0,0,0,0,1.55114317124998,0.776607532190897
