,Excluded,Vascular,Oligos,Neurons,Immune,Astrocytes,Blood
ENSMUSG00000020154,0,1.75253576200257,0,0,0,0,0
ENSMUSG00000020297,1.0828471496145,0,0,1.51623526098842,0,0,0
ENSMUSG00000020321,1.37499008424495,0,0,1.77523786772067,0,1.45545639673476,0
ENSMUSG00000020377,0,0,0,0,1.92422210721954,0,0
ENSMUSG00000020458,1.87636888431892,0,2.17912147392818,2.18380869496342,0,0,0
ENSMUSG00000020460,2.36098787097573,3.13308355222866,2.69865150726574,1.85735900765217,3.36303839621022,1.69067732834868,0.490690086185246
ENSMUSG00000020486,0.467274300700711,1.31613591246305,2.99405036424014,0,0,0,0
ENSMUSG00000020577,0.951753472078562,2.08235062056755,0,1.1994813173903,0,0,0
ENSMUSG00000020591,0,0,0,0,0,2.61831203519623,0
ENSMUSG00000020733,0,0,0,0,0,0,0
ENSMUSG00000020734,0,0,0,0,0,0,0
ENSMUSG00000020774,0,0,0,0,0,0,0
ENSMUSG00000020811,0,0,0.92867618955829,0,0,0,0
ENSMUSG00000020846,0,1.33130921516173,0,0,0,0,0
ENSMUSG00000020894,1.25661103285399,0,0,1.71390848232423,0,0,0
ENSMUSG00000020928,0,1.3782645448131,0,0,0,0,0
ENSMUSG00000021025,0,1.56932856695199,0,0,0,0,0
ENSMUSG00000021087,2.75907530006678,0,0,3.5179517206699,0,0,0
ENSMUSG00000021190,0.768899719438289,0,0,0,3.88406915680987,0,0
ENSMUSG00000021194,0,0,0,0,0,0,0
ENSMUSG00000021242,0.767553402665814,0,1.67786862398893,0,1.99643100421479,0,0
ENSMUSG00000021268,4.47689713983903,0,0,5.13463625918909,0,0,0
ENSMUSG00000021288,1.14539194819482,0,0,1.61234970794002,0,0,0
ENSMUSG00000021423,0,0,0,0,1.75738263659052,0,0
ENSMUSG00000021508,0,0,0,0,0,2.59001569871856,0
ENSMUSG00000021665,0,0,0,0,5.14446963023746,0,0
ENSMUSG00000021750,0,0,0,0,0,1.68682400981139,0
ENSMUSG00000021871,0,0,0,0,0,0,0
ENSMUSG00000022010,1.32568458316205,3.66949390392442,0,1.6145825793586,0,0,1.14334256470854
ENSMUSG00000022018,0,1.52238921527019,0,0,0,2.48077489466305,0
ENSMUSG00000022037,1.04472302369692,0,0,0,0,3.92078847458272,0
ENSMUSG00000022044,1.32638483133951,0,2.64718754357639,1.37731214861582,0,0,0
ENSMUSG00000022090,0,0,2.05762994181849,0,0,0,0
ENSMUSG00000022108,2.43609800419792,2.85896202718486,2.26920758611478,1.83277578919875,4.61815602393996,2.32849292936293,0
ENSMUSG00000022132,0,0,0,0,0,2.58678416935157,0
