,Oligos,Excluded,Neurons,Immune,Blood,Vascular,Astrocytes,Ependymal
ENSMUSG00000021127,0,0,0,0,0,0,0,0
ENSMUSG00000021131,0,0,0,0,0,0,0,0
ENSMUSG00000021190,0,0,0,2.71539272185025,0,0,0,0
ENSMUSG00000021242,0.493355622962444,0.494381590163313,0,0,0,0,0,0
ENSMUSG00000021250,0,0,0,0,0,0,0,0
ENSMUSG00000021268,0,3.15318469810972,3.96713494094397,0,0,0,0,0
ENSMUSG00000021423,0,0,0,0,0,0,0,0
ENSMUSG00000021466,0,0,0,0,0,0,0,0
ENSMUSG00000021508,0,0,0,0,0,0,0,0
ENSMUSG00000021647,0,0,0,0,0,0,0,0
ENSMUSG00000021665,0,0,0,4.16684335968254,0,0,0,0
ENSMUSG00000021750,0,0,0,0,0,0,0,0
ENSMUSG00000021835,0,0,0,0,0,0,0,0
ENSMUSG00000021876,0,0,0,0,0,0,0,0
ENSMUSG00000022010,0,0.541446880622085,0.880871619924817,0,0,2.72867382404626,0,0
ENSMUSG00000022018,0,0,0,0,0,0,0,0
ENSMUSG00000022037,0,0,0,0,0,0,2.72083981565812,1.49596674799945
ENSMUSG00000022044,1.26191658421399,0.866259982056043,0,0,0,0,0,0
ENSMUSG00000022090,0,0,0,0,0,0,0,0
ENSMUSG00000022108,0.84250163373836,0.974865223533346,0.551444431893398,3.59060701072988,0,1.71738494957299,0,1.71707403182149
ENSMUSG00000022122,0,0,0,0,0,0,0,0
ENSMUSG00000022132,0,0,0,0,0,0,0,0
ENSMUSG00000022425,1.71372570753124,1.01085600481088,0,0,0,0,0,0
ENSMUSG00000022472,0.573626144749815,0.329198305855642,0,0,0,0,0,0
ENSMUSG00000022528,0,0,0,0,0,0,0,0
ENSMUSG00000022548,0,0,0,0,0,0,0,0
ENSMUSG00000022577,0,0.464373809642307,1.50939824140892,0,0,0,0,0
ENSMUSG00000022708,0,0.474744841174039,0,0,0,0,0,1.99205224526642
ENSMUSG00000022747,0,0,0,0,0,0,0,0
ENSMUSG00000022799,0,0,0,0,0,0,0,0
ENSMUSG00000022817,0,0,0,0,0,0,0,0
ENSMUSG00000022884,0,0.521975020678968,1.36503361707856,0,0,0,0,0
ENSMUSG00000022890,0.691486641031087,1.18914168814098,1.71747229179597,0,0,1.85008383527748,0,0.789487937602385
ENSMUSG00000023089,0,0.895174133882265,1.59214276104404,0,0,0,0,0
ENSMUSG00000023175,0,0.849398992910086,1.17774643090414,0,0,5.48581338462667,0,0
ENSMUSG00000023236,0,0.319205064512671,1.15186509446043,0,0,0,0,0
ENSMUSG00000023861,0,0,0,0,0,0,0,0
ENSMUSG00000023913,0,0,0,0,0,0,0,0
ENSMUSG00000023992,0,0,0,0.857518115765044,0,0,0,0
ENSMUSG00000024048,0,0,0,0,0,1.74729976999967,0,0
ENSMUSG00000024140,0,0,0,0,0,1.28173212141082,0,0
ENSMUSG00000024268,0,0.622967269415007,1.26084471330659,0,0,0,0,0
ENSMUSG00000024395,0,0,0,0,0,0,0,0
ENSMUSG00000024397,0,0,0,1.38710817867098,0,0,0,0
ENSMUSG00000024411,0,0,0,0,0,0,0,0
ENSMUSG00000024423,0,0.506794209982195,0.986067633387818,0,0,0,0,0
ENSMUSG00000024597,0,0,0,0,0,0,0,0
ENSMUSG00000024608,1.98767859048857,2.16099375171185,2.40600436893839,3.22520783584462,0,3.2651499792964,1.48919614346321,2.42648457880555
ENSMUSG00000024620,0,0,0,0,0,0,0,0
ENSMUSG00000024621,0,0,0,2.17237759811371,0,0,0,0
ENSMUSG00000024661,5.57956964799631,4.1045184516703,2.5685248055968,3.51021303113862,2.37734091326762,3.1503701038375,2.89729270895281,3.54830003467844
ENSMUSG00000024725,0,0,0,0,0,0,0,0
ENSMUSG00000024907,0,0,0,0,0,0,0,0
ENSMUSG00000024985,0,0,0,0,0,0,0,0
ENSMUSG00000025203,2.67993741723344,2.4107309889012,0,0,0,0,2.85140896698739,1.83360191417518
ENSMUSG00000025326,0,0.727286518250775,1.37857318917067,0,0,0,0,0
ENSMUSG00000025351,0,0,0,0,0,0,0,0
ENSMUSG00000025492,0,0,0,0,0,0,0,0
ENSMUSG00000025503,0.846678575750543,0.273582467841972,0,0,0,0,0,0
ENSMUSG00000025780,0,0,0,0,0,0,0,0
ENSMUSG00000025889,0,0,0,0,0,0,0,0
ENSMUSG00000025993,0,0,0,0,0,0,0,0
ENSMUSG00000026109,1.54581492376085,0.718902861092999,0,0,0,0,0,0
ENSMUSG00000026193,0,0,0,0,0,0,0,0
ENSMUSG00000026223,0,0.834953939767537,1.01018148476157,0,0,0,1.24421569915398,2.70240581220358
ENSMUSG00000026238,1.8746056964057,1.23216958192738,0.358909779767695,0,0,2.37845068365139,0,1.85088078013328
ENSMUSG00000026249,0,0,0,0,0,0,1.4789367141555,0
ENSMUSG00000026344,0,0,0,0,0,0,0,0
ENSMUSG00000026358,0,0,0,0,0,0,0,0
ENSMUSG00000026385,1.22199846577217,0.72602961258255,0,0,0,0,2.31892481402979,4.99033231162133
ENSMUSG00000026421,0,0.489697129077657,0,0,0,0,0,0
ENSMUSG00000026424,0,0,0,0,0,0,1.31546113485613,0
ENSMUSG00000026442,1.02231698077853,0.743977071564462,0,0,0,0,0,0
ENSMUSG00000026473,0,0.725943819849403,0,2.23652115776929,0,0.495541235467081,2.25793548299633,0
ENSMUSG00000026566,0,0,0,0,0,0,0,0
ENSMUSG00000026576,0,1.2075048675316,2.06935830585346,0,0,0,0,0
ENSMUSG00000026678,0,0,0,0,0,1.9018556678187,0,0
ENSMUSG00000026728,0,0,0,0,0,0,0,0
ENSMUSG00000026787,0,0,0.791001293073449,0,0,0,0,0
ENSMUSG00000026797,0,0.504724379307659,0.90574172679619,0,0,0,0,0
ENSMUSG00000026814,0,0,0,0,0,0,0,0
ENSMUSG00000026830,1.28488252655105,0.525908261551559,0,0,0,0,0,0
ENSMUSG00000026872,0,0,0,0,0,0,0,0
ENSMUSG00000026879,0.896132662972784,0,0,0,0,0,0,0
ENSMUSG00000026888,0.511238877934692,0,0,0,0,0,0,0
ENSMUSG00000026921,0,0,0,0,0,1.43548564827852,0,0
ENSMUSG00000026939,0,0,0,0,0,0,0,0
ENSMUSG00000027199,1.2678466841932,0.334455528553108,0,1.6359710363328,0,0,0,0
ENSMUSG00000027210,0,0,0,0,0,0,0,0
ENSMUSG00000027239,0,0,0,0,0,0,0,0
ENSMUSG00000027273,0,0.334244907392125,1.2238804843531,0,0,0,0,0
ENSMUSG00000027301,0,0,0,0,0,0,0,0
ENSMUSG00000027375,2.99136839357047,2.17460312718818,0,0,0,0,0,0
ENSMUSG00000027447,0,1.85360832398637,0.62989788170106,7.3899877880528,0,1.94516801025483,5.2453691107523,1.79580222134016
ENSMUSG00000027500,0,0.374930776956951,1.15345217064598,0,0,0,0,0
ENSMUSG00000027523,0.532288349687635,1.54341061545106,2.09823907154078,0,0,1.85817656442223,0,1.09683879416443
ENSMUSG00000027562,1.44092878632683,0.653930917676721,0,0,0,0,0,0
ENSMUSG00000027574,0,0,0,0,0,0,0,0
ENSMUSG00000027581,0,0,1.24187639904337,0,0,0,0,0
ENSMUSG00000027800,0,0,0,0,0,0,0,0
ENSMUSG00000027858,2.19541550712477,1.63786057004415,0,0,0,0,0,0
ENSMUSG00000028128,0,0,0,0,0,0,0,0
ENSMUSG00000028222,0,0,0,0,0,0,0,0
ENSMUSG00000028266,0,0,0,0,0,0,0,0
ENSMUSG00000028412,0.563175750483829,0,0,0,0,0,0,0
ENSMUSG00000028517,0,0,0,0,0,0,2.35911272358917,0
ENSMUSG00000028581,0,0,0,0,0,0,0,0
ENSMUSG00000028639,0.825765650667534,0.266967749330094,0,0,0,1.81255899627012,0,0
ENSMUSG00000028645,0,0,0,0,0,0,0,0
ENSMUSG00000028648,0,0,0,0,0,0,0,0
ENSMUSG00000028832,0,0,0,0,0,0,0,0
ENSMUSG00000029126,0,0.543807212538177,1.22534852767981,0,0,0,0,0
ENSMUSG00000029231,0,0,0,0,0,0,0,0
ENSMUSG00000029245,0,0,0,0,0,0,0,0
ENSMUSG00000029309,0,0.684866220347431,0,0,0,1.38252744204895,3.8509017671222,0
ENSMUSG00000029343,0,0,0,0,0,0,0,0
ENSMUSG00000029373,0,0,0,0,0,0,0,0
ENSMUSG00000029484,0,0,0,0,0,0,0,0
ENSMUSG00000029570,0,0,0,0,0,0,0,0
ENSMUSG00000029621,1.72369867036707,1.04325268461588,0,0,0,0,0,0
ENSMUSG00000029622,1.27712893840889,0.476090306167273,0,1.43231375221091,0,1.16303457955246,0,0
ENSMUSG00000029632,1.039850183566,1.40113232772361,2.01715198647263,0,0,1.57897060578482,0,0
ENSMUSG00000029648,0,0,0,0,0,2.07053240979606,0,0
ENSMUSG00000029723,1.59445055017466,0.990966526872154,0,0,0,0,0,0
ENSMUSG00000029819,0,0,0,0,0,0,0,0
ENSMUSG00000029838,1.98119695282714,1.5158682774064,0,0,0,1.349492167068,1.41563578972962,0
ENSMUSG00000029918,0,0,0,0,0,0,0,0
ENSMUSG00000029919,0,0,0,0,0,0,0,0
ENSMUSG00000030220,0,0,0,0,0,0,0,0
ENSMUSG00000030235,0,0,0,0,0,0.781782469207247,0,0
ENSMUSG00000030237,0,0,0,0,0,0,0,0
ENSMUSG00000030307,0,0.512916207433231,0,0,0,0,3.40807141832162,0
ENSMUSG00000030317,0,0,0,0,0,0,0,0
ENSMUSG00000030342,0,0,0,0,0,0,0,0
ENSMUSG00000030413,0,0,0,0,0,1.00042311505771,0,0
ENSMUSG00000030428,0,0.847847470381702,0,0,0,0,2.29354708784446,0
ENSMUSG00000030495,0,0,0,0,0,0,0,0
ENSMUSG00000030560,0,0,0,0,0,0,0,0
ENSMUSG00000030579,0,0,0,2.43531384887439,0,0,0,0
ENSMUSG00000030605,0,0,0,0,0,0,0,0
ENSMUSG00000030701,0,0,0,0,0,0,0,0
ENSMUSG00000030717,0,0,0,0,0,0,0,0
ENSMUSG00000030737,0,0,0,0,0,0,0,0
ENSMUSG00000030793,0,0,0,0,0,0,0,0
ENSMUSG00000030844,0,0,0,1.89463207597375,0,0,0,0
ENSMUSG00000030905,0,0,0,0,0,0,0,0
ENSMUSG00000031111,0,0,0,0,0,0,0,0
ENSMUSG00000031144,0,0.674427960024669,1.23274502263429,0,0,0,0,0
ENSMUSG00000031239,0,0,0,0,0,1.75194273292129,0,0
ENSMUSG00000031342,1.10853692985898,0.760324092363172,0,0,0,0,0,0
ENSMUSG00000031425,7.98056077289156,7.04295991057633,0,0,0,0,0,0
