,Oligos,Excluded,Neurons,Astrocytes,Blood,Vascular,Immune,Ependymal
ENSMUSG00000019505,1.61103846656925,0.752233589717931,1.32510658727663,0,0,1.96910932296822,1.24768889848767,2.09560834111864
ENSMUSG00000019872,0,0,0,0,0,0,0,0
ENSMUSG00000019874,0,0,0,1.53434090612736,0,0,0,0
ENSMUSG00000019923,0,0,1.14906694947049,0,0,0,0,0
ENSMUSG00000019943,0,2.34527939819276,3.42189924976413,0,0,0,0,0.744310356620131
ENSMUSG00000020009,0,0,0,0,0,0,1.80627373248641,0
ENSMUSG00000020044,0,0,0,0,0,0,0,0
ENSMUSG00000020101,0,0,0,0,0,0,1.61103846656925,0
ENSMUSG00000020150,1.31663225352148,0.495920428979953,0,0,0,0,0,0
ENSMUSG00000020178,0,0,0,0,0,0,0,0
ENSMUSG00000020186,0,0,0,0,0,0.938214305198307,0,1.58338615787016
ENSMUSG00000020297,0,1.12130648774615,1.57342940029353,0,0,0,0,0
ENSMUSG00000020321,0,0.763238297769295,1.63140863420486,0,0,0,0,0
ENSMUSG00000020333,0,0,0,1.22344353702619,0,0,0,0
ENSMUSG00000020377,0,0,0,0,0,0,1.79241406721733,0
ENSMUSG00000020388,0,0,0,0,0,0,0,0
ENSMUSG00000020423,0,0,0,0,0,0,0,0
ENSMUSG00000020486,2.58932380402954,1.43654789879531,0,0,0,1.24246035558938,0,0
ENSMUSG00000020585,0,0,0,1.33460460980917,0,1.40323410848205,0,1.4154687074794
ENSMUSG00000020591,0,0,0,2.68108183129601,0,0,0,0
ENSMUSG00000020599,0,0.743520875500723,1.46602216803311,0,0,0,0,0
ENSMUSG00000020644,0,0,0,1.65319250526337,0,0,0,0
ENSMUSG00000020733,0,0,0,0,0,0,0,0
ENSMUSG00000020734,0,0,0,0,0,0,0,0
ENSMUSG00000020846,0,0,0,0,0,0.866032902614968,0,0
ENSMUSG00000020928,0,0,0,0,0,0,0,0
ENSMUSG00000021025,0,0,0,0,0,1.0467380665978,0,0
ENSMUSG00000021087,0,1.419158700393,2.78302375795159,0,0,0,0,0.819401923336977
ENSMUSG00000021127,0,0,0,0,0,0,0,1.08789740804761
ENSMUSG00000021190,0,0,0,0,0,0,3.83875634476206,0
ENSMUSG00000021242,1.52317338261489,0.780181193529296,0,0,0,0,1.69939180802627,0
ENSMUSG00000021250,0,0,0,0,0,0,0,0
ENSMUSG00000021268,0,3.88386641227184,4.75638970775309,1.34230122451396,0,0,0,1.39350690113388
ENSMUSG00000021379,0,0,0,0,0,0,0,0.8751684312633
ENSMUSG00000021423,0,0,0,0,0,0,2.0211690820935,0
ENSMUSG00000021453,0,0,0,0,0,0,0,0
ENSMUSG00000021478,0,0,0,0,0,0,0,0
ENSMUSG00000021508,0,0,0,1.83022093290238,0,0,0,0
ENSMUSG00000021665,0,0,0,0,0,0,5.05476388538178,0
ENSMUSG00000021719,0,0.450369425418874,1.20431510899478,0,0,0,0,0
ENSMUSG00000021750,0,0,0,1.42010808909102,0,0,0,0
ENSMUSG00000021876,0,0,0,0,0,0,1.89579310760189,0
ENSMUSG00000022010,0,0.633545747608403,1.11279957403923,0,0,3.0649503889498,0,0.831727903206259
ENSMUSG00000022018,0,0,0,1.96645202026813,0,1.08798467391194,0,1.19570556538402
ENSMUSG00000022037,0,1.19837465001396,0,3.99018998583459,0,0,0,3.21689893784464
ENSMUSG00000022044,2.50320350000737,1.71415893763843,0.873966681409764,0,0,0,0,0
ENSMUSG00000022054,0,0,0,0,0,0,0,0
ENSMUSG00000022090,1.93318159673031,0.696208824483332,0,0,0,0,0,0
ENSMUSG00000022108,2.12896506152094,1.8757048157237,1.12881007569861,2.48405058425008,0,2.77626994854486,4.41162642600631,2.05143379649132
ENSMUSG00000022122,0,0,0,0,0,0,0,0
ENSMUSG00000022132,0,0,0,1.81153796867697,0,0,0,0
ENSMUSG00000022425,1.99758117657387,0.867324500375302,0,0,0,0,0,0
ENSMUSG00000022472,1.61081277203219,0.849153517315571,0,0,0,0,0,0
ENSMUSG00000022489,0,0.936295466673601,1.49319058413506,0,0,0,0,0
ENSMUSG00000022490,0,0.585274771061309,1.22926738196354,0,0,0,0,0
ENSMUSG00000022548,1.87113720213879,0,0,0,0,0,0,0
ENSMUSG00000022577,0,0.576129327619966,1.39500739777096,0,0,0,0,0.992227256223906
ENSMUSG00000022587,0,0,0,0,0,2.10619813478029,1.42514156931509,0
ENSMUSG00000022594,0,0,0.676077074635097,0,0,0,0,0
ENSMUSG00000022708,0,1.2019825027961,0.837082563997981,1.81682870479332,0,1.05439015266428,0,2.57645403568339
ENSMUSG00000022799,0,0,0,0,0,0.64140569758899,0,0
ENSMUSG00000022817,0,0,0,0,0,0,0,0
ENSMUSG00000022840,0,1.15212159094767,1.76291352747935,0,0,0,0,0
ENSMUSG00000023034,0,0,0,0,0,0,0,0
ENSMUSG00000023175,0.788580213744855,1.17249247799933,1.35263292391471,1.59050849738659,0,6.17134555590398,1.31140794034428,1.20876688338273
ENSMUSG00000023236,0,0.804283265740636,2.21282474565359,0,0,0,0,0
ENSMUSG00000023367,0,0,0,0,0,0,0,0
ENSMUSG00000023391,0,0,0,0,0,0,0,0
ENSMUSG00000023827,1.06386303741027,0.425911055466668,0,0,0,0,0,1.1635906043586
ENSMUSG00000023868,0,1.7778080805184,2.77115801708316,0,0,0,0,0
ENSMUSG00000023913,0,0,0,1.60413101622301,0,0,0,0
ENSMUSG00000023992,0,0,0,0,0,0,2.31505721915321,0
ENSMUSG00000024048,0,0,0,0,0,2.28228480776827,0,0.80909252047142
ENSMUSG00000024109,0,0.496459923248559,0,0,0,0,0,0
ENSMUSG00000024140,0,0,0,0,0,1.44836551803679,0,0
ENSMUSG00000024381,1.22288036430916,0.731782490217793,0,0,0,0,1.31750729959496,0
ENSMUSG00000024395,0,0,0,0,0,0,0,0
ENSMUSG00000024397,0,0,0,0,0,0,2.33630643968647,0
ENSMUSG00000024403,0,0,1.1289416625591,0,0,0,0,0
ENSMUSG00000024411,0,0,0,1.27013892463019,0,0,0,0.884417668067218
ENSMUSG00000024524,0,0.770227730790776,1.45644762675202,0,0,0,0,0
ENSMUSG00000024620,0,0,0,0,0,0,0,0
ENSMUSG00000024621,0,0,0,0,0,0,2.8257408741372,0
ENSMUSG00000024725,0,0,0,0,0,0.609857144364796,0,0
ENSMUSG00000024873,0,0,1.42326545193906,0,0,0,0,0
