,Neurons,Excluded,Vascular,Immune,Oligos,Ependymal,Astrocytes,Blood
ENSMUSG00000020134,0,0.485479407364164,0,0,0,0,0,0
ENSMUSG00000020154,0,0,2.09013406031068,0,0,0,0,0
ENSMUSG00000020186,0,0,1.40183202291472,0,0,0,0,0
ENSMUSG00000020241,0,0,0,0,0,0,0,0
ENSMUSG00000020297,1.78583385424878,0,0,0,0,0,0,0
ENSMUSG00000020315,1.56608755386564,1.04317877004767,2.92694724108548,0,0,1.17127803903957,0,0
ENSMUSG00000020321,1.43172613734005,0,0,0,0,0,0,0
ENSMUSG00000020331,0,1.52288219546879,0,0,1.65350653783302,0,0,0
ENSMUSG00000020333,0,0,0,0,0,0,1.70088118338335,0
ENSMUSG00000020340,1.38501415799922,0,0,0,0,0,0,0
ENSMUSG00000020422,0,0,0,0,0,0,0,0
ENSMUSG00000020483,2.44596242555507,0.715886265097571,0,0,0,1.15316322137311,0,0
ENSMUSG00000020577,0.865998122900759,0,1.52894291646394,0,0,0,0,0
ENSMUSG00000020585,0.466018948840717,0.526402375788474,1.23675364800912,1.23146986679662,0,1.91550824549216,0,0
ENSMUSG00000020591,0,0,0,0,0,0,3.01487426806327,0
ENSMUSG00000020644,0,0,0,0,0,0,2.2346521939295,0
ENSMUSG00000020717,0,0,1.30801425040518,0,0,0,0,0
ENSMUSG00000020841,0,0.848414809815194,0,0,1.02059026737415,0,0,0
ENSMUSG00000020846,0,0,1.74491804109654,0,0,0,0,0
ENSMUSG00000020928,0,0,0.799568101734051,0,0,0,0,0
ENSMUSG00000020932,0,0,0,0,0,0,0,0
ENSMUSG00000021025,0,0,1.26486399311736,1.66577996325621,0,0,0,0
ENSMUSG00000021087,2.72880299380564,0,0,0,0,0,0,0
ENSMUSG00000021097,0,0,0,0,0,0,0,0
ENSMUSG00000021127,0,0,1.37964909926479,0,0,1.78774092718367,0,0
ENSMUSG00000021250,0,0,0,0,0,0,0,0
ENSMUSG00000021268,5.94232914009768,0,0,0,0,1.02954242118145,0,0
ENSMUSG00000021451,0,0,0,0,0,0,0,0
ENSMUSG00000021508,0,0,0,0,0,0,2.02989581444771,0
ENSMUSG00000021614,0,0,0,0,0,0,0,0
ENSMUSG00000021665,0,0,0,3.86651988197333,0,0,0,0
ENSMUSG00000021670,0.292590565605353,1.00145463374104,0,0,1.09551471806792,0,0,0
ENSMUSG00000021703,0,0.882448442164924,0,0,0.925415703813141,0,0,0
ENSMUSG00000021745,0,0,1.20307549014032,0,0,0,0,0
ENSMUSG00000021820,0.643206436510405,0,0,0,0,0,1.34624764391197,0
ENSMUSG00000021835,0,0,0,0,0,0,0,0
ENSMUSG00000022010,1.34457009456464,0,2.86905875002285,0,0,0,0,0
ENSMUSG00000022018,0,0,0,0,0,0,0,0
ENSMUSG00000022037,0,0,0,0,0,2.39876903814872,2.9865036241305,0
ENSMUSG00000022044,0.585033294129609,1.69999821100677,0,0,1.96710306004656,0,0,0
ENSMUSG00000022055,1.36193080528029,0,0,0,0,0,0,0
ENSMUSG00000022122,0,0,0,0,0,0.560439685387998,1.72663527319451,0
ENSMUSG00000022132,0,0,0,0,0,0,1.63655237648857,0
ENSMUSG00000022150,0,0,0,0,0,0,0,0
ENSMUSG00000022208,0,0,0,0,0,0,0,0
ENSMUSG00000022231,0,0,0,0,0,0,0,0
ENSMUSG00000022263,0,0,0,0,0,0,0,0
ENSMUSG00000022272,0,0,0.905592961592596,0,0,0,0,0
ENSMUSG00000022415,1.42614807132626,0,0,0,0,0,0,0
ENSMUSG00000022425,0,2.38214656188334,0,0,2.59054747675889,0,0,0
ENSMUSG00000022438,0,0,1.05740967026678,0,0,0,0,0
ENSMUSG00000022462,0,1.3790902263095,0,0,1.39581628907615,0,0,0
ENSMUSG00000022528,0,0,0.992443052216172,0,0,0,0,0
ENSMUSG00000022548,0,1.07798444372689,0,0,1.36309183386093,0,0,0
ENSMUSG00000022564,1.29664930570882,0.438963358219681,0,0,0,0,1.58036356002084,0
ENSMUSG00000022587,0,0,2.33553346628338,1.6027360890291,0,0,0,0
ENSMUSG00000022594,1.27299378312653,0,0,0,0,0,0,0
ENSMUSG00000022658,1.16806479465416,0,0,0,0,0,0,0
ENSMUSG00000022747,0,0,0.963844684698835,0,0,0,0,0
ENSMUSG00000022799,0,0,1.32468163807987,0,0,0,0,0
ENSMUSG00000023067,0,0,0,0,0,0,0,0
ENSMUSG00000023169,1.13472528630065,0,0,0,0,1.80068506362983,0,0
ENSMUSG00000023175,1.46430388208004,0.96113947754464,4.9919753016204,1.30569614989129,0,1.41135241884171,1.55430835746338,1.75712881649389
ENSMUSG00000023236,1.61200267376041,0,0,0,0,0,0,0
ENSMUSG00000023456,1.51419814235683,0,0,0,0,0,0,0
ENSMUSG00000023913,0,0,0,0,0,0,2.29500615063373,0
ENSMUSG00000024048,0,0,1.79223107275463,0,0,0,0,0
ENSMUSG00000024109,1.25804125215962,0,0,0,0,0,0,0
ENSMUSG00000024140,0,0,2.49717833076453,0,0,0,0,0
ENSMUSG00000024168,0,0,0.892183975742579,0,0,0,0,0
ENSMUSG00000024261,1.71338838668908,0,0,0,0,0,0,0
ENSMUSG00000024268,2.44929153221148,0,0,0,0,0,0,0
ENSMUSG00000024395,0,0,0,0,0,0,0,0
ENSMUSG00000024403,1.66583375814426,0,0,0,0,0,0,0
ENSMUSG00000024411,0,0.801956460809138,0,0,0,1.8306843188374,3.35857107455805,0
ENSMUSG00000024423,1.99194229156034,0,0,0,0,0,0,0
ENSMUSG00000024620,0,0,0,0,0,0,0,0
ENSMUSG00000024621,0,0,0,2.7704788540911,0,0,0,0
ENSMUSG00000024661,3.92278809617179,6.29708168679722,4.58323351016953,5.22834270204651,7.08547708107387,4.60689417405901,3.92275105010512,2.8385248027414
ENSMUSG00000024754,0,0,0,0,0,0,0,0
ENSMUSG00000024935,0,0,0,0,0,0,0,0
ENSMUSG00000024975,0,0,0,0,0,0,0,0
ENSMUSG00000024985,0,0,0,0,0,0,0,0
ENSMUSG00000025085,0,0,2.07584401132653,0,0,0,0,0
ENSMUSG00000025203,1.78979727557034,4.48248502523746,1.20937281860117,0,4.54654010704389,3.6674615833379,3.31031529221353,0
ENSMUSG00000025351,0,0,0,1.62852385464066,0,0.941382885802035,1.79269458626072,0
ENSMUSG00000025492,0,0,1.45180974611062,0,0,0,0,0
ENSMUSG00000025608,0,0,1.08031013113256,0,0,0,0,0
ENSMUSG00000025666,0,0,0,0,0,2.13537052821398,0,0
ENSMUSG00000025743,0,0,0,0,0,0,0,0
ENSMUSG00000025780,0,0,0.584422454065439,0,0,0,0,0
ENSMUSG00000025810,0,0,1.51334428668637,0,0,0,0,0
ENSMUSG00000025855,1.621102036013,0,0,0,0,0,0,0
ENSMUSG00000025986,0,0,1.51268000262327,0,0,0,0,0
ENSMUSG00000025993,0,0,1.26193037043521,0,0,0,0,0
ENSMUSG00000026109,0,1.49287351549291,0,0,1.91358549404946,0,0,0
ENSMUSG00000026193,0,0,1.98522944822137,0,0,0,0,0
