,NP,TH,NF,PEP
Cirbp,5.86267454792904,6.15177765473205,6.65027630342219,0.847756437341811
Ckmt1,0.692935979759914,10.4004525402764,11.4922037087669,7.59066189596526
Clcn3,6.14092177319186,5.60285472332987,6.52661660616232,4.99090949191507
Clpp,6.66604642940879,6.53773092253307,7.45195287855826,5.74931972457408
Clu,0.819766267077169,3.68985823631925,9.16294513677438,6.36411714115315
Cnrip1,5.16297533837111,5.90826050529324,9.39210272004142,6.19207577735372
Cnst,0,3.15638043553966,7.75962191735278,0
Cntn1,0.044444481651744,5.59899041238397,8.51356970003011,0
Cntnap2,0,0,7.47354341193039,0
Cox16,6.72246602447109,7.45475167159569,7.27342264114565,6.19207577735372
Cpne6,0,1.81737767149656,8.85071817674848,0
Creb3,5.68873986801449,6.02462996002574,5.45634620045122,0
Crmp1,5.8043633828794,3.15427535115024,5.31484151284709,0
Csnk1d,5.36869851704981,5.12461763764156,6.94731549160306,0
Ctxn3,9.51141664456349,0,0,0
Cyb561d2,0,0,5.77439174653091,0
Cyfip2,7.42122329922514,6.58503763913116,7.15177765473205,7.82851734349962
Darc,1.37206058233216,5.44857062600553,7.00988458893184,0
Ddx46,4.80529245560071,1.07059541246298,5.84493795765197,0
Dgkh,8.01820017881323,0,3.03558872161767,0
Dhx9,5.82736176006918,6.39778585200011,6.96462966672059,1.37817865520804
Diras1,0,0,7.15380533607904,0
Dirc2,0,0,5.0209910471967,0
Dlst,4.90419504823787,4.51405912115055,7.19760987837947,0
Dner,0,6.60651625615024,7.13154832972926,0
Dnm1,6.04917331906332,7.26030799296765,8.17452626526643,6.05061052670344
Dohh,6.07174122089136,6.39199106198922,6.93121027480393,5.0880143545128
Dos,5.75891607504266,5.75886278990726,4.6663021281731,0
Dpp3,6.06957328744819,3.56425621116689,5.4007428433034,0
Drg1,6.25900878499395,6.26312832823485,6.00018032561,0
Dusp26,7.91324846871513,5.50092949398661,1.07594330439555,4.59078164156966
Echs1,0.578996661186456,5.26723614181241,7.01847839596593,0
Eci2,4.44101861892424,0,6.4924460824077,0
Eef1a2,5.56019524613801,5.17280750997543,7.22293976873681,0
Egfl7,0,5.28939185279763,5.24000896473507,0
Eif3l,6.62894852740575,5.90388184573618,6.49479959523964,0
Elovl5,5.35342916020206,3.87578006306849,7.20202584460934,2.52509165605509
Emd,6.16894283306927,6.7915536333886,6.78711898281334,1.02396499080005
Emg1,0,0.7163412611197,6.56076080210532,0
Eml1,9.89607502716847,7.33806779754262,5.01113778318899,7.47735352663456
Emp3,5.38839621218557,0,0,0
Endod1,5.74176358479768,6.39778585200011,9.36573190006568,4.28813704646158
Enpep,5.7534440852938,0,7.36605988220747,0
Entpd3,3.654550108647,3.1204017104948,6.11777814482933,0
Epb4.1l3,7.29324171895624,4.65723983619267,8.6471705782814,6.91969761291534
Epdr1,7.56955185108361,5.62833617186991,8.22221529388477,6.38372157015551
Eprs,5.86930388714835,4.47060193782622,6.99322146736894,0
Ercc1,0,0,5.58442138861596,0
Exoc3,5.78308990966354,6.11806896469716,6.72560484100889,0
F2rl2,6.74429566905504,0,0,0
Fabp3,0,7.41709300181709,8.40926363390009,0
Fam100a,5.4589397069291,2.16433576778854,4.7407117333991,0
Fam108a,0,0,6.25448066669226,0
Fam158a,6.76990394498066,7.70390357344466,8.29406929508831,7.31985272873903
Fam19a4,0,9.10163431964072,0,0
Fam57b,0,5.88842667348312,8.35887093968562,0
Fam63a,6.1738270189113,1.85111936436777,5.12391445900198,0
Fam70a,7.05950670418946,0,4.43235815907366,5.78170067387696
Farsb,3.88908409859815,0,5.93515326042343,0
Fbxo2,0,5.9247650066909,7.6614218327891,5.48191242153794
Fgf1,3.59179907811781,5.80580834870147,9.19751159210761,5.4924300589612
Fh1,0,0,6.84686936054923,0
Fsd1l,5.02232342172887,4.92424243739629,6.03417168710747,0
Fundc2,5.82171021503467,5.8636163843347,6.97567603779733,0
Fxr2,6.2820876139513,4.2026527966713,6.74483383749955,0
Fxyd6,0,8.73376105819606,0,0
Fxyd7,0.52487609162254,0,10.2411489808125,10.8702876504821
Gas6,0,0,7.32606989214514,0
Gcnt2,7.54403710186167,4.19597745864259,0,8.05750442638675
Gfra2,7.4568882675127,8.81567148579259,1.1069512708417,0
Gga2,5.57924050057297,0,4.96180851473748,0
Ggps1,0,0,6.46501125833714,0
Gm5424,8.03501899461199,9.05528243550119,3.73216064048557,7.03584381599453
Gm7271,0,9.19387028477446,0,0
Gna14,8.04750567125157,0,0,0
Gnal,8.73477735079748,5.4112906477151,6.15756926002408,2.10443730944613
Gnaq,9.16342325449374,7.13729858092114,6.14846641336682,7.17332734965099
Gpc1,0,5.35980226054848,5.89632029309276,0
Gpr89,0,0,6.50852373035496,0
Gprasp2,0,5.13750352374993,5.71449281561963,0
Grik1,8.80241942826726,7.50604966825032,0,0
Gtf2i,3.16324108516354,5.62833617186991,5.93619033968518,0
H3f3a,7.34225249309993,7.0759604132434,5.42559357765306,4.83289001416474
Habp4,0,0,6.79467578798686,0
Hadha,5.52249522196778,5.67485607298,7.45680614923047,0
Hax1,6.82017896241519,6.92623668441333,8.14026740625022,6.5413289770456
Hddc2,3.21724622898717,0,5.6652222027498,0
Hebp2,0,5.45051845196103,7.33494363072662,0
Hgsnat,0,0,5.92060296042917,0
Hint3,8.03479896257727,7.33780027675051,7.71979949417027,0
Hist1h2bc,5.16297533837111,7.83270017338009,7.74005056253466,4.84829743671766
Hist3h2ba,5.39889757120247,6.86418614465428,6.07028198051675,6.81018600769536
Hnrnpu,4.84994923449892,4.29917137804795,5.83395266116246,0
Hopx,0,6.91910167955939,7.87565721255188,3.44637534658085
Hoxa7,0,5.4899603217414,5.80012335282653,0
Hpca,0,6.89324084840494,0,0
Hpcal1,0,6.46157766998778,4.11744570746605,6.88545234508427
Hsd17b10,4.01694196751994,2.35684807923652,6.32996671638522,0
Hspa12a,7.57523668403976,2.15759351155096,8.69338241059244,0
Hspb1,0,7.40998486476586,7.7432187295325,4.65105169117893
Iah1,5.39543988059159,5.79282932948997,7.32093590094099,0
Id3,3.08360484298862,0,0,0
Ik,5.19601681578364,6.60062657655569,7.04176864995163,0
Ip6k1,4.74265301430321,6.36261015369037,5.80766403787657,0
Iqsec2,0,8.29572302453997,5.06931549454008,0
Itpa,5.35021433796647,3.17309544432244,6.26671159355128,0
Jagn1,5.54778911625147,5.65866850185465,6.80915716469159,0
Jak1,5.35102755219611,0,7.42567749186224,0
Jph3,0,0,5.38387705997811,0
Jup,0,5.17280750997543,6.07249172553341,4.42344371037861
Kcna1,0,4.60709354436642,8.94915553371007,0
Kcna2,0,5.90291771903359,7.63807383718072,0
Kcnab1,5.43289261429288,4.67293443862121,5.95535930524299,0
Kcnb1,5.93948518631923,6.48370293636778,5.98729812465543,0
Kcnd3,0,8.04717845531892,0.620098392036786,0
Kcnip3,2.00212640734513,0,6.09676785471469,0
Kcnip4,7.80664628173213,7.59342847363615,1.32181267466722,0
Klhdc2,5.09279941707818,4.4276061727819,6.63047828007794,0
Klhl5,6.96439863220318,5.4899603217414,0,0
Lamtor3,5.57951205533996,6.21525147080713,6.90231481249263,0
Ldb2,7.02192383855476,6.04993565293673,0,0
Ldhb,4.41190073842631,5.8364796271292,10.004922678569,4.20640879824841
Leprotl1,7.80857811790842,5.52412637847583,7.11603199344711,0
Lgals1,2.96810918892478,8.90698076123093,10.8504212760788,10.3134499409631
Lgals8,5.41910062318622,6.56895934043565,7.3983161634002,3.36015354620141
Lgals9,7.36045207176887,5.99747307197096,0,6.2591594777781
Lhfpl3,0,5.68178656688861,1.01356945297894,0
Lin37,3.81198471935167,0,5.93031156144962,0
Lipa,4.70138271049237,0,6.33188432425228,0
Lmbrd1,4.23878685958712,2.18703924914499,6.50758852618436,0
Lpgat1,4.85199883711245,6.40677474150043,5.56961260764974,0
Lpin1,0,4.6657906853172,6.51005995298299,0
Lrp10,5.37764435839991,5.4899603217414,6.29280015083295,0
Lsm7,6.82017896241519,6.36261015369037,7.81089291189221,0
Lynx1,0,0,8.63948542315353,6.19207577735372
Lypla2,4.63209368538165,0.356335405437555,6.73348992588162,0
Lyrm2,6.17060611329509,6.3166164244285,6.32996671638522,0
Madd,3.59311469648462,0,5.66357233541752,0
Maged1,6.72123593057174,5.96051171011902,8.09354961281063,7.73267622307331
Magi1,6.48550733245979,7.7574233468218,5.0524593691181,0
Magoh,5.51219527584686,2.30975827142464,6.30494904061134,4.20758054618695
Mal2,8.3585632960037,2.21406261888154,0,0
Mapk10,6.14263807561403,3.15427535115024,7.75482070918024,0
Mbp,0,7.1644041578813,0,0
Meg3,7.26096656451949,9.07860449801272,9.06493134001239,8.46409643350958
Mff,5.99498695203661,6.35751681650503,7.2881739681123,5.38591415558903
Mgll,0,7.0759604132434,0,0
Mprip,5.58862469854269,6.41530234476026,6.32651937186367,0
Mrpl11,5.69075230717652,5.8481471794618,6.40871186102943,1.40604679997097
Mrpl22,1.07922448856104,4.85728435349115,6.61472456541807,0
Mrpl44,0,0,6.52808679702526,0
Mrpl45,0,0,6.95895864285239,0
Mrpl46,6.29364637104339,6.81159946988366,7.57357145348239,6.24052423000863
Mrpl48,6.01495777801918,6.31902174562171,6.62354500478486,0
Mrpl49,6.36148765214307,4.75445997362548,7.24031432933371,0
Mrps11,0,4.89593269325408,6.03053472221262,0
Mrps18b,0,2.37751248848501,6.09681001350959,0
mt-Atp6,8.24441140878099,7.94057788347911,9.5412321642203,8.99387245834435
mt-Nd2,6.79272523330573,5.70664105730941,7.99988728504695,7.71918344048179
mt-Nd4,7.27379559921426,6.85524225145415,8.62300353773267,8.58687730880137
mt-Nd4l,7.52841503927998,6.91790907385298,8.70501025298183,9.23438635409454
mt-Nd5,6.84235034341381,5.06125777090295,8.27537959625362,8.78145807574241
mt-Rnr1,6.51803149260217,3.96882804350931,7.97079614781169,9.13883494297137
Mtap6,4.90419504823787,5.44857062600553,6.95489421979703,0.847756437341811
Mtap7d2,5.76293342987731,2.79749033749956,8.65431380258656,7.18219568980729
Myadm,5.19247036601131,7.77201759068921,4.71221057016548,4.25844354682571
Mycbp2,5.72658602521296,4.93833284574948,6.90171165388988,0
Myo1e,6.45834919139566,0,6.55346802557727,0
Nat8l,1.95203530400747,6.51765364239942,8.54279973268079,3.64938552918152
Nav1,7.05300269569435,6.4606606646076,5.99258717628777,0
Nbl1,7.20906339534927,7.44078613241324,0,0
Ncam1,6.12250707268573,7.64558638591361,0.320022479450322,0
Ncdn,6.55260762318018,4.50201228760469,7.43028527297778,7.18219568980729
Ndrg2,0,0,6.93957921431469,0
Ndufaf2,4.9716814942923,5.90405050168611,7.54674015270091,0
Ndufs3,5.76195007916154,5.90405050168611,7.61588707391606,6.10900527499321
Necab3,0,8.20589097310111,7.94842563910846,0
Nefh,6.3210622180738,4.5170866814783,11.226171322091,7.70646148275757
Nek7,0.0875606017431452,3.43862553808838,7.11707162384512,0
Nemf,0,0,6.07249172553341,0
Nfic,2.14818572587834,6.12610559140394,7.28678875913321,5.35906428214179
Ngfr,0,6.10032593373014,7.39823064248724,6.69334755993983
Nmb,9.32975149851718,0,0,7.22207035524718
Nme3,5.5562148039654,3.92960165523642,0,0
Nmt1,6.25900878499395,7.30030679608006,7.23352381343923,0
Nol3,6.82870773545514,6.08397919771449,7.22091032164872,7.55535603863583
Nop16,0,0,5.91547309694338,0
Nop56,0,3.57519129414717,7.32093590094099,0
Npr2,2.54470793087001,0,5.48806506062445,0
Nptx2,1.50187220714302,5.32567423412026,0,0
Nrip3,0,6.85199883711245,6.67454539384587,0
Nrn1l,8.61798163796326,0,0,0.728242711197084
Nrp1,0,6.43484503256545,4.38467152412471,0
Nsg1,0,0,8.76745617566652,0
Nudt3,6.1738270189113,4.84021143265747,7.29618205761549,4.51368022899021
Ogfrl1,4.4262647547021,4.03597574366513,7.20310325023664,0
Olfm1,3.50067460086918,8.47957819174907,7.72062049008993,7.24422110472573
Osbpl1a,0,7.01379721202899,6.91085256176094,0
Osbpl9,4.77731450146671,2.25649743456555,6.64531257641451,0
Otud6b,5.27011775307765,5.14425035619052,6.66845955691538,3.0396297391953
P2rx3,8.68327537290812,0,0,0
P2ry1,0,8.22814527566778,1.61216374461758,0
Pak1ip1,5.51925882275776,3.75049931697263,5.75395211887815,0
Palmd,6.03296038392519,7.27304958663691,5.46018555764632,0
Paqr5,8.19219416528334,9.01248487140371,0,0
Parm1,6.34869275023739,6.6906964439777,7.43704459345534,0
Pcdha5,5.85214869377247,6.17524513668912,7.84599177066457,6.47409528556046
Pcp4,1.76064677145215,8.70321146739115,11.7906743086415,9.10208068587437
Pcsk2,8.94573644261376,0,9.01086373994881,5.17831627170145
Pcyt1b,0,3.84468693629507,6.12573374681039,0
Pdlim1,0,6.20351441113076,0,0
Pex14,0.676718744118433,0,5.75395211887815,0
Pgm2,5.24214516084958,3.06453799798195,6.98606956323305,0
Phpt1,6.09322211053902,6.21525147080713,7.62519741747553,5.43692803423959
Pi4ka,0,0,6.40871186102943,0
Pigf,0,0,4.77236076581926,0
Pigz,0,0,5.74098151200394,0
Pik3r1,6.2820876139513,0,5.03694284479826,6.47409528556046
Pin1,7.72519581722666,7.30332412685951,9.28888913865037,7.45738087907254
Pip5k1c,4.63662462054365,1.5021268887757,6.92528738677033,0
Plp2,0,6.8635668293235,0,0
Plxnc1,8.25908413335355,1.46032319093225,0.302769411537452,0
Pole3,0,0,6.52420475301698,0
Pop5,7.46344263185974,3.86927920734301,6.29349923796157,0
Pop7,7.52904005609508,6.56337171157393,7.31750306202927,3.60833615034766
Ppm1j,6.13200096576069,5.8481471794618,7.22641219278879,0
Ppme1,7.32894414544975,7.29783336841106,8.11280436995477,7.09855851793841
Ppp2r5c,5.24769970150413,5.40789654874953,6.69585465757173,0
Ppp3ca,7.00966068964671,5.55695048189447,6.65023321410298,7.96953042389498
Pqbp1,5.80216736196031,6.115387046162,5.94946489757726,0
Pqlc1,7.06414993912135,4.92195991732617,6.76075320806299,5.56248666937185
Prdm12,5.60818827717421,5.68644449910341,0,4.84829743671766
Prepl,6.2182193216041,5.20351441113076,7.93834460897605,0
Prkaa1,3.79680538088048,3.54077124608924,6.37147174071569,0
Prkar2b,7.73457414954252,0,0.320669515991523,0
Prkca,8.36785153448991,0,0,0
Prkcd,7.52904005609508,0,0,0
Prrt2,0,3.59621957898946,5.21019401887687,0
Psen2,3.96069703930431,0,6.12835527189724,0
Psme1,4.76394266044725,6.63781308559868,0,0
Psmf1,5.24191643393021,0,5.39609097039437,0
Ptov1,5.94488186599148,2.70072822829922,5.91829081495222,2.82156736686971
Ptpla,0,0,0,0
Ptprn,0,0,7.31569301845593,7.69571548860997
Ptprr,0,5.99140846676479,4.42196381604921,0
Ptprs,0,0,6.9862971535539,3.5854433189362
Pycrl,0,0,4.10785522562114,0
Pygb,5.78617812879877,7.02724253597374,8.89536321713065,6.30125839363506
r_MTA_Mm,0,0,6.21288056634438,0
r_MTD,0,0,6.33862051669796,0
Rab15,6.29397736562443,7.33261843365355,6.97131362406888,0
Rab21,0,0,4.77236076581926,0
Rapgef4,0,0,7.13216552547809,0
Rarres1,0,7.41278152533848,0,0
Rasgrp1,5.84438565300257,7.8939688694671,0,0
Rbfox3,6.78751082430076,6.52407935170735,5.91745562506426,6.38290929536634
Rbm11,6.35210523848981,4.83314309635834,7.7195941721688,0.847756437341811
Resp18,0,0,8.41629085955407,6.82030662889382
Rgs5,0,7.40505634587381,0,0
Rhoc,0,6.94883442557869,4.80208979423553,0
Rhoq,1.48145395059532,5.08593447251603,5.6340704581335,0
Rnf112,0,7.51711818515321,0,0
Rnf146,2.5259185231065,0.353481386066445,6.53494869170242,0
Rnf219,0,6.49794761435545,5.91547309694338,0
Rph3a,7.40760768179143,7.55887985347544,7.35755200461808,0
Rprm,0,10.2663180571575,9.13285955523025,6.23578449082236
Rps4y2,4.33792512596013,7.23352381343923,5.06931549454008,0
Rragc,5.03377537255731,0,6.00447892017455,0
Rrp1,6.54482537114366,6.628423667147,7.04220656012069,6.04176864995163
Rsu1,7.26463025566923,9.09618804632013,6.77386449388333,0
Rtn2,5.11345047258355,0,5.89552075429356,0
Rundc3a,5.50928412745132,2.17903325757269,6.78711898281334,5.56248666937185
Runx1,6.71287086768991,7.12515513132229,0,0
Rusc1,6.45018849700559,6.81275490980019,7.15815522450277,1.40604679997097
S100a11,5.23928346466614,0,0,7.90695070664958
S100b,4.75424616183689,3.3848510814844,11.3307488526035,7.24098208914239
Sacm1l,4.61441538650813,4.54405256226258,7.01357391918829,0
Sc5d,5.54395979737185,6.06207852714267,5.32109830665186,0
Scg2,0,0,4.88249632715134,8.51183170338472
Schip1,0,6.47775826644389,3.23701296624346,0
Scn10a,9.59671156694847,7.31379002544369,0,7.31985272873903
Scn11a,9.35279382940117,7.14791719108402,0,4.65105169117893
Scn1a,0,0,7.41835863488438,0
Scn1b,0,0.641860428361861,8.24583788960736,0
Scn4b,0,0,8.43011797489203,0
Sdhc,6.37996745557057,7.04111153536915,7.70563238736141,5.37392656268436
Sec13,8.13857899622155,8.06813335395103,8.25176642434399,6.79298545968466
Sez6l2,4.78146463298515,6.35187563513089,8.2504405483474,4.28813704646158
Sft2d1,6.18366515303274,5.90388184573618,6.67905778549329,4.24549566281992
Sfxn3,0,3.68728469191784,5.88462234013074,0
Sgpp2,0,1.07059541246298,6.60647183979489,0
Shc1,6.1123873759376,0,4.46061152286663,0
Slc17a6,6.2188005378882,7.46327913514142,7.07360604057494,6.27513745050713
Slc24a2,5.76670116040981,7.03979640762002,7.98190972079399,0
Slc27a4,0,0,6.8703647195834,0
Slc2a6,0,0,5.87243479584022,0
Slc36a1,8.31093082109856,5.19349579172597,6.0467093163541,4.7786816859641
Slc38a2,6.38090257260116,6.0222568322183,7.62921088594737,0
Slc39a6,5.95921373878461,3.88976555650658,5.90284538355057,1.57041435461765
Slc44a2,6.50304655178325,5.7202510997416,5.20715101576954,2.06253621989539
Slc6a17,0,1.98852109632758,6.74940018197365,0
Slc7a7,6.83769100042856,1.45979880337163,2.7590066552564,0
Snap91,5.80562780709984,3.84026179641587,7.40998486476586,4.51368022899021
Snhg11,8.28012117919651,8.14297496665495,9.07119417870217,8.5263427349148
Snhg8,0,0,6.29779669314246,0
Snrpa,0,0,5.91745562506426,0
Snrpb2,5.76420813013995,6.84962402992454,7.20310325023664,4.91719303692495
Sorl1,0,0.7163412611197,3.57240464739033,0
Sparcl1,0,0,8.49657419693546,0
Spin1,4.81874832548166,4.84328040898502,6.37201181168241,0
Spock1,0,3.98458935036246,7.4271871135984,0
Spock3,5.7592357445325,0,3.9892298543215,0
Spop,6.03388547085333,7.37885838327003,7.92076967302065,3.69810732640488
Srp72,3.45337270982029,3.7967015711995,5.48867567078865,0
Srrm2,3.75755668893945,1.02609181434133,6.13230949983487,0
Srxn1,5.7592357445325,2.95928794004168,6.96555343498708,0
Ssb,6.08020994914456,7.10977842907866,6.88386515450979,0
Ssr3,6.72123593057174,5.90388184573618,6.44335800383632,0
Stac2,0,6.7235585614721,5.54219613019606,0
Stambp,0,0,5.56961260764974,0
Strn4,6.1738270189113,6.35152232782617,7.13329636570058,6.9647451701065
Stx3,4.31063095723059,3.14141644116484,4.40040130426606,4.28813704646158
Stx8,4.23112515787905,3.88791513563813,6.08744162499079,0
Suds3,3.08426840530353,0,5.92281628559877,0
Susd2,5.20816606346696,7.83800629536631,7.92076967302065,5.14086043889786
Svip,4.09845324630927,5.53166217386115,6.41805498419237,2.06028954236909
Syn2,4.68313498512609,0,6.92291140625819,6.17839595439684
Synj1,2.30722449328488,3.58062791045726,7.53892609959194,1.37038750428209
Synpr,10.1002681061729,9.42607601771514,3.4666271200415,0
Syt7,7.60303282649962,7.40079406718598,0,0
Tac1,9.19202151297239,9.52743790810403,5.1808241648754,13.9917875439261
Taf13,7.3290338736608,6.63463682742104,7.87725345387661,5.71072379486246
Tagln2,8.50723965075508,7.72900887033786,3.31701457402145,0
Tagln3,1.35552376897836,9.62846376737568,10.5908677025841,9.10716475569289
Tbc1d19,0.620098392036786,5.14200491598488,6.77728819675546,0
Tbrg1,6.40156220725607,7.27146302790437,5.76770775963824,0
Tceal1,0,0,5.72585019962716,0
Tceal3,4.25315728395657,0,6.06376177585185,0
Th,0,10.3579917836311,0.567448096515744,0
Thy1,0,0,9.35805773892198,3.64973041026389
Thyn1,4.84994923449892,5.47783920078185,6.23662654936983,0
Tm2d2,8.12613657412771,8.60699734570392,9.29996351793799,7.95576613205441
Tmco1,6.81621568762287,7.08979472706399,7.30788384949487,0
Tmem128,6.37996745557057,5.70664105730941,6.97200330380836,0
Tmem130,5.51219527584686,1.98852109632758,5.95733424742805,4.51368022899021
Tmem167,6.65109475605978,7.04264433740849,7.38258079910961,5.80738068423903
Tmem176b,0,1.71321190304112,0,8.49813116994288
Tmem184c,3.92818079398022,5.18942924580976,6.86925452711547,0
Tmem205,5.46659449427592,5.65592421308382,6.4086609175085,0
Tmem233,10.2417448649402,0,0,0
Tmem45b,8.88233736124948,8.25370568980906,0,0
Tmem47,0,5.69010974975571,8.81771917819501,0
Tmem55a,6.17250751724372,3.20147703796814,4.93917955300352,0
Tmem79,7.82819996772763,0.534300703331682,3.32101891058847,0
Tnfrsf21,4.66715413022992,0,7.42609698971082,6.04176864995163
Tns1,7.46776855726253,6.95070169008901,7.59432460392485,0
Tom1l2,6.06957328744819,6.41607969533758,6.84686936054923,5.35906428214179
