d0	d2	d4	d7
Mrpl43	3.06253699744833	5.23896492160539	4.19436061786901	2.47224922720591
Mrpl51	2.80483398910512	3.55996365375553	2.66046529698957	2.07436993507048
Mrps26	1.73265397162566	3.46569337390529	0	1.05972078819684
Msn	1.45241012838777	0	0	3.06192493653528
Mt1	4.04215412327919	4.09790225954557	3.29251004506151	0.661517826607301
Mt2	5.08755090899794	4.79483295002812	4.22536503699269	1.26344095853446
Mtf1	1.60410021639101	0	0	2.24941250613601
Mtfmt	2.03726608937184	3.94118696105535	2.18133205076432	1.93780953078657
Mtif2	2.28817461287402	2.65660046580044	2.04741478826325	1.51485387296141
Mybl2	2.18503628294106	1.9975404874854	0	0.663718169779674
Mylpf	1.85160910584085	0	0	0
Myo16	2.35757144355298	0	0	2.39547934555693
Myo1c	1.79755930340148	1.93133310365699	2.01896912076717	2.55260694884551
Naip7	1.61981202741786	0	0	2.23313521864316
Ncor1	1.84309657004586	1.62418995118423	0	1.98489682923534
Ndor1	2.07011491224411	2.15212762788912	0	1.83275787912391
Ngfrap1	2.53183481916173	2.53095204855047	3.11062879297182	3.46347526515808
Nkain3	3.82552006407732	3.97284085940082	4.08900445055696	2.84531910490095
Nlgn1	1.43119029543732	0	0	2.02398542448817
Nlrp1a	3.40914872094011	4.62160223083051	3.44081345382831	1.70840179382113
Nrros	1.44713996788988	0	0	2.47840297937386
Nsun6	1.70585066396057	0	0	2.03344168613474
Nudc	2.36152464977802	2.89655156126158	2.42833448628114	1.7043367842903
Nup98	1.83005150036445	3.51612344876688	2.20954638205048	1.43085212468863
Ogdh	2.29367428928201	2.85424065542841	2.29127822433703	2.18444381407235
P4hb	1.49030506080549	1.72711763253094	2.53995797077691	1.83011267646993
Pabpn1	2.111657357834	2.15212762788912	2.35721285719706	1.86301309271111
Pard3	1.7743988841291	0	0	1.7359714059331
Pbdc1	2.13458992589461	1.87231052765641	1.9964102178131	1.94697751343518
Pbld1	3.41239815961495	5.20437571206522	3.07002129232173	2.64284882637612
Pcbp4	0.600009503239697	1.60686592019075	0	1.67369441945121
Pcdh15	1.77742749689561	0	0	1.82046370596725
Pclo	1.94535425466956	0	0	1.97540869948762
Pcyox1	2.42561420076844	3.17411891641035	2.31283394088572	2.30882485206341
Pdia6	1.88050005842523	2.19291665953735	2.66596496996088	1.86469648072654
Pdlim7	1.31413076192454	1.6140262159806	2.55616751852805	2.66670365385491
Pdss2	1.48584351063734	0	0	1.98949962798437
Pdzd2	2.19291665953735	2.72568478979261	0	1.7398496707701
Peg10	1.98402093073892	1.59596309335075	1.78208569572966	2.22627060672353
Perp	0.872498147405619	0	0	2.25547072842694
Phb	2.04325042553705	2.9821959988133	2.5532540329799	1.39822416688153
Phc1	1.65248915237881	2.81325959394373	0	0.768178159103323
Phkg1	1.83447263977161	3.72285731019004	2.13659124320416	1.63202137001715
Pigp	2.23688616438	2.83022340647394	2.35721285719706	0.552967787883434
Pikfyve	1.61626154978818	0	0	2.29805249955401
Pim2	0.612000051796085	2.54225792242844	0	0
Piwil2	1.54427131846128	0	0	2.3004110981225
Pla2g4b	1.73732740362548	3.8992408848544	2.0271219802993	1.27257127545691
Plec	1.95266089474794	0	0	2.54183282938214
Polr2e	2.01907953439606	2.80852205430989	2.31397599464154	1.43251320878241
Pou5f1	3.57201536220797	4.2396237999217	3.31984928952282	0.713115088819721
Ppan	1.76599227467335	2.03400268379416	2.02195520703032	1.17877150942477
Ppm1k	1.65248915237881	4.16408212322395	0	1.51303742373144
Ppp2r2a	1.41369151466466	1.53095213301276	1.52272401632837	2.00486602415402
Prdx6	1.8486263650673	2.65317698755294	2.48490627374144	1.74905568569518
Prex2	2.58752005729534	0	0	2.77323656852254
Prss43	2.26083733739502	2.62151237313051	0	1.27815720249509
Psap	1.38362827833468	1.66705254141897	1.879726632726	1.72772014573458
Psmc3	2.40497029564893	2.39890290328353	2.42499932336876	1.84086842200384
Psmd13	2.09107157376548	2.20689000152462	2.33710661264919	1.54545629699767
Psmd3	2.18396574792541	2.47113066986875	1.89005145702248	1.16580118795016
Psmd8	1.8757654125722	1.93402878253427	1.96566161762144	2.14179479619726
Ptbp3	1.71713643031759	0	0	1.88625461805436
Ptcra	2.51506586068351	3.74146969974952	2.28916030634707	1.93812434586498
Pts	2.62275650404938	3.71961246403409	0	1.19175816091619
Pus7	1.93023732918126	2.22066247054671	0	1.59209821073389
Pwwp2a	3.15458319191794	3.37578949919171	2.21138987109062	2.92850849641218
Qk	1.73429331118058	0	0	2.03656192280023
Rab11fip1	2.02815901118128	1.54633771010048	0	1.74759493824438
Rab33b	2.31169324518588	2.05101470751189	0	0.952045467589157
Rabggta	2.12651637106021	2.48844812725229	0	1.56829636678024
Raly	2.28294528459664	2.60876847398186	2.41252846089381	1.6954548277464
Ramp1	1.86908511482658	0	0	1.80376980383156
Rasl2-9	2.74178444621982	2.76732970041968	2.07046602953892	2.06862421566224
Rbbp4	2.104359754247	2.04127754014577	0	1.59791632590684
Rbm8a	2.42295248682948	2.86551238816819	2.2475522335082	1.77316850363301
Rcc2	2.3972704840366	2.5842664676179	2.33945049278764	1.41922159984823
Rft1	2.4395581905742	3.14803254145323	2.13772602246459	1.93801553768002
Rlim	1.50175818506248	0	0	2.36393254271378
Rmi2	2.06909745678651	1.45357514823138	0	1.36138621323694
Rn28s1	5.17444902878338	4.24482006329322	3.77731943289859	4.1026960905258
Rn4.5s	4.50966731577034	4.5165474491318	4.05585095284335	1.51695537621079
Rnf10	2.27814541864585	2.06573762912478	2.02812553936911	1.82867512772707
Rnf130	1.61110058625268	0	0	1.73721903791531
Rnf145	1.98848617674593	0	0	2.30382169031805
Rnh1	0.674157599116554	0	0	1.75474091743967
Rora	1.71054396973726	0	0	1.94386111134841
Rpgrip1l	1.66458774504553	0	0	2.17715350853153
Rpl7l1	2.96782213171459	3.30520859304703	2.52202517035301	2.42594497158243
Rps15a	3.52980130735219	3.81457419627337	3.25114706652385	2.92155556359988
Rrnad1	1.79657541286377	2.34781744360656	0	1.3657804269105
Rtn4	1.44418058715762	0	0	2.09453766897747
S100a10	1.39396723256933	1.46877135630283	2.27919159753257	3.0023595307531
S100a11	0.407075815748403	0	0	2.12616485512867
S100a6	2.59994428559609	0	2.31283394088572	4.77106855513747
Sdhc	1.66834173831379	1.44253634621656	0	1.77561319814961
Sel1l3	1.31149115585033	0	0	1.99585291766655
Serpinh1	0.805465934425493	0	0	2.06655309134654
Sfn	1.58615081529844	0	3.32305624244038	3.2205006989958
Sh3bgrl3	1.34383412755454	1.6140262159806	0	1.98946759036104
Sh3glb1	1.51372299940188	0	0	2.10892642375893
Shc2	2.05347206008258	2.08981454799339	0	1.3635757462627
Slc10a1	1.69798316506235	3.16950245711244	0	0.92904000677918
Slc25a4	1.61419279659936	1.60686592019075	2.68726254043185	2.06610900150992
Slc25a42	1.41242010846742	0	0	1.99737894499539
Slc29a1	2.2260970115779	0	0	0
Slc2a1	1.51505560032635	1.97718210186186	2.49172863259153	2.34931073851142
Slc2a3	2.30447002517489	1.82101942219391	2.57204513951844	2.33581996204592
Slc35g1	1.75731222957642	2.9787715843147	0	1.42566582190801
Slc7a14	2.05631267168679	2.90833625989256	0	1.68598725787701
Slco1a1	1.76140357251658	0	0	1.64229502140433
Smcr8	2.5900800813376	0	0	2.29020033360404
Smg1	2.54081984479042	0	0	1.85251542438584
Smox	1.19106045617072	0	0	2.08826980375317
Snhg11	2.25834061618196	1.76118515193699	0	2.41005701731726
Snrnp70	2.01604824593017	1.92819899756229	0	1.3384713729436
Sox2	2.08498251919627	1.53095213301276	0	0
Sparc	1.82973190424972	0	3.40775447826555	3.45363149372206
