bipolar	unknown	amacrine	muller	rods	cones
Eif3a	0	0	0	0	0	0
Eif5b	0	0	0	0	0	0
Eml5	0	0	0	0	0	0
Eno1	0	0	0	1.71994299749361	0	0
Epb4.1l2	0	0	0	0.928661227053558	1.07798931047887	0
Epha5	0	0	0	0	0	0
Epha7	0	0	0	0	0	0
Eprs	0	0	0	0	0	0
Esf1	0	0	0	0	0	0
Espn	0	0	0	1.03991361310585	0	0
Ezh2	0	0	0	0	0	0
Fam13c	0	0	0	0	0	0
Fam168a	0	0	0	0	0	0
Fam171b	0	0	0	0	0	0
Fam184a	0	0	0	0	0	0
Fam184b	0	0	0	0	0	0
Fam19a3	0	0	0	0	0	0.276342415529372
Fbxw7	0	0	0	0	0	0
Fezf2	0	0	0	0	0	0
Fip1l1	0	0	0	0	0	0
Fkbp3	0.924538418783574	0	1.23235416997839	0	0	0
Flt1	0	0	0	0.913282194503965	0	0
Fmn1	0	0	0	0	0	0
Fos	0	0	0	2.25674425462656	0	0
Frg1	0	0	0	0	0	0
Frmd3	0	0	0	0	0	0
Fubp1	0	0	0	0	0	0
Fxyd1	0	0	0	1.14982954225537	0	0
Fyttd1	0	0	0	0	0	0
G3bp2	0	0	0	0	0	0
Gabra1	0.929121665690355	0	0	0	0	0
Gabrg2	0	0	0	0	0	0
Gabrr2	0	0	0	0	0	0
Gem	0	0	0	0	0	0
Gjd2	0	0	0	0	0	0
Glra1	0	0	0	0	0	0
Gls	0.738293411018259	0	0	0	0	0
Glul	0	1.08525677368864	0	4.50596006019615	0	0
Gm4792	0	0	0	0	0	0
Gnai2	0	0	0	1.40028537577296	0	0
Gnao1	2.03357441796824	1.26740369132639	1.00807317947144	0	0	0
Gnat2	0	0	0	0	0	3.13245022232621
Gnb3	1.24177581728974	0.786065018219362	0	0	0	2.24794010935192
Gng13	2.4905710742264	1.36892984915523	0	0	0	0
Gngt1	0	0	0	0	4.86934405523365	3.83578968028418
Gngt2	0	0	0	0	0	3.454128709614
Golga4	0	0	0	0	0	0
Golgb1	0	0	0	0	0	0
Gpm6a	0	0	0.726608862181548	1.65191444189844	0	0
Gpm6b	0	0	0	1.67445652720336	0	0
Gpr179	1.06345046804963	0.711733564618282	0	0	0	0
Gpr37	0	0	0	1.6219606821646	0	0
Gprasp1	0	0	0	0	0	0
Gria2	0	0	1.18467818536367	0	0	0
Grik1	0	0	0	0	0	0
Grm6	0.757306447403701	0	0	0	0	0
Gsg1	0	0	0	0	0	0
Gsk3b	0	0	0.475175837489881	0	0	0
Gucy1a3	0	0	0	0	0	0
Gucy1b3	0	0	0	0	0	0
Guk1	0	0	0	0	0	1.3228203121906
Hdgfrp3	0	0	0	0	0	0
Hes1	0	0	0	1.45495393295603	0	0
Hist1h2bc	0	0	0	0	0	0
Hlf	0	0	0.713892334116253	0	0	0
Hmgn5	0	0	0	0	0	0
Hnrnpm	0	0	0	0	0	0.276342415529372
Hook1	0	0	0	0	0	0
Hopx	0	0	0	0	0	0
Hp1bp3	0	0	0.654954885396878	0	0	0
Hspa12a	0	0	0	0	0	0
Hspa4	0	0	0	0	0	0
Hspa5	0.546771320263936	0.864548600343907	1.12319193365924	0.596425099495532	0	1.21251963862732
Htatsf1	0	0	0	0	0	0
Htra1	0	0	0	1.04283270364119	0	0
Id2	0	0	0	1.11842517597846	0	0
Id3	0	0	0	1.04107920159466	0	0
Ier2	0	0	0	0.877448970786928	0	0
Ift20	0	0	0	0	0	0
Igf1	0	0	0	0	0	0
Ik	0	0	0.501982007456597	0	0	0
Ina	0	0	0	0	0	0
Ing2	0	0	0	0	0	0
Isl1	1.59101219188294	1.09327346390879	0	0	0	0
Itm2c	1.0034576043776	0	1.05649497418048	0	0	0
Ivns1abp	0	0	0	0	0	0
Jun	0	0	0	2.34224729018755	0	0
Junb	0	0	0	0.917301660071987	0	0
Jund	0	0	0	0.922718183638243	0	0
Kcne2	0	0	0	0	0	1.58944080689135
Kcnma1	0.801385554718568	0	0	0	0	0
Kcnq1ot1	0	0	0	0	0	0
Kdr	0	0	0	1.18851660753827	0	0
Kif1b	0.771647137604733	0.882389516690928	0	0	1.34533036969593	0
Kif21a	0	0	0.708155349183982	0	0	0
Kif5b	0	0	0	0	0	0
Kif5c	0	0	0	0	0	0
Klhl5	0	0	0	0	0	0
Kmt2a	0	0	0	0	0	0
Kmt2e	0	0	0	0	0	0
Ktn1	0	0	0	0	0	1.00748617335007
Lbh	0	0	0	0	0	0
Ldb2	0	0	0	0	0	0
Ldha	0	0	0.353305595718098	0	1.36726663036123	1.29978504761035
Lect1	0	0	0	0	0	0
Lhx4	0	0	0	0	0	0
Lin7a	1.17557009370195	0	0.492833269636188	0	0	0
Lman1	0	0	0	0	0	0
Lmo4	0	0	0	0	0	0
Lpgat1	0	0	0	0	0	0
