MPP	LTHSC	LMPP	STHSC	Unknown	ESLAM	GMP	MEP	CMP
Zfp24	3.5523322659683	2.42254004617648	3.10596502377199	3.29316832082144	2.36181263399031	4.40816322293466	6.28788899666079	4.66625646638199	5.60889459348806
Nedd1	1.58596908233088	1.46223594033636	1.84457180067071	2.4677632261932	1.83186351130877	0.87898117084115	3.43501302711666	5.41140268505172	2.64959341132188
BC005561	1.76222563052636	2.21199198520053	2.05803255959585	2.56573738682731	1.59656121347663	6.41706427046612	2.64142191787603	4.53068081309276	2.40738881483229
Afg3l2	2.97913869200535	3.28935545647104	2.45750735042423	2.34876197586579	3.51980711381542	2.80430576942882	5.43864186678092	7.66674896520847	4.12690658609279
Sfxn3	2.82601611085034	2.86650428651145	2.60475130911383	4.33015044893614	2.69552941451103	0.83689632128695	2.28593153997595	2.10042786852495	3.02954411602456
Mfsd14b	2.70578154049221	2.44483582082943	2.45767698970965	3.35434801812408	2.54942259986449	2.64406334924966	6.08762843781075	7.71044732016359	4.47892603839951
Ice1	1.48508910850598	0.904374771162929	1.31647664741247	1.63765806294597	0.977087387828509	1.65710660643287	1.17377966958378	3.3627770678902	1.26287766479185
Nceh1	4.18089851225127	3.90438430463674	3.16172074416563	6.08410802570863	6.94128334154673	5.86926012759917	1.98034179776388	1.4607132283687	1.89337311303784
Prps2	3.24180921660861	2.7329629805251	5.33784570749164	3.44533676046543	1.7492914424498	3.05920780889993	5.50569753705281	6.08650334907384	5.39016337274455
Myl10	6.77093033668307	4.17659495678085	7.25485713721888	6.67007018999747	6.11378781455798	6.62382125095355	1.0937822573026	0.747200239591751	1.08837484239221
Ubr7	2.14640890486633	2.2097794384399	2.06446756024633	2.45827514078272	1.90870536506902	2.8686565020434	5.75732473932633	6.9595260433122	3.37676820436704
Abcb8	1.61651887343229	1.43348749044592	1.71297023915261	2.86929098481313	1.64288983689466	4.96808257890456	2.83575051585263	6.11731909765099	2.05681697723134
Crnkl1	1.68596151341523	2.36620238400569	2.07080172595916	3.93093803353818	1.77683710215602	2.6654749470942	3.50477616355074	6.00706607515614	2.53319862800393
Tmx1	5.17556122948825	5.992520490997	4.65126157233247	5.07157361713076	4.95660177706477	6.61420462137217	6.04876802861281	8.42928717837362	6.55439664728481
Hsdl1	2.09728013726019	2.06586056310887	2.01778485119792	1.96114416904569	1.75654288008858	5.24546325629747	3.01677601165739	6.87113783382089	1.78925899377805
Cyp20a1	1.01329191249352	1.29019207279421	0.953892283300014	1.59177587761461	1.34702324272348	0.83689632128695	1.36232948214149	4.87760459319404	1.43698108600422
Birc2	3.11563115277555	2.9200786510993	3.19732643386403	4.98028049282473	3.35354751171407	2.21903085722206	2.10601461376322	4.9386321961964	2.50024920752521
Dynlt3	3.15059167841304	3.20337223970892	3.23826258889768	3.37171728145047	3.31783309110179	8.58567848071146	3.17801253991284	7.04042403119902	4.70261315236427
Neat1	3.71686502070285	5.41035896927179	3.41901153416672	5.54668096795161	5.82045726719087	4.95157424630554	5.17445841764236	1.73329156132777	3.76405607608968
Stap1	7.13990352835219	3.75628209173743	6.77738492046697	7.40505430395709	4.34369420139484	2.49246127605546	6.5006120747255	1.73949387861242	6.53759661119994
B230219D22Rik	4.83738960936397	3.81592608347273	4.71118231491591	4.89391560773537	3.16952075391701	4.71145263082775	6.50260031990656	6.74413513865363	6.26180283624033
Ctdsp2	4.63477570289666	5.04142005978558	5.10104391346663	3.61733499277887	5.23448359411593	6.83730748565397	5.60966091068046	5.04752764407257	5.69482749580115
Rangap1	3.11323937695898	3.20337223970892	2.96477034794934	2.21883848916438	2.44354571983286	2.80430576942882	6.25654363778302	7.98504689409378	6.27671201359691
Arhgap1	3.29712474342465	4.41219016057874	4.16224368585488	2.82865500184783	4.71217577458602	8.48476795889837	5.6616088076854	5.91481036404689	4.8042934539404
Frmd8	5.2458536187352	3.78108119902987	4.21487710173224	6.10292934867404	3.39455782226602	3.74458304949543	4.35181499600361	3.35743100098461	5.34136791361352
Dnpep	3.54633938688655	3.2432578178972	3.12978500057327	2.51855925050292	2.30225794346264	1.7158774921281	4.59429489262782	7.05681177747858	3.77088882305366
Snhg4	4.38362409811602	2.94783499464083	5.56418953357168	3.2383870834059	2.52054273050666	3.69939081843185	6.90377787769351	8.13638105221243	6.73689343294612
Slc35b3	1.07561082293621	1.10708875939626	0.835524686785274	1.43014290294647	1.44431250674552	1.21394314695164	1.59469036399735	1.52126099445615	1.11023026678324
Pik3r2	1.04861157645463	1.66796587180522	0.993187461992518	0	1.32697135281576	1.64359498338625	1.82666351597861	6.8191208861932	1.20967037429455
Hells	2.93721838752597	2.06586056310887	3.019604548099	2.4868458159992	2.01186615734813	1.65710660643287	7.06948838058499	6.51692543902158	5.28953311474271
Golm1	1.72353724632856	1.77086957009152	1.60915519383123	2.5109833939635	1.295183382485	0.82021028514592	1.61114814185547	8.00893447831795	2.30166174914845
Dus1l	2.40952578750058	2.89701830386602	2.80408441933639	2.42575275795592	2.54309465333823	2.60983728115594	6.7117376754403	7.61472188253012	4.51340479341569
Fes	4.63243717561537	1.74104603377639	5.00835506244988	3.70385617090833	1.85144327781212	3.50403414974915	7.58867863340246	1.11680799081368	6.8128582184672
Foxred1	1.95922454669036	1.71568669425687	1.69993637593103	1.11079103789417	1.46040806937951	2.72704241298363	3.78593541407715	6.11408441483464	1.7907706187148
Man2a2	2.33836410165727	1.49028612858685	3.11544707488553	2.19268760989848	2.14148953288124	0.52089606446165	5.74723771042079	1.26725785549147	3.4859875974841
Dhfr	2.79454370897562	2.13090778068058	2.40111751721761	2.71803871631166	1.96799813831444	2.24506454717249	5.40516143746254	7.8451234601981	4.18132339150947
Emsy	1.58496775789994	1.38718940125449	1.34135939437745	1.70141038721331	1.43141415916357	1.64359498338625	1.77982534121068	1.85416584130781	1.64237201443387
Ier2	6.62919385035113	7.01813358097218	6.75135779515587	6.70665589445832	7.26847545419444	3.05159739922931	6.9981011319095	6.2039936219867	6.79408035512837
Tbc1d15	3.42507761816308	3.82148038443711	3.89568281270135	3.58851394269952	4.1000837233776	2.72388140170761	6.09177114922681	6.5783573537408	5.78991701855866
Tmc6	1.56530920655943	2.22250075280494	2.04034383822068	1.76755643621576	1.90801089726668	7.77005362131377	2.40303616277396	6.72862015787175	1.84646979824933
Pfkm	2.11311247197499	2.42254004617648	2.05936496445398	2.47525997040758	1.81236742012555	1.73483921141329	1.66373792738539	7.12910933903993	1.78104117865406
Cast	2.09498738394632	2.35398405341526	1.90980522537577	2.20468496681281	2.12424136373416	0	2.27308958445788	5.08089798950825	1.78456967941033
Fam76b	1.67390878178451	1.53722593225092	1.74204572003533	2.20118918816707	1.31508117645597	1.69141777374464	3.07474022920839	4.49895011941851	2.20281930735543
Clptm1l	6.60722277804688	4.96607638755959	5.48674895312524	3.80684677533137	4.77314059569636	6.40406217998807	7.3574336281579	8.42770596298109	7.12183236806653
Sigirr	5.52455832886247	3.7319928669106	5.41953860712825	2.55200749884926	5.45479887000132	4.08842724083126	3.12324287562417	1.40545099230022	2.2214487481032
Pitrm1	3.80838257324926	3.22876374456087	3.21211594418059	4.60274656312861	4.04558391324457	2.6747163836071	5.5882055519808	8.51696443342631	5.51413540710263
Swap70	2.24256058184278	2.22892628309479	2.68206150768829	2.52360805873807	2.11331398540221	2.33927713157777	4.09917508705134	3.21960388268732	2.39541416633433
Wwp2	3.08891237401297	3.66433937725778	3.30173682571756	3.46720412383021	2.47990546544438	2.3333095511779	4.59239546796828	5.27088623482623	3.17680544455493
Sptlc1	2.03391803528252	1.89982814676923	1.80232646619296	1.63791051737433	1.96228914631102	4.02607831247673	2.0419875443433	4.14826893880756	1.9150274842426
Gstm5	2.10721973943772	2.71553012363378	1.87106036701285	3.35653476400046	1.97244136342395	0	1.66930963133735	8.51318126320789	2.20281930735543
H1f0	3.16143303667632	4.72149942893068	2.61901852418842	5.30448877914379	7.09659675379967	3.91340331731492	2.65038712752028	3.18007325839651	5.65937584422862
