,alpha,ductal,endothelial,delta,acinar,beta,unclear,gamma,mesenchymal,epsilon
GOLM1,1.00141187054396,3.61392337716269,1.00141187054396,1.00141187054396,3.34511411240253,1.00141187054396,3.73267469190101,0,2.00637582948719,0
GPR56,2.3310113247995,1.58873426750377,3.1902461228973,1.00141187054396,2.82200215555242,2.3310113247995,0,2.00637582948719,0,0
GPX2,0,1.58873426750377,0,0,3.84214376653737,1.00141187054396,2.30159269246974,0,0,0
GPX3,2.00637582948719,0,0,1.00141187054396,0,0,0,0,0,0
GSN,0,2.3310113247995,1.58873426750377,0,1.00141187054396,2.00637582948719,1.58873426750377,0,1.58873426750377,0
GSTA1,0,1.00141187054396,0,0,5.94600313665813,0,0.500705935271981,0,0,0
GSTA2,0,0,0,0,5.65791844639852,0,0,0,0,0
GSTP1,0,2.3310113247995,1.00141187054396,1.00141187054396,2.5968095554523,0,2.30159269246974,0,2.00637582948719,0
GULP1,0,2.00637582948719,1.00141187054396,0,2.3310113247995,0,2.85990920411277,0,1.00141187054396,0
HADH,0,1.58873426750377,1.00141187054396,3.1902461228973,1.58873426750377,4.13108414072177,0,1.00141187054396,1.00141187054396,1.58873426750377
HEPACAM2,1.58873426750377,0,0,2.3310113247995,0,1.00141187054396,0,1.00141187054396,0,4.4478756194429
HERPUD1,1.29507306902387,2.00637582948719,2.3310113247995,1.58873426750377,3.01747376435913,2.3310113247995,3.29576594707389,1.00141187054396,3.54971069129241,1.00141187054396
HES1,0,2.5968095554523,2.00637582948719,0,2.5968095554523,0,4.46728915809753,0,2.3310113247995,2.00637582948719
HIGD1A,2.82200215555242,2.3310113247995,1.58873426750377,1.00141187054396,2.5968095554523,1.58873426750377,2.80714165990571,0,2.3310113247995,1.00141187054396
HLA-B,3.61392337716269,5.65791844639852,4.98996647140356,2.3310113247995,5.35625168969217,2.3310113247995,5.71825111860823,1.00141187054396,4.13108414072177,3.48549800542213
HLA-E,2.3310113247995,3.01747376435913,3.73230829087369,1.00141187054396,3.34511411240253,1.58873426750377,3.10536646630749,1.00141187054396,2.5968095554523,2.82200215555242
HN1,1.00141187054396,2.82200215555242,1.00141187054396,0,3.01747376435913,1.00141187054396,3.27715522321306,0,2.00637582948719,1.00141187054396
